"","TimePeriod","position","water_year","Probability_Threshold","TimePercentage","Species","Life_Stage","Hydraulic","Node","bottom_type","WYT","Suitability_Class"
"22","Annual","MC",2010,"Medium",87.6584084941203,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","WET","Partial"
"23","Annual","MC",2011,"Medium",96.9148451730419,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","WET","Partial"
"24","Annual","MC",2012,"Medium",96.6324200913242,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","DRY","Partial"
"25","Annual","MC",2013,"Medium",98.6415525114155,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","DRY","Partial"
"26","Annual","MC",2014,"Medium",97.7283105022831,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","DRY","Partial"
"27","Annual","MC",2015,"Medium",97.7231329690346,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","MODERATE","Partial"
"28","Annual","MC",2016,"Medium",95.2054794520548,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","DRY","Partial"
"29","Annual","LOB",2010,"Medium",5.10332229706588,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","WET","Partial"
"30","Annual","LOB",2011,"Medium",0.933515482695811,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","WET","Partial"
"31","Annual","LOB",2012,"Medium",1.60958904109589,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","DRY","Partial"
"32","Annual","LOB",2013,"Medium",0.719178082191781,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","DRY","Partial"
"33","Annual","LOB",2014,"Medium",1.15296803652968,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","DRY","Partial"
"34","Annual","LOB",2015,"Medium",0.89936247723133,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","MODERATE","Partial"
"35","Annual","LOB",2016,"Medium",2.35159817351598,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","DRY","Partial"
"36","Annual","ROB",2010,"Medium",5.10332229706588,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","WET","Partial"
"37","Annual","ROB",2011,"Medium",0.933515482695811,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","WET","Partial"
"38","Annual","ROB",2012,"Medium",1.60958904109589,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","DRY","Partial"
"39","Annual","ROB",2013,"Medium",0.719178082191781,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","DRY","Partial"
"40","Annual","ROB",2014,"Medium",1.15296803652968,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","DRY","Partial"
"41","Annual","ROB",2015,"Medium",0.89936247723133,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","MODERATE","Partial"
"42","Annual","ROB",2016,"Medium",2.35159817351598,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","DRY","Partial"
"43","Annual","MC",2010,"High",85.5577120675876,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","WET","High"
"44","Annual","MC",2011,"High",95.6625683060109,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","WET","High"
"45","Annual","MC",2012,"High",95.5821917808219,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","DRY","High"
"46","Annual","MC",2013,"High",98.5388127853881,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","DRY","High"
"47","Annual","MC",2014,"High",95.9246575342466,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","DRY","High"
"48","Annual","MC",2015,"High",96.2431693989071,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","MODERATE","High"
"49","Annual","MC",2016,"High",93.013698630137,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","DRY","High"
"50","Annual","LOB",2010,"High",1.7353579175705,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","WET","Partial"
"51","Annual","LOB",2011,"High",0.512295081967213,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","WET","Partial"
"52","Annual","LOB",2012,"High",0.867579908675799,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","DRY","Partial"
"53","Annual","LOB",2013,"High",0.388127853881279,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","DRY","Partial"
"54","Annual","LOB",2014,"High",0.707762557077626,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","DRY","Partial"
"55","Annual","LOB",2015,"High",0.421220400728597,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","MODERATE","Partial"
"56","Annual","LOB",2016,"High",1.51826484018265,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","DRY","Partial"
"57","Annual","ROB",2010,"High",1.7353579175705,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","WET","Partial"
"58","Annual","ROB",2011,"High",0.512295081967213,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","WET","Partial"
"59","Annual","ROB",2012,"High",0.867579908675799,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","DRY","Partial"
"60","Annual","ROB",2013,"High",0.388127853881279,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","DRY","Partial"
"61","Annual","ROB",2014,"High",0.707762557077626,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","DRY","Partial"
"62","Annual","ROB",2015,"High",0.421220400728597,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","MODERATE","Partial"
"63","Annual","ROB",2016,"High",1.51826484018265,"Santa Ana Sucker","Juvenile","Depth","F300","Soft","DRY","Partial"
"64","Annual","MC",2010,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F319","Concrete","WET","Partial"
"65","Annual","MC",2011,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F319","Concrete","WET","Partial"
"66","Annual","MC",2012,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F319","Concrete","DRY","Partial"
"67","Annual","MC",2013,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F319","Concrete","DRY","Partial"
"68","Annual","MC",2014,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F319","Concrete","DRY","Partial"
"69","Annual","MC",2015,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F319","Concrete","MODERATE","Partial"
"70","Annual","MC",2016,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F319","Concrete","DRY","Partial"
"71","Annual","MC",2010,"Medium",7.4209384632949,"Santa Ana Sucker","Juvenile","Depth","F319","Concrete","WET","Partial"
"72","Annual","MC",2011,"Medium",2.45901639344262,"Santa Ana Sucker","Juvenile","Depth","F319","Concrete","WET","Partial"
"73","Annual","MC",2012,"Medium",3.75570776255708,"Santa Ana Sucker","Juvenile","Depth","F319","Concrete","DRY","Partial"
"74","Annual","MC",2013,"Medium",1.42694063926941,"Santa Ana Sucker","Juvenile","Depth","F319","Concrete","DRY","Partial"
"75","Annual","MC",2014,"Medium",2.64840182648402,"Santa Ana Sucker","Juvenile","Depth","F319","Concrete","DRY","Partial"
"76","Annual","MC",2015,"Medium",2.25409836065574,"Santa Ana Sucker","Juvenile","Depth","F319","Concrete","MODERATE","Partial"
"77","Annual","MC",2016,"Medium",4.74885844748858,"Santa Ana Sucker","Juvenile","Depth","F319","Concrete","DRY","Partial"
"78","Annual","MC",2010,"High",2.93412490010275,"Santa Ana Sucker","Juvenile","Depth","F319","Concrete","WET","Partial"
"79","Annual","MC",2011,"High",1.26366120218579,"Santa Ana Sucker","Juvenile","Depth","F319","Concrete","WET","Partial"
"80","Annual","MC",2012,"High",1.71232876712329,"Santa Ana Sucker","Juvenile","Depth","F319","Concrete","DRY","Partial"
"81","Annual","MC",2013,"High",0.776255707762557,"Santa Ana Sucker","Juvenile","Depth","F319","Concrete","DRY","Partial"
"82","Annual","MC",2014,"High",1.60958904109589,"Santa Ana Sucker","Juvenile","Depth","F319","Concrete","DRY","Partial"
"83","Annual","MC",2015,"High",1.24089253187614,"Santa Ana Sucker","Juvenile","Depth","F319","Concrete","MODERATE","Partial"
"84","Annual","MC",2016,"High",2.42009132420091,"Santa Ana Sucker","Juvenile","Depth","F319","Concrete","DRY","Partial"
"85","Annual","MC",2010,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F34D","Concrete","WET","Partial"
"86","Annual","MC",2011,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F34D","Concrete","WET","Partial"
"87","Annual","MC",2012,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F34D","Concrete","DRY","Partial"
"88","Annual","MC",2013,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F34D","Concrete","DRY","Partial"
"89","Annual","MC",2014,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F34D","Concrete","DRY","Partial"
"90","Annual","MC",2015,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F34D","Concrete","MODERATE","Partial"
"91","Annual","MC",2016,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F34D","Concrete","DRY","Partial"
"92","Annual","MC",2010,"Medium",8.76812421509305,"Santa Ana Sucker","Juvenile","Depth","F34D","Concrete","WET","Partial"
"93","Annual","MC",2011,"Medium",2.42486338797814,"Santa Ana Sucker","Juvenile","Depth","F34D","Concrete","WET","Partial"
"94","Annual","MC",2012,"Medium",3.42465753424658,"Santa Ana Sucker","Juvenile","Depth","F34D","Concrete","DRY","Partial"
"95","Annual","MC",2013,"Medium",1.31278538812785,"Santa Ana Sucker","Juvenile","Depth","F34D","Concrete","DRY","Partial"
"96","Annual","MC",2014,"Medium",2.77397260273973,"Santa Ana Sucker","Juvenile","Depth","F34D","Concrete","DRY","Partial"
"97","Annual","MC",2015,"Medium",2.27686703096539,"Santa Ana Sucker","Juvenile","Depth","F34D","Concrete","MODERATE","Partial"
"98","Annual","MC",2016,"Medium",5.05707762557078,"Santa Ana Sucker","Juvenile","Depth","F34D","Concrete","DRY","Partial"
"99","Annual","MC",2010,"High",3.35654755109031,"Santa Ana Sucker","Juvenile","Depth","F34D","Concrete","WET","Partial"
"100","Annual","MC",2011,"High",1.38888888888889,"Santa Ana Sucker","Juvenile","Depth","F34D","Concrete","WET","Partial"
"101","Annual","MC",2012,"High",1.82648401826484,"Santa Ana Sucker","Juvenile","Depth","F34D","Concrete","DRY","Partial"
"102","Annual","MC",2013,"High",0.787671232876712,"Santa Ana Sucker","Juvenile","Depth","F34D","Concrete","DRY","Partial"
"103","Annual","MC",2014,"High",1.54109589041096,"Santa Ana Sucker","Juvenile","Depth","F34D","Concrete","DRY","Partial"
"104","Annual","MC",2015,"High",1.29781420765027,"Santa Ana Sucker","Juvenile","Depth","F34D","Concrete","MODERATE","Partial"
"105","Annual","MC",2016,"High",2.86529680365297,"Santa Ana Sucker","Juvenile","Depth","F34D","Concrete","DRY","Partial"
"106","Annual","MC",2010,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F37BHigh","Soft","WET","Partial"
"107","Annual","MC",2011,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F37BHigh","Soft","WET","Partial"
"108","Annual","MC",2012,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F37BHigh","Soft","DRY","Partial"
"109","Annual","MC",2013,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F37BHigh","Soft","DRY","Partial"
"110","Annual","MC",2014,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F37BHigh","Soft","DRY","Partial"
"111","Annual","MC",2015,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F37BHigh","Soft","MODERATE","Partial"
"112","Annual","MC",2016,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F37BHigh","Soft","DRY","Partial"
"113","Annual","MC",2010,"Medium",2.07786276972257,"Santa Ana Sucker","Juvenile","Depth","F37BHigh","Soft","WET","Partial"
"114","Annual","MC",2011,"Medium",1.33196721311475,"Santa Ana Sucker","Juvenile","Depth","F37BHigh","Soft","WET","Partial"
"115","Annual","MC",2012,"Medium",0.856164383561644,"Santa Ana Sucker","Juvenile","Depth","F37BHigh","Soft","DRY","Partial"
"116","Annual","MC",2013,"Medium",0.479452054794521,"Santa Ana Sucker","Juvenile","Depth","F37BHigh","Soft","DRY","Partial"
"117","Annual","MC",2014,"Medium",1.07305936073059,"Santa Ana Sucker","Juvenile","Depth","F37BHigh","Soft","DRY","Partial"
"118","Annual","MC",2015,"Medium",0.842440801457195,"Santa Ana Sucker","Juvenile","Depth","F37BHigh","Soft","MODERATE","Partial"
"119","Annual","MC",2016,"Medium",2.00913242009132,"Santa Ana Sucker","Juvenile","Depth","F37BHigh","Soft","DRY","Partial"
"120","Annual","MC",2010,"High",1.08459869848156,"Santa Ana Sucker","Juvenile","Depth","F37BHigh","Soft","WET","Partial"
"121","Annual","MC",2011,"High",0.774134790528233,"Santa Ana Sucker","Juvenile","Depth","F37BHigh","Soft","WET","Partial"
"122","Annual","MC",2012,"High",0.376712328767123,"Santa Ana Sucker","Juvenile","Depth","F37BHigh","Soft","DRY","Partial"
"123","Annual","MC",2013,"High",0.251141552511416,"Santa Ana Sucker","Juvenile","Depth","F37BHigh","Soft","DRY","Partial"
"124","Annual","MC",2014,"High",0.525114155251142,"Santa Ana Sucker","Juvenile","Depth","F37BHigh","Soft","DRY","Partial"
"125","Annual","MC",2015,"High",0.432604735883424,"Santa Ana Sucker","Juvenile","Depth","F37BHigh","Soft","MODERATE","Partial"
"126","Annual","MC",2016,"High",1.1986301369863,"Santa Ana Sucker","Juvenile","Depth","F37BHigh","Soft","DRY","Partial"
"127","Annual","MC",2010,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","WET","Partial"
"128","Annual","MC",2011,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","WET","Partial"
"129","Annual","MC",2012,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","DRY","Partial"
"130","Annual","MC",2013,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","DRY","Partial"
"131","Annual","MC",2014,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","DRY","Partial"
"132","Annual","MC",2015,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","MODERATE","Partial"
"133","Annual","MC",2016,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","DRY","Partial"
"134","Annual","LOB",2010,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","WET","Partial"
"135","Annual","LOB",2011,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","WET","Partial"
"136","Annual","LOB",2012,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","DRY","Partial"
"137","Annual","LOB",2013,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","DRY","Partial"
"138","Annual","LOB",2014,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","DRY","Partial"
"139","Annual","LOB",2015,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","MODERATE","Partial"
"140","Annual","LOB",2016,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","DRY","Partial"
"141","Annual","ROB",2010,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","WET","Partial"
"142","Annual","ROB",2011,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","WET","Partial"
"143","Annual","ROB",2012,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","DRY","Partial"
"144","Annual","ROB",2013,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","DRY","Partial"
"145","Annual","ROB",2014,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","DRY","Partial"
"146","Annual","ROB",2015,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","MODERATE","Partial"
"147","Annual","ROB",2016,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","DRY","Partial"
"148","Annual","MC",2010,"Medium",2.40895079346957,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","WET","Partial"
"149","Annual","MC",2011,"Medium",1.52550091074681,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","WET","Partial"
"150","Annual","MC",2012,"Medium",1.13013698630137,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","DRY","Partial"
"151","Annual","MC",2013,"Medium",0.559360730593607,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","DRY","Partial"
"152","Annual","MC",2014,"Medium",1.35844748858447,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","DRY","Partial"
"153","Annual","MC",2015,"Medium",1.0132058287796,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","MODERATE","Partial"
"154","Annual","MC",2016,"Medium",2.26027397260274,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","DRY","Partial"
"155","Annual","LOB",2010,"Medium",0,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","WET","Partial"
"156","Annual","LOB",2011,"Medium",0,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","WET","Partial"
"157","Annual","LOB",2012,"Medium",0,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","DRY","Partial"
"158","Annual","LOB",2013,"Medium",0,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","DRY","Partial"
"159","Annual","LOB",2014,"Medium",0,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","DRY","Partial"
"160","Annual","LOB",2015,"Medium",0,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","MODERATE","Partial"
"161","Annual","LOB",2016,"Medium",0,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","DRY","Partial"
"162","Annual","ROB",2010,"Medium",2.38611713665944,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","WET","Partial"
"163","Annual","ROB",2011,"Medium",1.52550091074681,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","WET","Partial"
"164","Annual","ROB",2012,"Medium",1.10730593607306,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","DRY","Partial"
"165","Annual","ROB",2013,"Medium",0.559360730593607,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","DRY","Partial"
"166","Annual","ROB",2014,"Medium",1.35844748858447,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","DRY","Partial"
"167","Annual","ROB",2015,"Medium",1.0132058287796,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","MODERATE","Partial"
"168","Annual","ROB",2016,"Medium",2.24885844748858,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","DRY","Partial"
"169","Annual","MC",2010,"High",1.23301746774746,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","WET","Partial"
"170","Annual","MC",2011,"High",0.865209471766849,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","WET","Partial"
"171","Annual","MC",2012,"High",0.513698630136986,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","DRY","Partial"
"172","Annual","MC",2013,"High",0.296803652968037,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","DRY","Partial"
"173","Annual","MC",2014,"High",0.639269406392694,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","DRY","Partial"
"174","Annual","MC",2015,"High",0.478142076502732,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","MODERATE","Partial"
"175","Annual","MC",2016,"High",1.23287671232877,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","DRY","Partial"
"176","Annual","LOB",2010,"High",0,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","WET","Partial"
"177","Annual","LOB",2011,"High",0,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","WET","Partial"
"178","Annual","LOB",2012,"High",0,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","DRY","Partial"
"179","Annual","LOB",2013,"High",0,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","DRY","Partial"
"180","Annual","LOB",2014,"High",0,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","DRY","Partial"
"181","Annual","LOB",2015,"High",0,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","MODERATE","Partial"
"182","Annual","LOB",2016,"High",0,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","DRY","Partial"
"183","Annual","ROB",2010,"High",1.07318187007649,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","WET","Partial"
"184","Annual","ROB",2011,"High",0.762750455373406,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","WET","Partial"
"185","Annual","ROB",2012,"High",0.410958904109589,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","DRY","Partial"
"186","Annual","ROB",2013,"High",0.262557077625571,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","DRY","Partial"
"187","Annual","ROB",2014,"High",0.593607305936073,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","DRY","Partial"
"188","Annual","ROB",2015,"High",0.443989071038251,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","MODERATE","Partial"
"189","Annual","ROB",2016,"High",1.08447488584475,"Santa Ana Sucker","Juvenile","Depth","F37BLow","Soft","DRY","Partial"
"190","Annual","MC",2010,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F45B","Concrete","WET","Partial"
"191","Annual","MC",2011,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F45B","Concrete","WET","Partial"
"192","Annual","MC",2012,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F45B","Concrete","DRY","Partial"
"193","Annual","MC",2013,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F45B","Concrete","DRY","Partial"
"194","Annual","MC",2014,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F45B","Concrete","DRY","Partial"
"195","Annual","MC",2015,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F45B","Concrete","MODERATE","Partial"
"196","Annual","MC",2016,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F45B","Concrete","DRY","Partial"
"197","Annual","MC",2010,"Medium",0.274003881721658,"Santa Ana Sucker","Juvenile","Depth","F45B","Concrete","WET","Partial"
"198","Annual","MC",2011,"Medium",0.216302367941712,"Santa Ana Sucker","Juvenile","Depth","F45B","Concrete","WET","Partial"
"199","Annual","MC",2012,"Medium",0.194063926940639,"Santa Ana Sucker","Juvenile","Depth","F45B","Concrete","DRY","Partial"
"200","Annual","MC",2013,"Medium",0.102739726027397,"Santa Ana Sucker","Juvenile","Depth","F45B","Concrete","DRY","Partial"
"201","Annual","MC",2014,"Medium",0.21689497716895,"Santa Ana Sucker","Juvenile","Depth","F45B","Concrete","DRY","Partial"
"202","Annual","MC",2015,"Medium",0.011384335154827,"Santa Ana Sucker","Juvenile","Depth","F45B","Concrete","MODERATE","Partial"
"203","Annual","MC",2016,"Medium",0.0342465753424658,"Santa Ana Sucker","Juvenile","Depth","F45B","Concrete","DRY","Partial"
"204","Annual","MC",2010,"High",0.194086082886174,"Santa Ana Sucker","Juvenile","Depth","F45B","Concrete","WET","Partial"
"205","Annual","MC",2011,"High",0.102459016393443,"Santa Ana Sucker","Juvenile","Depth","F45B","Concrete","WET","Partial"
"206","Annual","MC",2012,"High",0.136986301369863,"Santa Ana Sucker","Juvenile","Depth","F45B","Concrete","DRY","Partial"
"207","Annual","MC",2013,"High",0.0684931506849315,"Santa Ana Sucker","Juvenile","Depth","F45B","Concrete","DRY","Partial"
"208","Annual","MC",2014,"High",0.125570776255708,"Santa Ana Sucker","Juvenile","Depth","F45B","Concrete","DRY","Partial"
"209","Annual","MC",2015,"High",0.011384335154827,"Santa Ana Sucker","Juvenile","Depth","F45B","Concrete","MODERATE","Partial"
"210","Annual","MC",2016,"High",0.0228310502283105,"Santa Ana Sucker","Juvenile","Depth","F45B","Concrete","DRY","Partial"
"211","Annual","MC",2010,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F57C","Soft","WET","Partial"
"212","Annual","MC",2011,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F57C","Soft","WET","Partial"
"213","Annual","MC",2012,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F57C","Soft","DRY","Partial"
"214","Annual","MC",2013,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F57C","Soft","DRY","Partial"
"215","Annual","MC",2014,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F57C","Soft","DRY","Partial"
"216","Annual","MC",2015,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F57C","Soft","MODERATE","Partial"
"217","Annual","MC",2016,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F57C","Soft","DRY","Partial"
"218","Annual","LOB",2010,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F57C","Soft","WET","Partial"
"219","Annual","LOB",2011,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F57C","Soft","WET","Partial"
"220","Annual","LOB",2012,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F57C","Soft","DRY","Partial"
"221","Annual","LOB",2013,"Low",100,"Santa Ana Sucker","Juvenile","Depth","F57C","Soft","DRY","Partial"
