Location,Section,Reach,Latitude,Longitude,Date,General Transect,Channel width (m),Depth (cm),Vel (0.6) m/s,Vel (0.2)  m/s,Vel (0.8)  m/s,Distance to Cover (m),Cover Type,Dominant Substrate,Canopy Left,Canopy Upstream,Canopy Right,Canopy Downstream,Comments
Rialto Drain,1,1,34.04554,-117.35433,9/19/2017,6,3.9,38,0.51,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,1,34.04554,-117.35433,9/19/2017,6,3.9,40,0.29,NA,NA,NA,OV,GV,NV,NV,NV,NV,
Rialto Drain,1,1,34.04554,-117.35433,9/19/2017,6,3.9,40,0.61,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,1,34.04554,-117.35433,9/19/2017,6,3.9,40,0.01,NA,NA,0,OV,SA,17,NV,NV,NV,
Rialto Drain,1,1,34.04554,-117.35433,9/19/2017,6,3.9,42,0.04,NA,NA,0,OV,SA,NV,NV,NV,NV,
Rialto Drain,1,2,34.04624,-117.35489,9/19/2017,1,3.9,1,0,NA,NA,NA,NA,SA,17,NV,NV,NV,
Rialto Drain,1,2,34.04624,-117.35489,9/19/2017,1,3.9,8,0.08,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,2,34.04624,-117.35489,9/19/2017,1,3.9,10,0.19,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,2,34.04624,-117.35489,9/19/2017,1,3.9,19,0.29,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,2,34.04624,-117.35489,9/19/2017,1,3.9,26,0.38,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,2,34.04624,-117.35489,9/19/2017,1,3.9,30,0.49,NA,NA,NA,NA,CO,NV,13,NV,14,
Rialto Drain,1,2,34.04624,-117.35489,9/19/2017,1,3.9,32,0.01,NA,NA,NA,UB,SI,NV,NV,NV,NV,
Rialto Drain,1,2,34.04624,-117.35489,9/19/2017,1,3.9,38,0.24,NA,NA,NA,UB,CO,NV,NV,11,NV,
Rialto Drain,1,2,34.04624,-117.35489,9/19/2017,1,3.9,38,0.42,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,2,34.04624,-117.35489,9/19/2017,1,3.9,42,0.48,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,2,34.04629,-117.35497,9/19/2017,2,3.6,2,0.01,NA,NA,NA,BO,CO,NV,NV,NV,NV,
Rialto Drain,1,2,34.04629,-117.35497,9/19/2017,2,3.6,2,0.01,NA,NA,NA,BO,CO,NV,NV,17,NV,
Rialto Drain,1,2,34.04629,-117.35497,9/19/2017,2,3.6,12,0.46,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,2,34.04629,-117.35497,9/19/2017,2,3.6,14,0.01,NA,NA,NA,BO,CO,NV,NV,NV,NV,
Rialto Drain,1,2,34.04629,-117.35497,9/19/2017,2,3.6,14,0.19,NA,NA,0,OV,SA,NV,15,NV,NV,
Rialto Drain,1,2,34.04629,-117.35497,9/19/2017,2,3.6,16,0.62,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,2,34.04629,-117.35497,9/19/2017,2,3.6,18,0.98,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,2,34.04629,-117.35497,9/19/2017,2,3.6,18,0.84,NA,NA,NA,NA,GV,NV,12,NV,14,
Rialto Drain,1,2,34.04629,-117.35497,9/19/2017,2,3.6,20,0.38,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,2,34.04629,-117.35497,9/19/2017,2,3.6,20,1.15,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,2,34.04636,-117.35502,9/19/2017,3,4.1,30,0.06,NA,NA,1,UB,GV,NV,NV,17,NV,
Rialto Drain,1,2,34.04636,-117.35502,9/19/2017,3,4.1,38,0,NA,NA,0,UB,SA,17,NV,NV,NV,
Rialto Drain,1,2,34.04636,-117.35502,9/19/2017,3,4.1,40,0.06,NA,NA,NA,NA,SA,NV,NV,NV,NV,
Rialto Drain,1,2,34.04636,-117.35502,9/19/2017,3,4.1,42,0.01,NA,NA,NA,NA,SA,NV,NV,NV,NV,
Rialto Drain,1,2,34.04636,-117.35502,9/19/2017,3,4.1,44,0.22,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,2,34.04636,-117.35502,9/19/2017,3,4.1,44,0.21,NA,NA,NA,NA,SA,NV,NV,NV,NV,
Rialto Drain,1,2,34.04636,-117.35502,9/19/2017,3,4.1,46,0.23,NA,NA,NA,NA,SA,NV,17,NV,17,
Rialto Drain,1,2,34.04636,-117.35502,9/19/2017,3,4.1,48,0.27,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,2,34.04636,-117.35502,9/19/2017,3,4.1,50,0.19,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,2,34.04636,-117.35502,9/19/2017,3,4.1,50,0.22,NA,NA,NA,NA,SA,NV,NV,NV,NV,
Rialto Drain,1,2,34.04646,-117.35516,9/19/2017,4,3.5,10,0.02,NA,NA,NA,UB,SA,17,NV,NV,NV,
Rialto Drain,1,2,34.04646,-117.35516,9/19/2017,4,3.5,12,0.25,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,2,34.04646,-117.35516,9/19/2017,4,3.5,24,0.03,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,2,34.04646,-117.35516,9/19/2017,4,3.5,26,0,NA,NA,NA,UB,CO,NV,NV,17,NV,
Rialto Drain,1,2,34.04646,-117.35516,9/19/2017,4,3.5,26,0.09,NA,NA,NA,NA,SA,NV,NV,NV,NV,
Rialto Drain,1,2,34.04646,-117.35516,9/19/2017,4,3.5,26,0.14,NA,NA,NA,NA,SA,NV,NV,NV,NV,
Rialto Drain,1,2,34.04646,-117.35516,9/19/2017,4,3.5,28,0.22,NA,NA,NA,NA,SA,NV,NV,NV,NV,
Rialto Drain,1,2,34.04646,-117.35516,9/19/2017,4,3.5,30,0.45,NA,NA,0,WD,GV,NV,NV,NV,NV,
Rialto Drain,1,2,34.04646,-117.35516,9/19/2017,4,3.5,30,0.42,NA,NA,NA,NA,GV,NV,17,NV,17,
Rialto Drain,1,2,34.04646,-117.35516,9/19/2017,4,3.5,32,0.47,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,2,34.04655,-117.35513,9/19/2017,5,3,1,0,NA,NA,NA,BO,SI,NV,NV,17,NV,
Rialto Drain,1,2,34.04655,-117.35513,9/19/2017,5,3,8,0.4,NA,NA,0.3,UB,GV,17,NV,NV,NV,
Rialto Drain,1,2,34.04655,-117.35513,9/19/2017,5,3,10,0.37,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,2,34.04655,-117.35513,9/19/2017,5,3,18,0,NA,NA,NA,OV,SA,NV,NV,NV,NV,
Rialto Drain,1,2,34.04655,-117.35513,9/19/2017,5,3,20,0.16,NA,NA,NA,NA,BO,NV,NV,NV,NV,
Rialto Drain,1,2,34.04655,-117.35513,9/19/2017,5,3,20,0.35,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,2,34.04655,-117.35513,9/19/2017,5,3,20,0.56,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,2,34.04655,-117.35513,9/19/2017,5,3,22,0.37,NA,NA,NA,NA,CO,NV,17,NV,17,
Rialto Drain,1,2,34.04655,-117.35513,9/19/2017,5,3,22,0.26,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,2,34.04655,-117.35513,9/19/2017,5,3,24,0.49,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,2,34.04661,-117.35523,9/19/2017,6,3.4,10,0.17,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,2,34.04661,-117.35523,9/19/2017,6,3.4,10,0.02,NA,NA,0,WD,GV,17,NV,NV,NV,
Rialto Drain,1,2,34.04661,-117.35523,9/19/2017,6,3.4,10,0.29,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,2,34.04661,-117.35523,9/19/2017,6,3.4,12,0.22,NA,NA,0,WD,CO,NV,NV,NV,NV,
Rialto Drain,1,2,34.04661,-117.35523,9/19/2017,6,3.4,12,0.46,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,2,34.04661,-117.35523,9/19/2017,6,3.4,18,0.54,NA,NA,NA,NA,CO,NV,3,NV,2,
Rialto Drain,1,2,34.04661,-117.35523,9/19/2017,6,3.4,20,0.47,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,2,34.04661,-117.35523,9/19/2017,6,3.4,24,0.48,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,2,34.04661,-117.35523,9/19/2017,6,3.4,26,0.49,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,2,34.04661,-117.35523,9/19/2017,6,3.4,28,0.5,NA,NA,0,UB,GV,NV,NV,12,NV,
Rialto Drain,1,2,34.04661,-117.35523,9/19/2017,6,3.4,32,0.4,NA,NA,NA,NA,NA,NV,NV,NV,NV,
Rialto Drain,1,3,34.04714,-117.35566,9/19/2017,1,4.1,24,0.26,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,3,34.04714,-117.35566,9/19/2017,1,4.1,24,0.28,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,3,34.04714,-117.35566,9/19/2017,1,4.1,24,0.29,NA,NA,NA,NA,GV,NV,16,NV,16,
Rialto Drain,1,3,34.04714,-117.35566,9/19/2017,1,4.1,26,0.13,NA,NA,0,OV,GV,NV,NV,NV,NV,
Rialto Drain,1,3,34.04714,-117.35566,9/19/2017,1,4.1,26,0.27,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,3,34.04714,-117.35566,9/19/2017,1,4.1,26,0.27,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,3,34.04714,-117.35566,9/19/2017,1,4.1,28,0.2,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,3,34.04714,-117.35566,9/19/2017,1,4.1,28,0.27,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,3,34.04714,-117.35566,9/19/2017,1,4.1,28,0.35,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,3,34.04714,-117.35566,9/19/2017,1,4.1,30,0.08,NA,NA,NA,NA,SA,17,NV,NV,NV,
Rialto Drain,1,3,34.04721,-117.35571,9/19/2017,2,4.1,34,0.05,NA,NA,0,UB,SA,17,NV,NV,NV,
Rialto Drain,1,3,34.04721,-117.35571,9/19/2017,2,4.1,36,0.1,NA,NA,NA,NA,SA,NV,NV,NV,NV,
Rialto Drain,1,3,34.04721,-117.35571,9/19/2017,2,4.1,42,0.17,NA,NA,NA,NA,SA,NV,NV,NV,NV,
Rialto Drain,1,3,34.04721,-117.35571,9/19/2017,2,4.1,42,0.22,NA,NA,NA,NA,SA,NV,NV,NV,NV,
Rialto Drain,1,3,34.04721,-117.35571,9/19/2017,2,4.1,44,-0.07,NA,NA,NA,NA,SA,NV,NV,NV,NV,
Rialto Drain,1,3,34.04721,-117.35571,9/19/2017,2,4.1,46,0.29,NA,NA,NA,NA,SA,NV,15,NV,14,
Rialto Drain,1,3,34.04721,-117.35571,9/19/2017,2,4.1,52,0.3,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,3,34.04721,-117.35571,9/19/2017,2,4.1,54,-0.02,NA,NA,NA,NA,CO,NV,NV,17,NV,
Rialto Drain,1,3,34.04721,-117.35571,9/19/2017,2,4.1,56,0.23,NA,NA,NA,NA,SA,NV,NV,NV,NV,
Rialto Drain,1,3,34.04721,-117.35571,9/19/2017,2,4.1,60,0.04,NA,NA,NA,NA,SA,NV,NV,NV,NV,
Rialto Drain,1,3,34.04731,-117.35583,9/19/2017,3,2.6,20,0.01,NA,NA,NA,OV,CO,NV,NV,16,NV,
Rialto Drain,1,3,34.04731,-117.35583,9/19/2017,3,2.6,22,0.54,NA,NA,0,OV,CO,NV,NV,NV,NV,
Rialto Drain,1,3,34.04731,-117.35583,9/19/2017,3,2.6,26,0.54,NA,NA,NA,NA,GV,NV,15,NV,14,
Rialto Drain,1,3,34.04731,-117.35583,9/19/2017,3,2.6,28,0.33,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,3,34.04731,-117.35583,9/19/2017,3,2.6,28,0.47,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,3,34.04731,-117.35583,9/19/2017,3,2.6,30,0.01,NA,NA,0,OV,CO,11,NV,NV,NV,
Rialto Drain,1,3,34.04731,-117.35583,9/19/2017,3,2.6,30,0.44,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,3,34.04731,-117.35583,9/19/2017,3,2.6,32,0.42,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,3,34.04731,-117.35583,9/19/2017,3,2.6,32,0.55,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,3,34.04739,-117.3559,9/19/2017,4,3.9,1,0,NA,NA,NA,NA,SA,17,NV,NV,NV,
Rialto Drain,1,3,34.04739,-117.3559,9/19/2017,4,3.9,10,0.02,NA,NA,NA,BO,CO,NV,NV,NV,NV,
Rialto Drain,1,3,34.04739,-117.3559,9/19/2017,4,3.9,10,0.09,NA,NA,NA,OV,CO,NV,NV,NV,NV,
Rialto Drain,1,3,34.04739,-117.3559,9/19/2017,4,3.9,14,0.84,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,3,34.04739,-117.3559,9/19/2017,4,3.9,16,0.31,NA,NA,NA,NA,CO,NV,17,NV,2,
Rialto Drain,1,3,34.04739,-117.3559,9/19/2017,4,3.9,16,0.39,NA,NA,NA,BO,CO,NV,NV,NV,NV,
Rialto Drain,1,3,34.04739,-117.3559,9/19/2017,4,3.9,16,0.84,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,3,34.04739,-117.3559,9/19/2017,4,3.9,20,0.11,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,3,34.04739,-117.3559,9/19/2017,4,3.9,20,0.47,NA,NA,NA,OV,CO,NV,NV,17,NV,
Rialto Drain,1,3,34.04739,-117.3559,9/19/2017,4,3.9,22,0.78,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,3,34.04744,-117.35593,9/19/2017,5,3.3,22,0.02,NA,NA,NA,UB,CO,13,NV,NV,NV,
Rialto Drain,1,3,34.04744,-117.35593,9/19/2017,5,3.3,24,0.02,NA,NA,NA,UB,CO,NV,NV,NV,NV,
Rialto Drain,1,3,34.04744,-117.35593,9/19/2017,5,3.3,28,0.09,NA,NA,0,OV,BO,NV,NV,NV,NV,
Rialto Drain,1,3,34.04744,-117.35593,9/19/2017,5,3.3,28,0.27,NA,NA,NA,NA,GV,NV,NV,16,NV,
Rialto Drain,1,3,34.04744,-117.35593,9/19/2017,5,3.3,30,0.19,NA,NA,NA,OV,BO,NV,NV,NV,NV,
Rialto Drain,1,3,34.04744,-117.35593,9/19/2017,5,3.3,32,0.35,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,3,34.04744,-117.35593,9/19/2017,5,3.3,34,0.36,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,3,34.04744,-117.35593,9/19/2017,5,3.3,36,0.29,NA,NA,NA,NA,GV,NV,11,NV,15,
Rialto Drain,1,3,34.04744,-117.35593,9/19/2017,5,3.3,36,0.28,NA,NA,NA,NA,SA,NV,NV,NV,NV,
Rialto Drain,1,3,34.04744,-117.35593,9/19/2017,5,3.3,38,0.29,NA,NA,NA,NA,SA,NV,NV,NV,NV,
Rialto Drain,1,3,34.04754,-117.356,9/19/2017,6,3.5,1,0,NA,NA,NA,OV,SA,14,NV,NV,NV,
Rialto Drain,1,3,34.04754,-117.356,9/19/2017,6,3.5,4,0.16,NA,NA,NA,NA,BO,NV,NV,NV,NV,
Rialto Drain,1,3,34.04754,-117.356,9/19/2017,6,3.5,10,0.09,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,3,34.04754,-117.356,9/19/2017,6,3.5,20,0.86,NA,NA,NA,NA,CO,NV,NV,17,NV,
Rialto Drain,1,3,34.04754,-117.356,9/19/2017,6,3.5,20,-0.02,NA,NA,NA,NA,SA,NV,NV,NV,NV,
Rialto Drain,1,3,34.04754,-117.356,9/19/2017,6,3.5,22,0.56,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,3,34.04754,-117.356,9/19/2017,6,3.5,22,0.58,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain,1,3,34.04754,-117.356,9/19/2017,6,3.5,24,0.23,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain,1,3,34.04754,-117.356,9/19/2017,6,3.5,26,0.36,NA,NA,NA,NA,GV,NV,17,NV,16,
Rialto Drain,1,3,34.04754,-117.356,9/19/2017,6,3.5,26,0.42,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain to RIX,2,1,34.04149,-117.35422,9/19/2017,1,3.9,2,0.13,NA,NA,NA,OV,GV,17,NV,NV,NV,
Rialto Drain to RIX,2,1,34.04149,-117.35422,9/19/2017,1,3.9,12,0.16,NA,NA,NA,NA,GV,NV,NV,9,NV,
Rialto Drain to RIX,2,1,34.04149,-117.35422,9/19/2017,1,3.9,12,0.3,NA,NA,NA,OV,GV,NV,NV,NV,NV,
Rialto Drain to RIX,2,1,34.04149,-117.35422,9/19/2017,1,3.9,14,0.75,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain to RIX,2,1,34.04149,-117.35422,9/19/2017,1,3.9,14,0.94,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain to RIX,2,1,34.04149,-117.35422,9/19/2017,1,3.9,16,0.31,NA,NA,NA,NA,CO,NV,NV,NV,NV,
Rialto Drain to RIX,2,1,34.04149,-117.35422,9/19/2017,1,3.9,18,0.5,NA,NA,NA,NA,CO,NV,0,NV,1,
Rialto Drain to RIX,2,1,34.04149,-117.35422,9/19/2017,1,3.9,18,0.18,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain to RIX,2,1,34.04149,-117.35422,9/19/2017,1,3.9,18,0.34,NA,NA,NA,OV,GV,NV,NV,NV,NV,
Rialto Drain to RIX,2,1,34.04149,-117.35422,9/19/2017,1,3.9,20,0.33,NA,NA,NA,NA,GV,NV,NV,NV,NV,
Rialto Drain to RIX,2,1,34.04158,-117.35422,9/19/2017,2,4.4,2,0,NA,NA,NA,NA,SA,0,NV,NV,NV,
Rialto Drain to RIX,2,1,34.04158,-117.35422,9/19/2017,2,4.4,8,0,NA,NA,NA,NA,GV,NV,NV,9,NV,
Rialto Drain to RIX,2,1,34.04158,-117.35422,9/19/2017,2,4.4,12,0.01,NA,NA,NA,NA,SA,1,NV,NV,NV,
Rialto Drain to RIX,2,1,34.04158,-117.35422,9/19/2017,2,4.4,18,-0.01,NA,NA,NA,NA,SA,NV,NV,NV,NV,
Rialto Drain to RIX,2,1,34.04158,-117.35422,9/19/2017,2,4.4,22,0.03,NA,NA,NA,NA,SA,NV,NV,NV,NV,
Rialto Drain to RIX,2,1,34.04158,-117.35422,9/19/2017,2,4.4,34,0.01,NA,NA,NA,NA,SA,NV,NV,NV,NV,
Rialto Drain to RIX,2,1,34.04158,-117.35422,9/19/2017,2,4.4,40,0.19,NA,NA,NA,NA,GV,NV,NV,NV,NV,
