Section,Segment,Reach,Sampled Post storm (Y/N),Latitude,Longitude,Date,Transect #,Channel width (m),Depth (cm),Vel (0.6) m/s,Vel (0.2)  m/s,Vel (0.8)  m/s,Substrate,Available cover type,Distance (m) TO COVER,Line Order#,Transect DS to US order,Notes,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,2,4.2,48,0.19,NV,NV,GV,BO,0.6,8,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,2,4.2,40,0.11,NV,NV,GV,UB,1,9,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,2,4.2,40,0.09,NV,NV,GV,UB,0,10,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,3,4.9,10,-0.05,NV,NV,SA,OV,0,1,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,3,4.9,38,0.08,NV,NV,GV,OV,0,2,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,3,4.9,35,0.10,NV,NV,GV,OV,0,3,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,3,4.9,31,0.17,NV,NV,CO,OV,0.2,4,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,3,4.9,20,0.27,NV,NV,BO,BO,0,5,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,3,4.9,20,0.58,NV,NV,BO,BO,0,6,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,3,4.9,28,0.30,NV,NV,CO,CO,0.4,7,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,3,4.9,34,0.44,NV,NV,CO,UB,1,8,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,3,4.9,32,0.05,NV,NV,SA,UB,1.2,9,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,3,4.9,26,-0.06,NV,NV,SA,UB,0.8,10,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,4,3.1,22,0.01,NV,NV,SA,UB,0,1,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,4,3.1,18,0.01,NV,NV,CO,UB,0,2,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,4,3.1,38,0.73,NV,NV,BO,UB,0,3,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,4,3.1,22,1.18,NV,NV,BO,UB,0.3,4,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,4,3.1,37,0.54,NV,NV,CO,BO,0.3,5,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,4,3.1,36,0.29,NV,NV,CO,BO,0,6,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,4,3.1,20,-0.03,NV,NV,CO,BO,0,7,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,4,3.1,20,0.01,NV,NV,BO,BO,0.3,8,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,4,3.1,7,-0.04,NV,NV,CO,BO,0.6,9,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,4,3.1,2,0.00,NV,NV,GV,BO,0.9,10,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,5,4.6,2,0.00,NV,NV,SA,OV,0,1,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,5,4.6,15,0.02,NV,NV,SA,OV,0,2,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,5,4.6,22,0.11,NV,NV,CO,OV,0.3,3,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,5,4.6,27,0.24,NV,NV,CO,OV,0.7,4,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,5,4.6,17,0.29,NV,NV,CO,OV,0.1,5,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,5,4.6,20,0.56,NV,NV,CO,OV,1,6,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,5,4.6,16,0.12,NV,NV,CO,OV,2.1,7,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,5,4.6,24,0.34,NV,NV,CO,OV,1.6,8,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,5,4.6,22,0.40,NV,NV,CO,OV,1,9,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,5,4.6,20,-0.02,NV,NV,GV,OV,0,10,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,6,5.5,4,0.01,NV,NV,SA,OV,0,1,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,6,5.5,8,0.05,NV,NV,CO,OV,0,2,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,6,5.5,10,0.43,NV,NV,CO,OV,0.25,3,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,6,5.5,18,0.57,NV,NV,GV,OV,0.5,4,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,6,5.5,22,0.52,NV,NV,BO,BO,1,5,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,6,5.5,16,0.46,NV,NV,BO,BO,0,6,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,6,5.5,22,0.38,NV,NV,CO,OV,0.5,7,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,6,5.5,30,0.49,NV,NV,CO,OV,1,8,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,6,5.5,22,0.24,NV,NV,CO,OV,0.5,9,NV,,
Rialto Drain,1,1,N,34.04794,-117.35625,9/13/2015,6,5.5,7,0.00,NV,NV,BO,OV,0,10,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,1,3.8,2,0.00,NV,NV,GV,UB,0,1,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,1,3.8,14,0.40,NV,NV,CO,UB,0.4,2,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,1,3.8,19,0.29,NV,NV,GV,UB,0.8,3,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,1,3.8,20,0.34,NV,NV,GV,UB,1.2,4,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,1,3.8,21,0.53,NV,NV,CO,UB,1.6,5,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,1,3.8,20,0.41,NV,NV,GV,UB,2,6,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,1,3.8,18,0.58,NV,NV,CO,UB,2.4,7,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,1,3.8,13,0.44,NV,NV,CO,UB,2.8,8,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,1,3.8,8,0.32,NV,NV,CO,UB,3.2,9,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,1,3.8,4,0.31,NV,NV,CO,UB,3.6,10,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,2,3.5,10,0.16,NV,NV,CO,WD,0,1,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,2,3.5,12,0.21,NV,NV,CO,OV,0,2,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,2,3.5,18,0.14,NV,NV,CO,OV,0,3,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,2,3.5,22,0.43,NV,NV,CO,OV,0.3,4,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,2,3.5,23,0.67,NV,NV,CO,OV,1,5,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,2,3.5,23,0.41,NV,NV,CO,OV,1.2,6,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,2,3.5,22,0.59,NV,NV,CO,OV,1.5,7,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,2,3.5,20,0.60,NV,NV,CO,UB,1,8,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,2,3.5,22,0.39,NV,NV,GV,UB,0.8,9,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,2,3.5,20,0.06,NV,NV,BO,UB,0.5,10,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,3,3.1,2,0.00,NV,NV,GV,UB,2.9,1,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,3,3.1,4,0.00,NV,NV,SA,UB,2.6,2,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,3,3.1,10,0.27,NV,NV,GV,UB,2.3,3,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,3,3.1,6,0.63,NV,NV,CO,UB,2,4,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,3,3.1,16,0.78,NV,NV,GV,UB,1.7,5,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,3,3.1,14,0.93,NV,NV,CO,UB,1.4,6,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,3,3.1,20,0.17,NV,NV,GV,UB,1.1,7,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,3,3.1,28,0.73,NV,NV,CO,UB,0.8,8,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,3,3.1,26,0.67,NV,NV,CO,UB,0.5,9,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,3,3.1,22,0.01,NV,NV,SA,UB,0.2,10,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,4,3,11,0.13,NV,NV,GV,UB,3,1,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,4,3,12,0.61,NV,NV,CO,UB,2.2,2,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,4,3,20,0.82,NV,NV,CO,UB,2.4,3,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,4,3,20,0.69,NV,NV,BO,UB,2.1,4,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,4,3,24,0.92,NV,NV,CO,UB,1.8,5,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,4,3,16,0.89,NV,NV,CO,UB,1.5,6,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,4,3,12,0.84,NV,NV,BO,UB,1.2,7,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,4,3,12,0.38,NV,NV,GV,UB,0.9,8,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,4,3,16,0.21,NV,NV,GV,UB,0,9,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,4,3,12,-0.04,NV,NV,CO,UB,0,10,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,5,3.5,4,-0.02,NV,NV,SA,UB,0,1,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,5,3.5,24,0.01,NV,NV,GV,UB,0,2,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,5,3.5,12,0.13,NV,NV,GV,UB,0.2,3,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,5,3.5,22,0.43,NV,NV,GV,UB,0.5,4,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,5,3.5,18,0.58,NV,NV,CO,UB,0.8,5,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,5,3.5,20,0.62,NV,NV,CO,UB,1.1,6,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,5,3.5,10,0.80,NV,NV,BO,UB,1.4,7,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,5,3.5,22,0.65,NV,NV,CO,UB,1.7,8,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,5,3.5,20,0.65,NV,NV,BO,UB,2,9,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,5,3.5,28,0.50,NV,NV,CO,UB,2.3,10,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,6,3,30,-0.03,NV,NV,SA,UB,0,1,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,6,3,26,-0.03,NV,NV,SA,UB,0.3,2,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,6,3,36,0.24,NV,NV,SA,UB,0.6,3,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,6,3,32,0.79,NV,NV,CO,UB,0.9,4,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,6,3,24,1.19,NV,NV,CO,UB,1.2,5,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,6,3,22,0.88,NV,NV,CO,RW,1,6,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,6,3,20,0.09,NV,NV,CO,RW,0.8,7,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,6,3,14,-0.02,NV,NV,CO,RW,0.5,8,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,6,3,9,-0.05,NV,NV,GV,RW,0.2,9,NV,,
Rialto Drain,1,2,N,34.04683,-117.35528,9/13/2015,6,3,7,-0.02,NV,NV,GV,RW,0.2,10,NV,,
Rialto Drain,1,3,N,34.04506,-117.35378,9/12/2015,1,6.7,53,0.00,NV,NV,SA,UB,0,1,NV,,
Rialto Drain,1,3,N,34.04506,-117.35378,9/12/2015,1,6.7,41,0.00,NV,NV,SA,UB,0.7,2,NV,,
Rialto Drain,1,3,N,34.04506,-117.35378,9/12/2015,1,6.7,47,0.06,NV,NV,CO,UB,1.4,3,NV,,
Rialto Drain,1,3,N,34.04506,-117.35378,9/12/2015,1,6.7,48,0.11,NV,NV,GV,UB,2.1,4,NV,,
Rialto Drain,1,3,N,34.04506,-117.35378,9/12/2015,1,6.7,45,0.09,NV,NV,GV,UB,2.8,5,NV,,
Rialto Drain,1,3,N,34.04506,-117.35378,9/12/2015,1,6.7,35,0.11,NV,NV,GV,UB,3.5,6,NV,,
Rialto Drain,1,3,N,34.04506,-117.35378,9/12/2015,1,6.7,42,0.11,NV,NV,GV,UB,2.8,7,NV,,
Rialto Drain,1,3,N,34.04506,-117.35378,9/12/2015,1,6.7,39,0.10,NV,NV,GV,UB,2.1,8,NV,,
Rialto Drain,1,3,N,34.04506,-117.35378,9/12/2015,1,6.7,34,0.06,NV,NV,GV,UB,1.4,9,NV,,
Rialto Drain,1,3,N,34.04506,-117.35378,9/12/2015,1,6.7,32,0.03,NV,NV,SA,UB,0,10,NV,,
Rialto Drain,1,3,N,34.04506,-117.35378,9/12/2015,2,6.5,37,0.04,NV,NV,GV,UB,0.6,1,NV,,
Rialto Drain,1,3,N,34.04506,-117.35378,9/12/2015,2,6.5,40,0.07,NV,NV,GV,UB,1.2,2,NV,,
Rialto Drain,1,3,N,34.04506,-117.35378,9/12/2015,2,6.5,41,0.08,NV,NV,CO,UB,1.8,3,NV,,
Rialto Drain,1,3,N,34.04506,-117.35378,9/12/2015,2,6.5,43,0.18,NV,NV,GV,UB,2.4,4,NV,,
Rialto Drain,1,3,N,34.04506,-117.35378,9/12/2015,2,6.5,41,0.13,NV,NV,GV,UB,3,5,NV,,
Rialto Drain,1,3,N,34.04506,-117.35378,9/12/2015,2,6.5,41,0.16,NV,NV,GV,UB,2.4,6,NV,,
