Date,Site,Abundance,Temp (°C)
15-Sep-99,SGRB,1,22.11
15-Sep-99,SGRB,11,22.18
15-Sep-99,SGRB,1,21.77
15-Sep-99,SGRB,5,22.51
15-Sep-99,SGRB,1,22.51
15-Sep-99,SGRB,14,22.17
15-Sep-99,SGRB,3,22.49
15-Sep-99,SGRB,1,22.51
15-Sep-99,SGRB,2,21.97
15-Sep-99,SGRB,1,22.55
15-Sep-99,SGRB,2,22.14
15-Sep-99,SGRB,14,22.13
15-Sep-99,SGRB,4,22.12
15-Sep-99,SGRB,1,22.10
15-Sep-99,SGRB,1,22.18
15-Sep-99,SGRB,1,16.53
15-Sep-99,SGRB,1,16.57
15-Sep-99,SGRB,1,16.48
15-Sep-99,SGRB,15,16.51
15-Sep-99,SGRB,7,16.52
15-Sep-99,SGRB,6,16.56
15-Sep-99,SGRB,1,
17-Dec-98,SGRB,2,12.49
17-Dec-98,SGRB,1,12.50
17-Dec-98,SGRB,2,11.31
17-Dec-98,SGRB,1,11.31
17-Dec-98,SGRB,1,11.35
17-Dec-98,SGRB,1,11.33
17-Dec-98,SGRB,1,11.32
17-Dec-98,SGRB,2,12.54
17-Dec-98,SGRB,2,12.09
17-Dec-98,SGRB,2,12.15
17-Dec-98,SGRB,2,12.18
17-Dec-98,SGRB,1,13.16
17-Dec-98,SGRB,1,13.05
17-Dec-98,SGRB,1,13.14
17-Dec-98,SGRB,1,13.02
17-Dec-98,SGRB,1,13.02
17-Dec-98,SGRB,1,12.99
17-Dec-98,SGRB,1,12.62
17-Dec-98,SGRB,2,12.63
17-Dec-98,SGRB,1,12.64
17-Dec-98,SGRB,1,12.58
17-Dec-98,SGRB,1,12.57
18-Jun-99,SGRB,1,18.90
18-Jun-99,SGRB,1,18.77
18-Jun-99,SGRB,1,18.78
18-Jun-99,SGRB,5,18.80
18-Jun-99,SGRB,1,20.05
18-Jun-99,SGRB,1,20.62
18-Jun-99,SGRB,7,20.14
18-Jun-99,SGRB,1,22.94
18-Jun-99,SGRB,2,22.84
18-Jun-99,SGRB,1,23.13
18-Jun-99,SGRB,2,23.21
18-Jun-99,SGRB,1,23.33
18-Jun-99,SGRB,1,22.75
18-Jun-99,SGRB,1,22.66
18-Jun-99,SGRB,1,22.61
18-Jun-99,SGRB,2,22.57
18-Jun-99,SGRB,1,22.53
18-Jun-99,SGRB,3,22.54
18-Jun-99,SGRB,1,18.66
18-Jun-99,SGRB,1,18.68
