Location,Section,Date,Start Time,End Time,Observer,Recorder,Species,Count,"Estimated Total
Length (mm)",Distance of fish above bottom (cm),Velocity at fish (m/s),Total Depth (cm),Vel (0.6) m/s,Vel (0.2) m/s,Vel (0.8) m/s,Dominant Substrate,Distance from cover (m),Cover Type,GCU,Activity,Comments
Middle Channel to Riverside Drive,4,9/24/2017,1100,1220,Jason May,Larry Brown,Santa Ana Sucker,1,100,0,0.44,53,1.16,NA,NA,GV,0,OV,RUN,FEED,
Middle Channel to Riverside Drive,4,9/24/2017,1100,1220,Jason May,Larry Brown,Santa Ana Sucker,3,110,0,0.16,70,1.04,NA,NA,GV,0,OV,RUN,FEED,
Middle Channel to Riverside Drive,4,9/24/2017,1100,1220,Jason May,Larry Brown,Santa Ana Sucker,2,100,0,0.6,42,0.83,NA,NA,GV,2.5,UB,RUN,FEED,
Middle Channel to Riverside Drive,4,9/24/2017,1100,1220,Jason May,Larry Brown,Santa Ana Sucker,1,100,0,0.42,45,1.12,NA,NA,CO,2,OV,RUN,FEED,
Middle Channel to Riverside Drive,4,9/24/2017,1100,1220,Jason May,Larry Brown,Santa Ana Sucker,2,110,0,0.73,40,1.08,NA,NA,GV,0,OV,RUN,FEED,
Middle Channel to Riverside Drive,4,9/24/2017,1100,1220,Jason May,Larry Brown,Santa Ana Sucker,3,110,0,0.41,45,0.88,NA,NA,GV,1,UB,RIFFLE,FEED,
Middle Channel to Riverside Drive,4,9/24/2017,1100,1220,Jason May,Larry Brown,Santa Ana Sucker,1,130,0,0.41,45,0.88,NA,NA,GV,1,UB,RIFFLE,FEED,
Middle Channel to Riverside Drive,4,9/24/2017,1250,1338,Larry Brown,Jason May,Santa Ana Sucker,1,110,0,0.51,48,0.96,NA,NA,GV,1,UB,RUN,FEED,
Middle Channel to Riverside Drive,4,9/24/2017,1250,1338,Larry Brown,Jason May,Santa Ana Sucker,1,150,0,0.52,38,1.08,NA,NA,GV,2,OV,RUN,FEED,Middle Channel
Middle Channel to Riverside Drive,4,9/24/2017,1250,1338,Larry Brown,Jason May,Santa Ana Sucker,1,110,0,0.52,38,1.08,NA,NA,GV,2,OV,RUN,FEED,Middle Channel
Middle Channel to Riverside Drive,4,9/24/2017,1250,1338,Larry Brown,Jason May,Santa Ana Sucker,1,100,0,0.25,36,0.94,NA,NA,GV,4,OV,RUN,HOLD,Middle Channel
Middle Channel to Riverside Drive,4,9/24/2017,1250,1338,Larry Brown,Jason May,Santa Ana Sucker,4,100,0,0.38,48,0.89,NA,NA,GV,3,OV,RUN,FEED,
