Date,Condition,Site,Time,Replicate #,Fish #,SL (mm),TL (mm),Weight (g),Sex,Life Stage,Spawning (Y/N),Temp (°C),Depth (m),Current (m/sec)
12-Dec-98,OK,MWDA,1035,2,2,51,63,2.75,NB,0+ adult,N,15.68,0.25,0.6595364
12-Dec-98,OK,MWDA,1035,2,3,74,91,7.75,NB,0+ adult,N,15.68,0.22,0.3715512
12-Dec-98,OK,MWDA,1052,2,4,79,93,8.3,NB,0+ adult,N,15.67,0.28,0.3826256
12-Dec-98,OK,MWDA,1052,2,5,72,85,6.8,NB,0+ adult,N,15.67,0.30,0.505206
12-Dec-98,OK,MWDA,1105,2,6,73,87,7.2,NB,0+ adult,N,16.09,0.20,0.5272532
12-Dec-98,OK,MWDA,1158,3,7,55,68,3.6,NB,0+ adult,N,17.77,0.33,0.6044184
12-Dec-98,OK,MWDA,1158,3,8,58,72,4.2,NB,0+ adult,N,17.76,0.21,0.2386584
12-Dec-98,OK,MWDA,1305,3,9,63,74,4.3,NB,0+ adult,N,17.67,0.36,0.6485128
12-Dec-98,OK,MWDA,1310,3,10,52,64,2.8,NB,0+ adult,N,17.68,0.23,0.4379976
12-Dec-98,OK,MWDA,1310,3,11,44,55,1.6,NB,0+ adult,N,17.68,0.30,0.4941824
12-Dec-98,OK,MWDA,1319,4,12,54,67,3.2,NB,0+ adult,N,17.73,0.22,0.3494024
12-Dec-98,OK,MWDA,1319,4,13,68,82,5.3,NB,0+ adult,N,17.73,0.13,0.338328
12-Dec-98,OK,MWDA,1319,4,14,41,50,1.4,NB,0+ adult,N,17.73,0.19,0.4158488
12-Dec-98,OK,MWDA,1321,4,15,74,87,6.6,NB,0+ adult,N,17.72,0.18,0.3494024
12-Dec-98,OK,MWDA,1321,4,16,64,78,5.4,NB,0+ adult,N,17.72,0.62,0.67056
12-Dec-98,OK,MWDA,1410,4,17,78,94,10,NB,0+ adult,N,17.75,0.19,0.3494024
12-Dec-98,OK,MWDA,1410,4,18,48,59,2.1,NB,0+ adult,N,17.75,0.14,0.1389888
12-Dec-98,OK,MWDA,1410,4,19,54,64,2.9,NB,0+ adult,N,17.75,,
12-Dec-98,OK,MWDA,1414,4,20,69,83,6.5,NB,0+ adult,N,17.74,0.16,0.4379976
12-Dec-98,OK,MWDA,1424,5,21,78,92,9.9,NB,0+ adult,N,17.78,0.17,0.4047744
12-Dec-98,OK,MWDA,1424,5,22,49,61,3.1,NB,0+ adult,N,17.78,0.22,0.3272536
12-Dec-98,OK,MWDA,1454,5,23,69,87,7.7,NB,0+ adult,N,19.40,0.22,0.4611116
12-Dec-98,OK,MWDA,1454,5,24,69,84,5.9,NB,0+ adult,N,19.40,0.24,0.450088
16-Dec-99,OK,MWDA,1055,3,4,58,72,4.3,NB,0+ adult,N,17.42,0.24,0.5933948
16-Dec-99,OK,MWDA,1106,3,5,66,82,6.5,NB,0+ adult,N,16.80,0.14,0.3604768
16-Dec-99,OK,MWDA,1345,4,6,67,81,6,NB,0+ adult,N,17.84,0.37,0.7477252
16-Dec-99,OK,MWDA,1356,4,7,128,152,39,NB,2+ adult,N,17.89,0.30,0.5933948
16-Dec-99,OK,MWDA,1356,4,8,108,130,20,NB,1+ adult,N,17.89,0.27,0.3937
16-Dec-99,OK,MWDA,1356,4,9,128,152,36,NB,2+ adult,N,17.89,0.28,0.2165096
16-Dec-99,OK,MWDA,1427,5,10,118,137,31.5,NB,1+ adult,N,17.69,0.32,0.3051048
16-Dec-99,TU,MWDA,1438,5,11,108,129,22,NB,1+ adult,N,17.69,0.13,0.4158488
16-Dec-99,OK,MWDA,1453,5,12,118,145,38,NB,1+ adult,N,17.91,0.18,0.3272536
16-Dec-99,OK,MWDA,1459,5,13,95,114,17.5,NB,1+ adult,N,17.90,0.15,0.1500632
16-Dec-99,OK,MWDA,1459,5,14,65,81,7.5,NB,0+ adult,N,17.90,0.18,0.0946912
16-Dec-99,OK,MWDA,856,1,1,151,179,6.2,NB,2+ adult,N,14.87,0.14,0.3715512
16-Dec-99,OK,MWDA,944,2,2,70,87,6.3,NB,0+ adult,N,15.55,0.30,0.5162296
16-Dec-99,OK,MWDA,952,2,3,64,80,5.3,NB,0+ adult,N,15.39,0.15,0.1279144
17-Sep-99,OK,MWDA,,,20,63,78,5.5,NB,0+ adult,N,,0.30,0.3937
17-Sep-99,OK,MWDA,,,21,66,81,5.75,NB,0+ adult,N,,0.21,0.2165096
17-Sep-99,OK,MWDA,,,22,62,75,5,NB,0+ adult,N,,0.30,0.450088
17-Sep-99,OK,MWDA,,,23,104,127,21.75,NB,1+ adult,N,,0.30,0.6374892
17-Sep-99,OK,MWDA,,,24,59,71,4.25,NB,0+ adult,N,,0.23,0.4269232
17-Sep-99,PH,MWDA,,,25,110,131,22.75,NB,1+ adult,N,,0.29,0.5713476
17-Sep-99,OK,MWDA,,,26,112,136,30.5,NB,1+ adult,N,,0.31,0.5382768
17-Sep-99,OK,MWDA,,,27,112,136,30,NB,1+ adult,N,,0.22,0.5933948
17-Sep-99,OK,MWDA,,,28,63,71,3.5,NB,0+ adult,N,,0.26,0.4941824
17-Sep-99,PH,MWDA,,,29,45,55,2.25,NB,0+ adult,N,,0.19,0.4941824
17-Sep-99,OK,MWDA,,,30,50,60,2,NB,0+ adult,N,,0.18,0.3826256
17-Sep-99,OK,MWDA,,,31,49,59,2.25,NB,0+ adult,N,,0.20,0.4941824
17-Sep-99,OK,MWDA,,,32,52,64,3,NB,0+ adult,N,,0.14,0.4269232
17-Sep-99,OK,MWDA,,,33,52,62,2.75,NB,0+ adult,N,,0.09,0.1832864
17-Sep-99,OK,MWDA,,,34,55,66,3,NB,0+ adult,N,,0.39,0.6374892
17-Sep-99,OK,MWDA,,,35,41,51,1.5,NB,0+ adult,N,,0.15,0.3604768
17-Sep-99,OK,MWDA,,,36,63,72,5,NB,0+ adult,N,,0.16,0.227584
17-Sep-99,OK,MWDA,,,37,54,65,3.5,NB,0+ adult,N,,0.26,0.3051048
17-Sep-99,OK,MWDA,,,38,68,82,6,NB,0+ adult,N,,0.23,0.5713476
17-Sep-99,OK,MWDA,,,39,61,74,4,NB,0+ adult,N,,0.19,0.505206
17-Sep-99,OK,MWDA,,,40,42,53,1.5,NB,0+ adult,N,,0.15,0.3604768
17-Sep-99,OK,MWDA,1036,3,12,105,125,22,NB,1+ adult,N,22.47,0.16,0.3161792
17-Sep-99,OK,MWDA,1041,3,13,112,,27,NB,1+ adult,N,22.50,0.25,0.4721352
17-Sep-99,OK,MWDA,1053,3,14,116,139,27,NB,1+ adult,N,22.14,0.21,0.5272532
17-Sep-99,OK,MWDA,1053,3,15,55,66,2.5,NB,0+ adult,N,22.14,0.28,0.5493004
17-Sep-99,OK,MWDA,1054,3,16,107,130,26.5,NB,1+ adult,N,22.70,0.18,0.0946912
17-Sep-99,OK,MWDA,1100,3,17,105,125,25,NB,1+ adult,N,22.78,0.12,0.4047744
17-Sep-99,OK,MWDA,1130,4,18,58,69,3.5,NB,0+ adult,N,22.08,,
17-Sep-99,OK,MWDA,1130,4,19,51,61,6.5,NB,0+ adult,N,22.08,0.21,0.3051048
17-Sep-99,EP,MWDA,745,1,1,114,128,17.75,NB,1+ adult,N,19.36,0.40,0.5382768
17-Sep-99,OK,MWDA,805,1,2,50,61,2.5,NB,0+ adult,N,19.48,0.22,0.3604768
17-Sep-99,PH/EP,MWDA,908,2,3,94,113,14.5,NB,1+ adult,N,20.11,0.20,0.3161792
17-Sep-99,OK,MWDA,927,2,4,79,91,9,NB,0+ adult,N,22.14,0.20,0.5382768
17-Sep-99,OK,MWDA,927,2,5,50,61,3,NB,0+ adult,N,22.14,0.15,0.4158488
17-Sep-99,OK,MWDA,927,2,6,49,60,3,NB,0+ adult,N,22.14,0.13,0.3161792
17-Sep-99,OK,MWDA,927,2,7,70,85,6.5,NB,0+ adult,N,22.14,0.22,0.3826256
17-Sep-99,OK,MWDA,930,2,10,48,57,2.5,NB,0+ adult,N,22.17,0.17,0.4611116
17-Sep-99,OK,MWDA,930,2,8,55,64,3,NB,0+ adult,N,22.17,0.23,0.6595364
17-Sep-99,OK,MWDA,930,2,9,48,58,2,NB,0+ adult,N,22.17,,
17-Sep-99,OK,MWDA,933,2,11,48,58,3,NB,0+ adult,N,22.14,0.15,0.4269232
20-Jun-99,OK,MWDA,1044,2,5,103,119,19.5,NB,1+ adult,N,25.03,0.19,0.2608072
20-Jun-99,OK,MWDA,1047,2,6,33,39,1,NB,0+ adult,N,25.02,0.14,0.3494024
20-Jun-99,PH,MWDA,1047,2,7,33,39,1,NB,0+ adult,N,25.02,0.17,0.2497328
20-Jun-99,PH,MWDA,1047,2,8,41,49,1,NB,0+ adult,N,25.02,0.14,0.338328
20-Jun-99,OK,MWDA,1047,2,9,33,39,0.5,NB,0+ adult,N,25.02,0.15,0.1832864
20-Jun-99,OK,MWDA,1059,2,10,48,57,2,NB,0+ adult,N,24.92,0.31,0.6264656
20-Jun-99,PH,MWDA,1101,2,11,34,41,0.75,NB,0+ adult,N,24.85,0.30,0.560324
20-Jun-99,OK,MWDA,1104,2,12,45,55,2,NB,0+ adult,N,25.07,0.11,0.11684
20-Jun-99,OK,MWDA,1130,2,13,103,119,17.5,NB,1+ adult,N,25.25,0.47,0.6374892
20-Jun-99,OK,MWDA,1139,2,14,85,101,11,NB,1+ adult,N,25.53,0.21,0.3161792
20-Jun-99,OK,MWDA,1155,2,15,101,116,18,NB,1+ adult,N,27.80,0.22,0.3494024
20-Jun-99,EP,MWDA,904,1,1,108,122,21,NB,1+ adult,N,21.70,0.20,0.450088
20-Jun-99,OK,MWDA,919,1,2,99,114,18,NB,1+ adult,N,22.23,0.23,0.3272536
20-Jun-99,OK,MWDA,934,1,3,115,131,29.5,NB,1+ adult,N,22.48,0.35,0.4379976
20-Jun-99,PH,MWDA,950,1,4,45,53,2,NB,0+ adult,N,22.48,0.29,0.4611116
9-Mar-99,EP,MWDB,1008,1,6,135,154,39,NB,2+ adult,N,17.04,0.19,0.0946912
9-Mar-99,OK,MWDB,1010,1,7,83,101,10,NB,1+ adult,N,16.74,0.31,0.3494024
9-Mar-99,AB,MWD8,1015,1,8,92,112,15.5,NB,1+ adult,N,17.10,0.35,0.11684
9-Mar-99,OK,MWDB,1022,1,9,72,84,7,NB,0+ adult,N,17.15,0.40,0.7367016
9-Mar-99,OK,MWDB,1125,2,10,70,83,6,NB,0+ adult,N,18.19,0.31,0.7477252
9-Mar-99,OK,MWDB,1125,2,11,72,86,7,NB,0+ adult,N,18.19,0.19,0.3161792
9-Mar-99,OK,MWDB,1125,2,12,94,118,15,BT,1+ adult,Y,18.19,0.22,0.4379976
9-Mar-99,OK,MWDB,1125,2,13,63,75,5,NB,0+ adult,N,18.19,0.18,0.11684
9-Mar-99,OK,MWDB,1140,2,14,55,66,3.5,NB,0+ adult,N,18.32,0.27,0.2940304
9-Mar-99,OK,MWDB,1142,2,15,81,93,10,NB,1+ adult,N,18.28,0.26,0.4158488
9-Mar-99,OK,MWDB,1142,2,16,65,75,5,NB,0+ adult,N,18.28,0.32,0.3494024
9-Mar-99,OK,MWDB,1335,3,17,48,57,3.5,NB,0+ adult,N,20.06,0.37,0.172212
9-Mar-99,OK,MWDB,1335,3,18,70,83,6.5,NB,0+ adult,N,20.06,0.30,0.94615
9-Mar-99,OK,MWDB,1335,3,19,77,90,7.5,NB,0+ adult,N,20.06,0.30,0.9020556
9-Mar-99,OK,MWDB,1335,3,20,80,92,9,NB,0+ adult,N,20.06,0.29,0.6374892
9-Mar-99,OK,MWDB,1339,3,21,68,80,5.5,NB,0+ adult,N,19.70,0.18,0.450088
9-Mar-99,OK,MWDB,1350,3,22,92,106,13.5,NB,1+ adult,N,20.12,0.30,0.2386584
9-Mar-99,OK,MWDB,1350,3,23,90,102,14,NB,1+ adult,N,20.12,0.35,0.3161792
9-Mar-99,OK,MWDB,1518,4,24,85,102,11.5,NB,1+ adult,N,20.76,0.30,0.505206
9-Mar-99,OK,MWDB,1520,4,25,88,103,11.5,NB,1+ adult,N,20.48,0.28,0.2608072
9-Mar-99,OK,MWDB,1525,4,26,82,100,11.5,NB,1+ adult,N,20.58,0.23,0.9571736
9-Mar-99,OK,MWDB,1605,5,27,71,84,6,NB,0+ adult,N,18.83,0.15,0.3161792
9-Mar-99,PH,MWDB,1605,5,28,94,109,14.5,NB,1+ adult,N,18.83,0.20,0.4158488
9-Mar-99,OK,MWDB,1615,5,29,85,98,10.5,BT,1+ adult,Y,18.69,0.26,0.0503936
9-Mar-99,OK,MWDB,1625,5,30,70,81,7,NB,0+ adult,N,18.63,0.87,0
9-Mar-99,OK,MWDB,1640,5,31,78,89,8.5,NB,0+ adult,N,18.36,0.50,0
9-Mar-99,PH,MWDB,1642,5,32,75,88,,NB,0+ adult,N,18.40,0.28,0
9-Mar-99,OK,MWDB,1648,5,32,85,98,11.5,NB,1+ adult,N,18.26,0.29,0.0393192
9-Mar-99,OK,MWDB,930,1,1,61,71,4,NB,0+ adult,N,16.95,0.47,0.3051048
9-Mar-99,OK,MWDB,930,1,2,87,104,12.5,NB,1+ adult,N,16.95,0.31,0.0946912
9-Mar-99,OK,MWDB,930,1,3,63,76,5,NB,0+ adult,N,16.95,0.36,0.282956
9-Mar-99,OK,MWDB,932,1,4,59,70,4,NB,0+ adult,N,17.01,0.04,0.0393192
9-Mar-99,OK,MWDB,935,1,5,65,78,7,NB,0+ adult,N,17.02,0.52,0.1389888
14-Dec-98,OK,MWDB,,1,2,49,60,2.4,NB,0+ adult,N,,0.17,0.725678
14-Dec-98,OK,MWDB,1005,2,3,58,71,4,NB,0+ adult,N,13.35,0.40,0.3494024
14-Dec-98,OK,MWDB,1005,2,4,77,91,8.8,NB,0+ adult,N,13.35,0.28,0.4158488
14-Dec-98,OK,MWDB,1005,2,5,83,97,9.6,NB,1+ adult,N,13.35,0.23,0.3272536
14-Dec-98,OK,MWDB,1012,2,6,49,60,2.7,NB,0+ adult,N,13.46,0.44,0.2165096
14-Dec-98,OK,MWDB,1105,3,7,77,93,9,NB,0+ adult,N,14.60,0.38,0.282956
14-Dec-98,OK,MWDB,1115,3,8,52,64,3,NB,0+ adult,N,14.62,0.55,0.3604768
14-Dec-98,OK,MWDB,1157,4,9,68,83,5.7,NB,0+ adult,N,16.44,0.53,0.0946912
14-Dec-98,OK,MWDB,1213,4,10,73,90,6.55,NB,0+ adult,N,16.32,0.29,0.0836168
14-Dec-98,OK,MWDB,1215,4,11,54,65,3.4,NB,0+ adult,N,16.34,0.29,0.2608072
14-Dec-98,OK,MWDB,1423,6,12,69,82,6.5,NB,0+ adult,N,18.46,0.45,0.227584
14-Dec-98,OK,MWDB,1424,6,13,77,90,8,NB,0+ adult,N,18.42,0.30,0.5382768
14-Dec-98,OK,MWDB,1427,6,14,73,88,8,NB,0+ adult,N,18.36,0.23,0.5272532
14-Dec-98,OK,MWDB,1434,6,15,69,84,6.5,NB,0+ adult,N,18.33,0.25,0.4269232
14-Dec-98,OK,MWDB,917,1,1,65,79,5.5,NB,0+ adult,N,12.48,0.26,0.0503936
16-Sep-99,OK,MWDB,,,7,91,101,19,NB,1+ adult,N,,0.24,0.5382768
16-Sep-99,OK,MWDB,,,8,103,124,20,NB,1+ adult,N,,0.35,0.061468
16-Sep-99,PH,MWDB,1007,2,4,98,120,18.25,NB,1+ adult,N,20.17,0.56,0.0393192
16-Sep-99,OK,MWDB,1027,2,5,113,138,30.25,NB,1+ adult,N,20.42,,
16-Sep-99,OK,MWDB,1030,2,6,72,88,8,NB,0+ adult,N,20.16,0.56,0.0393192
16-Sep-99,OK,MWDB,845,1,1,109,133,25.5,NB,1+ adult,N,18.94,0.80,0.0836168
16-Sep-99,OK,MWDB,850,1,2,64,78,5.5,NB,0+ adult,N,19.05,0.75,0.1832864
16-Sep-99,OK,MWDB,858,1,3,97,118,21.4,NB,1+ adult,N,18.92,0.45,0.7146544
17-Dec-99,LS,MWDB,1024,4,2,76,90,9.5,NB,0+ adult,N,15.28,0.27,1.0784332
17-Dec-99,OK,MWDB,840,1,1,132,156,41.5,NB,2+ adult,N,13.07,0.39,0.1057656
21-Jun-99,OK,MWDB,1225,3,10,22,26,0.4,NB,Juvenile,N,29.24,0.21,0.1832864
21-Jun-99,PH,MWDB,1400,4,11,37,44,0.8,NB,0+ adult,N,28.61,0.40,0.4269232
21-Jun-99,OK,MWDB,800,1,1,25,29,0.4,NB,Juvenile,N,21.83,0.35,0.1500632
21-Jun-99,OK,MWDB,800,1,2,25,30,0.4,NB,Juvenile,N,21.83,0.20,0.4269232
21-Jun-99,OK,MWDB,857,2,3,115,122,21,NB,1+ adult,N,22.25,0.21,0.3051048
21-Jun-99,FE,MWDB,903,2,4,30,36,0.5,NB,Juvenile,N,22.61,0.25,0.2165096
21-Jun-99,PH,MWDB,903,2,5,38,46,1,NB,0+ adult,N,22.61,0.18,0.1279144
21-Jun-99,OK,MWDB,920,2,6,100,115,15,NB,1+ adult,N,22.42,0.21,0.1389888
21-Jun-99,OK,MWDB,941,2,7,99,111,16,NB,1+ adult,N,22.61,0.28,
21-Jun-99,OK,MWDB,955,2,8,98,113,16,NB,1+ adult,N,22.45,0.25,0.3826256
21-Jun-99,OK,MWDB,955,2,9,92,108,14.5,NB,1+ adult,N,22.45,0.35,0.3272536
10-Mar-99,OK,SGRA,1000,1,1,155,177,68,NB,2+ adult,N,9.15,0.41,0.3715512
10-Mar-99,PH,SGRA,1225,2,2,50,61,3,NB,0+ adult,N,9.36,0.30,0.1389888
11-Mar-99,PH,SGRA,1345,3,3,136,163,56,NB,2+ adult,N,9.85,0.33,0.1279144
14-Dec-99,TU/FE/PH,SGRA,1002,2,9,142,159,52,NB,2+ adult,N,7.97,0.39,0.1057656
14-Dec-99,OK,SGRA,1006,2,10,87,101,7.5,NB,1+ adult,N,8.01,0.38,0.2497328
14-Dec-99,OK,SGRA,1009,2,11,49,60,3,NB,0+ adult,N,8.06,0.43,0.2386584
14-Dec-99,OK,SGRA,1038,2,12,145,165,53,NB,2+ adult,N,8.36,0.24,0.0171704
14-Dec-99,OK,SGRA,1038,2,13,92,112,18,NB,1+ adult,N,8.36,0.49,0.6264656
14-Dec-99,OK,SGRA,1040,2,14,140,160,44,NB,2+ adult,N,8.37,0.29,0.0393192
14-Dec-99,OK,SGRA,1122,3,15,96,116,18,NB,1+ adult,N,8.96,0.18,0.0503936
14-Dec-99,OK,SGRA,1128,3,16,149,158,55,NB,2+ adult,N,8.74,0.39,0.0393192
14-Dec-99,OK,SGRA,1128,3,17,151,173,60,NB,2+ adult,N,8.74,0.30,0.2054352
14-Dec-99,OK,SGRA,1128,3,18,95,111,17,NB,1+ adult,N,8.74,0.36,0.0282448
14-Dec-99,OK,SGRA,1128,3,19,86,100,14,NB,1+ adult,N,8.74,0.28,0.6264656
14-Dec-99,OK,SGRA,1128,3,20,91,106,16,NB,1+ adult,N,8.74,0.42,0
14-Dec-99,OK,SGRA,1128,3,21,91,105,16,NB,1+ adult,N,8.74,0.51,0.9130792
14-Dec-99,OK,SGRA,1128,3,22,75,87,17,NB,0+ adult,N,8.74,0.36,0.1832864
14-Dec-99,OK,SGRA,1128,3,23,90,106,15,NB,1+ adult,N,8.74,0.45,0
14-Dec-99,OK,SGRA,1128,3,24,79,91,10,NB,0+ adult,N,8.74,0.36,0.4379976
14-Dec-99,OK,SGRA,1128,3,25,94,110,16,NB,1+ adult,N,8.74,0.91,0.227584
14-Dec-99,OK,SGRA,1128,3,26,87,101,14,NB,1+ adult,N,8.74,0.86,0.3604768
14-Dec-99,OK,SGRA,1134,3,27,80,98,12,NB,0+ adult,N,8.81,0.48,0.7367016
14-Dec-99,OK,SGRA,1136,3,28,90,101,13,NB,1+ adult,N,8.81,0.38,1.1776456
14-Dec-99,OK,SGRA,1138,3,29,100,114,15,NB,1+ adult,N,8.82,0.47,1.0233152
14-Dec-99,OK,SGRA,1138,3,30,79,95,10,NB,0+ adult,N,8.82,0.41,0.2054352
14-Dec-99,OK,SGRA,1139,3,31,158,176,67,NB,2+ adult,N,8.84,0.4,1.1555984
14-Dec-99,OK,SGRA,1139,3,32,142,152,46,NB,2+ adult,N,8.84,0.29,0.5272532
14-Dec-99,OK,SGRA,1308,4,33,88,106,14.5,NB,1+ adult,N,9.57,0.38,0.3826256
14-Dec-99,OK,SGRA,1310,4,34,135,158,46.5,NB,2+ adult,N,9.56,0.54,0.11684
14-Dec-99,OK,SGRA,1310,4,35,95,114,17,NB,1+ adult,N,9.56,0.34,0.0725424
14-Dec-99,OK,SGRA,1310,4,36,85,102,12.5,NB,1+ adult,N,9.56,0.21,0.6374892
14-Dec-99,OK,SGRA,1310,4,37,85,100,13.5,NB,1+ adult,N,9.56,0.32,0.3826256
14-Dec-99,OK,SGRA,1317,4,38,83,102,13.5,NB,1+ adult,N,9.56,0.83,0.1832864
14-Dec-99,OK,SGRA,1319,4,39,92,106,14.5,NB,1+ adult,N,9.55,0.54,0.5493004
14-Dec-99,OK,SGRA,1320,4,40,82,98,10.5,NB,1+ adult,N,9.54,0.45,0.2608072
14-Dec-99,OK,SGRA,1320,4,41,84,100,12,NB,1+ adult,N,9.54,0.32,1.2437872
14-Dec-99,OK,SGRA,1320,4,42,75,90,10.5,NB,0+ adult,N,9.54,0.21,1.1996928
14-Dec-99,OK,SGRA,1350,5,43,75,92,9,NB,0+ adult,N,9.60,0.27,0.6815836
14-Dec-99,OK,SGRA,1353,5,44,83,95,11.5,NB,1+ adult,N,9.59,0.42,0.67056
14-Dec-99,OK,SGRA,1355,5,45,85,92,11.5,NB,1+ adult,N,9.62,0.34,0.282956
14-Dec-99,OK,SGRA,1359,5,46,59,68,4.5,NB,0+ adult,N,9.60,0.18,0
14-Dec-99,OK,SGRA,1359,5,47,57,70,4,NB,0+ adult,N,9.60,0.30,0.2054352
14-Dec-99,OK,SGRA,1359,5,48,57,68,3.5,NB,0+ adult,N,9.60,0.28,0.0393192
14-Dec-99,OK,SGRA,1405,5,49,40,48,0.75,NB,0+ adult,N,9.59,0.10,0.0725424
14-Dec-99,OK,SGRA,1410,5,50,39,48,1,NB,0+ adult,N,9.58,0.30,0.6815836
14-Dec-99,OK,SGRA,1443,6,51,49,61,3,NB,0+ adult,N,9.46,0.81,0.11684
14-Dec-99,OK,SGRA,1443,6,52,52,63,3.5,NB,0+ adult,N,9.46,0.26,0.0503936
14-Dec-99,OK,SGRA,1443,6,53,43,53,2,NB,0+ adult,N,9.46,0.46,0.282956
14-Dec-99,OK,SGRA,1443,6,54,36,40,1,NB,0+ adult,N,9.46,0.31,0.1057656
14-Dec-99,PH,SGRA,1451,6,55,134,155,41,NB,2+ adult,N,9.44,0.49,0.7477252
14-Dec-99,FE,SGRA,1453,6,56,135,160,45,NB,2+ adult,N,9.42,0.13,0.11684
14-Dec-99,PH,SGRA,1501,6,57,55,67,4,NB,0+ adult,N,9.50,0.28,1.056386
14-Dec-99,OK,SGRA,1501,6,58,54,65,3.5,NB,0+ adult,N,9.50,0.20,0.4721352
14-Dec-99,OK,SGRA,1503,6,59,51,63,3,NB,0+ adult,N,9.46,0.22,0.2386584
14-Dec-99,OK,SGRA,1503,6,60,48,57,3,NB,0+ adult,N,9.46,0.30,0.1943608
14-Dec-99,OK,SGRA,1503,6,61,51,61,3.5,NB,0+ adult,N,9.46,0.33,0.3937
14-Dec-99,OK,SGRA,1503,6,62,49,61,3,NB,0+ adult,N,9.46,0.10,0.0282448
14-Dec-99,OK,SGRA,912,1,1,41,49,1,NB,0+ adult,N,6.93,0.38,0.1500632
14-Dec-99,OK,SGRA,916,1,2,152,170,63,NB,2+ adult,N,6.96,0.42,0.1943608
14-Dec-99,OK,SGRA,918,1,3,104,117,21,NB,1+ adult,N,6.98,0.38,0.1279144
14-Dec-99,OK,SGRA,918,1,4,85,99,19,NB,1+ adult,N,6.98,0.56,0.3826256
14-Dec-99,OK,SGRA,920,1,5,95,109,16,NB,1+ adult,N,7.04,0.56,0.1389888
14-Dec-99,OK,SGRA,925,1,6,90,107,14,NB,1+ adult,N,7.00,0.67,0.11684
14-Dec-99,OK,SGRA,925,1,7,78,91,10,NB,0+ adult,N,7.00,1.20,0.1279144
14-Dec-99,OK,SGRA,927,1,8,93,107,15,NB,1+ adult,N,7.02,0.53,0.2386584
14-Sep-99,OK,SGRA,1017,2,10,117,133,27.5,NB,1+ adult,N,18.57,0.68,0.3272536
14-Sep-99,OK,SGRA,1017,2,11,90,109,14,NB,1+ adult,N,18.57,0.75,0.1057656
14-Sep-99,OK,SGRA,1017,2,12,82,100,12,NB,1+ adult,N,18.57,0.27,0.172212
14-Sep-99,OK,SGRA,1017,2,8,94,107,15,NB,1+ adult,N,18.57,0.49,0.2054352
14-Sep-99,OK,SGRA,1017,2,9,86,98,11,NB,1+ adult,N,18.57,0.44,0.061468
14-Sep-99,OK,SGRA,1020,2,13,82,100,11,NB,1+ adult,N,18.58,0.21,0.0503936
14-Sep-99,OK,SGRA,1021,2,14,95,110,16,NB,1+ adult,N,18.63,0.24,0.2386584
14-Sep-99,OK,SGRA,1027,2,15,152,175,63,NB,2+ adult,N,18.68,0.27,0.3826256
14-Sep-99,OK,SGRA,1027,2,16,130,152,46,NB,2+ adult,N,18.68,0.46,0.1279144
14-Sep-99,OK,SGRA,1027,2,17,141,161,51.5,NB,2+ adult,N,18.68,0.36,0
