Location,Section,Reach,Date,Method,Pass,Observer,Common Name,Count,Total Length (mm),Fork Length (mm),Weight (g),Start Time,End Time,Total Shocker Seconds,Comments
Rialto Drain to RIX,2,1,9/19/2017,Snorkel,2,NV,Santa Ana Sucker,3,NV,50,NV,1404,1414,NV,
Rialto Drain to RIX,2,1,9/19/2017,Snorkel,2,NV,Arroyo Chub,43,NV,50,NV,1404,1414,NV,
Rialto Drain to RIX,2,1,9/19/2017,Snorkel,2,NV,Santa Ana Sucker,4,NV,60,NV,1404,1414,NV,
Rialto Drain to RIX,2,1,9/19/2017,Snorkel,2,NV,Arroyo Chub,11,NV,60,NV,1404,1414,NV,
Rialto Drain to RIX,2,1,9/19/2017,Snorkel,2,NV,Arroyo Chub,21,NV,70,NV,1404,1414,NV,
Rialto Drain to RIX,2,1,9/19/2017,Snorkel,2,NV,Santa Ana Sucker,2,NV,80,NV,1404,1414,NV,
Rialto Drain to RIX,2,1,9/19/2017,Snorkel,2,NV,Arroyo Chub,10,NV,80,NV,1404,1414,NV,
Rialto Drain to RIX,2,1,9/19/2017,Snorkel,2,NV,Santa Ana Sucker,2,NV,90,NV,1404,1414,NV,
Rialto Drain to RIX,2,1,9/19/2017,Snorkel,1,NV,Santa Ana Sucker,7,NV,50,NV,1352,1402,NV,
Rialto Drain to RIX,2,1,9/19/2017,Snorkel,1,NV,Arroyo Chub,60,NV,50,NV,1352,1402,NV,
Rialto Drain to RIX,2,1,9/19/2017,Snorkel,1,NV,Santa Ana Sucker,5,NV,60,NV,1352,1402,NV,
Rialto Drain to RIX,2,1,9/19/2017,Snorkel,1,NV,Arroyo Chub,78,NV,60,NV,1352,1402,NV,
Rialto Drain to RIX,2,1,9/19/2017,Snorkel,1,NV,Arroyo Chub,37,NV,70,NV,1352,1402,NV,
Rialto Drain to RIX,2,1,9/19/2017,Snorkel,1,Larry Brown,Arroyo Chub,7,NV,80,NV,1352,1402,NV,
Rialto Drain to RIX,2,1,9/19/2017,Snorkel,1,NV,Santa Ana Sucker,1,NV,100,NV,1352,1402,NV,
Rialto Drain to RIX,2,2,9/19/2017,Snorkel,2,Larry Brown,Arroyo Chub,35,NV,40,NV,1455,1305,NV,
Rialto Drain to RIX,2,2,9/19/2017,Snorkel,2,Larry Brown,Arroyo Chub,30,NV,50,NV,1455,1305,NV,
Rialto Drain to RIX,2,2,9/19/2017,Snorkel,2,Larry Brown,Arroyo Chub,30,NV,60,NV,1455,1305,NV,
Rialto Drain to RIX,2,2,9/19/2017,Snorkel,2,Larry Brown,Santa Ana Sucker,1,NV,70,NV,1455,1305,NV,
Rialto Drain to RIX,2,2,9/19/2017,Snorkel,1,Larry Brown,Arroyo Chub,20,NV,40,NV,1445,1454,NV,
Rialto Drain to RIX,2,2,9/19/2017,Snorkel,1,Larry Brown,Santa Ana Sucker,2,NV,50,NV,1445,1454,NV,
Rialto Drain to RIX,2,2,9/19/2017,Snorkel,1,Larry Brown,Arroyo Chub,29,NV,50,NV,1445,1454,NV,
Rialto Drain to RIX,2,2,9/19/2017,Snorkel,1,Larry Brown,Santa Ana Sucker,1,NV,60,NV,1445,1454,NV,
Rialto Drain to RIX,2,2,9/19/2017,Snorkel,1,Larry Brown,Arroyo Chub,26,NV,60,NV,1445,1454,NV,
Rialto Drain to RIX,2,2,9/19/2017,Snorkel,1,Larry Brown,Arroyo Chub,6,NV,70,NV,1445,1454,NV,
Rialto Drain to RIX,2,3,9/19/2017,Snorkel,2,Larry Brown,Arroyo Chub,16,NV,40,NV,1533,1543,NV,
Rialto Drain to RIX,2,3,9/19/2017,Snorkel,2,Larry Brown,Santa Ana Sucker,2,NV,50,NV,1533,1543,NV,
Rialto Drain to RIX,2,3,9/19/2017,Snorkel,2,Larry Brown,Arroyo Chub,40,NV,50,NV,1533,1543,NV,
Rialto Drain to RIX,2,3,9/19/2017,Snorkel,2,Larry Brown,Santa Ana Sucker,2,NV,60,NV,1533,1543,NV,
Rialto Drain to RIX,2,3,9/19/2017,Snorkel,2,Larry Brown,Arroyo Chub,40,NV,60,NV,1533,1543,NV,
Rialto Drain to RIX,2,3,9/19/2017,Snorkel,2,Larry Brown,Santa Ana Sucker,1,NV,70,NV,1533,1543,NV,
Rialto Drain to RIX,2,3,9/19/2017,Snorkel,2,Larry Brown,Arroyo Chub,10,NV,70,NV,1533,1543,NV,
Rialto Drain to RIX,2,3,9/19/2017,Snorkel,2,Larry Brown,Arroyo Chub,5,NV,80,NV,1533,1543,NV,
Rialto Drain to RIX,2,3,9/19/2017,Snorkel,1,Larry Brown,Arroyo Chub,40,NV,40,NV,1521,1530,NV,
Rialto Drain to RIX,2,3,9/19/2017,Snorkel,1,Larry Brown,Arroyo Chub,40,NV,50,NV,1521,1530,NV,
Rialto Drain to RIX,2,3,9/19/2017,Snorkel,1,Larry Brown,Santa Ana Sucker,4,NV,60,NV,1521,1530,NV,
Rialto Drain to RIX,2,3,9/19/2017,Snorkel,1,Larry Brown,Arroyo Chub,10,NV,60,NV,1521,1530,NV,
Rialto Drain to RIX,2,3,9/19/2017,Snorkel,1,Larry Brown,Santa Ana Sucker,2,NV,70,NV,1521,1530,NV,
Rialto Drain to RIX,2,3,9/19/2017,Snorkel,1,Larry Brown,Arroyo Chub,10,NV,70,NV,1521,1530,NV,
Rialto Drain to RIX,2,3,9/19/2017,Snorkel,1,Larry Brown,Santa Ana Sucker,2,NV,80,NV,1521,1530,NV,
RIX to Middle Channel ,3,1,9/20/2017,Snorkel,2,Larry Brown,Arroyo Chub,20,NV,40,NV,NV,NV,NV,
RIX to Middle Channel ,3,1,9/20/2017,Snorkel,2,Larry Brown,Santa Ana Sucker,2,NV,50,NV,NV,NV,NV,
RIX to Middle Channel ,3,1,9/20/2017,Snorkel,2,Jason May,Arroyo Chub,30,NV,50,NV,NV,NV,NV,
RIX to Middle Channel ,3,1,9/20/2017,Snorkel,2,Larry Brown,Arroyo Chub,50,NV,50,NV,NV,NV,NV,
RIX to Middle Channel ,3,1,9/20/2017,Snorkel,2,Jason May,Santa Ana Sucker,2,NV,60,NV,NV,NV,NV,
RIX to Middle Channel ,3,1,9/20/2017,Snorkel,2,Larry Brown,Santa Ana Sucker,5,NV,60,NV,NV,NV,NV,
RIX to Middle Channel ,3,1,9/20/2017,Snorkel,2,Jason May,Arroyo Chub,30,NV,60,NV,NV,NV,NV,
RIX to Middle Channel ,3,1,9/20/2017,Snorkel,2,Larry Brown,Arroyo Chub,40,NV,60,NV,NV,NV,NV,
RIX to Middle Channel ,3,1,9/20/2017,Snorkel,2,Jason May,Arroyo Chub,8,NV,70,NV,NV,NV,NV,
RIX to Middle Channel ,3,1,9/20/2017,Snorkel,2,Larry Brown,Santa Ana Sucker,10,NV,70,NV,NV,NV,NV,
RIX to Middle Channel ,3,1,9/20/2017,Snorkel,2,Larry Brown,Arroyo Chub,13,NV,70,NV,NV,NV,NV,
RIX to Middle Channel ,3,1,9/20/2017,Snorkel,2,Larry Brown,Arroyo Chub,3,NV,80,NV,NV,NV,NV,
RIX to Middle Channel ,3,1,9/20/2017,Snorkel,2,Larry Brown,Santa Ana Sucker,3,NV,80,NV,NV,NV,NV,
RIX to Middle Channel ,3,1,9/20/2017,Snorkel,2,Jason May,Arroyo Chub,8,NV,80,NV,NV,NV,NV,
RIX to Middle Channel ,3,1,9/20/2017,Snorkel,2,Jason May,Arroyo Chub,2,NV,90,NV,NV,NV,NV,
RIX to Middle Channel ,3,1,9/20/2017,Snorkel,2,Larry Brown,Santa Ana Sucker,2,NV,90,NV,NV,NV,NV,
RIX to Middle Channel ,3,1,9/20/2017,Snorkel,1,Larry Brown,Arroyo Chub,5,NV,40,NV,912,924,NV,
RIX to Middle Channel ,3,1,9/20/2017,Snorkel,1,Larry Brown,Santa Ana Sucker,2,NV,50,NV,912,924,NV,
RIX to Middle Channel ,3,1,9/20/2017,Snorkel,1,Larry Brown,Arroyo Chub,30,NV,50,NV,912,924,NV,
RIX to Middle Channel ,3,1,9/20/2017,Snorkel,1,Jason May,Santa Ana Sucker,2,NV,60,NV,912,924,NV,
RIX to Middle Channel ,3,1,9/20/2017,Snorkel,1,Larry Brown,Santa Ana Sucker,4,NV,60,NV,912,924,NV,
RIX to Middle Channel ,3,1,9/20/2017,Snorkel,1,Jason May,Arroyo Chub,30,NV,60,NV,912,924,NV,
RIX to Middle Channel ,3,1,9/20/2017,Snorkel,1,Larry Brown,Arroyo Chub,45,NV,60,NV,912,924,NV,
RIX to Middle Channel ,3,1,9/20/2017,Snorkel,1,Larry Brown,Santa Ana Sucker,4,NV,70,NV,912,924,NV,
RIX to Middle Channel ,3,1,9/20/2017,Snorkel,1,Larry Brown,Arroyo Chub,23,NV,70,NV,912,924,NV,
RIX to Middle Channel ,3,1,9/20/2017,Snorkel,1,Jason May,Arroyo Chub,30,NV,70,NV,912,924,NV,
RIX to Middle Channel ,3,1,9/20/2017,Snorkel,1,Larry Brown,Santa Ana Sucker,4,NV,80,NV,912,924,NV,
RIX to Middle Channel ,3,1,9/20/2017,Snorkel,1,Larry Brown,Arroyo Chub,5,NV,80,NV,912,924,NV,
RIX to Middle Channel ,3,1,9/20/2017,Snorkel,1,Jason May,Arroyo Chub,8,NV,80,NV,912,924,NV,
RIX to Middle Channel ,3,1,9/20/2017,Snorkel,1,Jason May,Arroyo Chub,2,NV,90,NV,912,924,NV,
RIX to Middle Channel ,3,1,9/20/2017,Snorkel,1,Larry Brown,Santa Ana Sucker,2,NV,90,NV,912,924,NV,
RIX to Middle Channel ,3,2,9/20/2017,Snorkel,2,Larry Brown,Arroyo Chub,49,NV,10,NV,1145,1155,NV,
RIX to Middle Channel ,3,2,9/20/2017,Snorkel,2,Larry Brown,Santa Ana Sucker,1,NV,40,NV,1145,1155,NV,
RIX to Middle Channel ,3,2,9/20/2017,Snorkel,2,Larry Brown,Arroyo Chub,5,NV,40,NV,1145,1155,NV,
RIX to Middle Channel ,3,2,9/20/2017,Snorkel,2,Jason May,Arroyo Chub,5,NV,40,NV,1145,1155,NV,
RIX to Middle Channel ,3,2,9/20/2017,Snorkel,2,Jason May,Arroyo Chub,15,NV,50,NV,1145,1155,NV,
RIX to Middle Channel ,3,2,9/20/2017,Snorkel,2,Larry Brown,Arroyo Chub,20,NV,50,NV,1145,1155,NV,
RIX to Middle Channel ,3,2,9/20/2017,Snorkel,2,Larry Brown,Santa Ana Sucker,3,NV,60,NV,1145,1155,NV,
RIX to Middle Channel ,3,2,9/20/2017,Snorkel,2,Jason May,Arroyo Chub,35,NV,60,NV,1145,1155,NV,
RIX to Middle Channel ,3,2,9/20/2017,Snorkel,2,Larry Brown,Santa Ana Sucker,5,NV,70,NV,1145,1155,NV,
RIX to Middle Channel ,3,2,9/20/2017,Snorkel,2,Jason May,Arroyo Chub,35,NV,70,NV,1145,1155,NV,
RIX to Middle Channel ,3,2,9/20/2017,Snorkel,2,Larry Brown,Arroyo Chub,38,NV,70,NV,1145,1155,NV,
RIX to Middle Channel ,3,2,9/20/2017,Snorkel,2,Larry Brown,Santa Ana Sucker,3,NV,80,NV,1145,1155,NV,
RIX to Middle Channel ,3,2,9/20/2017,Snorkel,2,Jason May,Arroyo Chub,5,NV,80,NV,1145,1155,NV,
RIX to Middle Channel ,3,2,9/20/2017,Snorkel,2,Larry Brown,Arroyo Chub,18,NV,80,NV,1145,1155,NV,
RIX to Middle Channel ,3,2,9/20/2017,Snorkel,2,Larry Brown,Santa Ana Sucker,1,NV,100,NV,1145,1155,NV,
RIX to Middle Channel ,3,2,9/20/2017,Snorkel,2,Larry Brown,Largemouth Bass,1,NV,180,NV,1145,1155,NV,
RIX to Middle Channel ,3,2,9/20/2017,Snorkel,2,Larry Brown,Largemouth Bass,1,NV,200,NV,1145,1155,NV,
RIX to Middle Channel ,3,2,9/20/2017,Snorkel,1,Jason May,Arroyo Chub,12,NV,40,NV,1130,1143,NV,
RIX to Middle Channel ,3,2,9/20/2017,Snorkel,1,Jason May,Santa Ana Sucker,10,NV,50,NV,1130,1143,NV,
RIX to Middle Channel ,3,2,9/20/2017,Snorkel,1,Jason May,Arroyo Chub,25,NV,50,NV,1130,1143,NV,
RIX to Middle Channel ,3,2,9/20/2017,Snorkel,1,Larry Brown,Arroyo Chub,35,NV,50,NV,1130,1143,NV,
RIX to Middle Channel ,3,2,9/20/2017,Snorkel,1,Larry Brown,Santa Ana Sucker,3,NV,60,NV,1130,1143,NV,
RIX to Middle Channel ,3,2,9/20/2017,Snorkel,1,Jason May,Santa Ana Sucker,10,NV,60,NV,1130,1143,NV,
RIX to Middle Channel ,3,2,9/20/2017,Snorkel,1,Larry Brown,Arroyo Chub,40,NV,60,NV,1130,1143,NV,
RIX to Middle Channel ,3,2,9/20/2017,Snorkel,1,Jason May,Arroyo Chub,55,NV,60,NV,1130,1143,NV,
RIX to Middle Channel ,3,2,9/20/2017,Snorkel,1,Larry Brown,Santa Ana Sucker,5,NV,70,NV,1130,1143,NV,
RIX to Middle Channel ,3,2,9/20/2017,Snorkel,1,Jason May,Arroyo Chub,20,NV,70,NV,1130,1143,NV,
RIX to Middle Channel ,3,2,9/20/2017,Snorkel,1,Larry Brown,Arroyo Chub,28,NV,70,NV,1130,1143,NV,
RIX to Middle Channel ,3,2,9/20/2017,Snorkel,1,Larry Brown,Santa Ana Sucker,3,NV,80,NV,1130,1143,NV,
RIX to Middle Channel ,3,2,9/20/2017,Snorkel,1,Larry Brown,Arroyo Chub,13,NV,80,NV,1130,1143,NV,
RIX to Middle Channel ,3,2,9/20/2017,Snorkel,1,Larry Brown,Santa Ana Sucker,1,NV,100,NV,1130,1143,NV,
RIX to Middle Channel ,3,2,9/20/2017,Snorkel,1,Jason May,Santa Ana Sucker,1,NV,100,NV,1130,1143,NV,
RIX to Middle Channel ,3,2,9/20/2017,Snorkel,1,Larry Brown,Santa Ana Sucker,1,NV,120,NV,1130,1143,NV,
RIX to Middle Channel ,3,2,9/20/2017,Snorkel,1,Larry Brown,Largemouth Bass,1,NV,200,NV,1130,1143,NV,
RIX to Middle Channel ,3,3,9/20/2017,Snorkel,2,Larry Brown,Santa Ana Sucker,2,NV,50,NV,1357,1400,NV,
RIX to Middle Channel ,3,3,9/20/2017,Snorkel,2,Jason May,Santa Ana Sucker,5,NV,50,NV,1357,1400,NV,
RIX to Middle Channel ,3,3,9/20/2017,Snorkel,2,Jason May,Arroyo Chub,10,NV,50,NV,1357,1400,NV,
RIX to Middle Channel ,3,3,9/20/2017,Snorkel,2,Jason May,Arroyo Chub,10,NV,60,NV,1357,1400,NV,
RIX to Middle Channel ,3,3,9/20/2017,Snorkel,2,Jason May,Santa Ana Sucker,25,NV,60,NV,1357,1400,NV,
RIX to Middle Channel ,3,3,9/20/2017,Snorkel,2,Larry Brown,Santa Ana Sucker,3,NV,70,NV,1357,1400,NV,
RIX to Middle Channel ,3,3,9/20/2017,Snorkel,2,Jason May,Arroyo Chub,5,NV,70,NV,1357,1400,NV,
RIX to Middle Channel ,3,3,9/20/2017,Snorkel,2,Larry Brown,Arroyo Chub,6,NV,70,NV,1357,1400,NV,
RIX to Middle Channel ,3,3,9/20/2017,Snorkel,2,Jason May,Santa Ana Sucker,6,NV,70,NV,1357,1400,NV,
RIX to Middle Channel ,3,3,9/20/2017,Snorkel,2,Larry Brown,Arroyo Chub,7,NV,80,NV,1357,1400,NV,
RIX to Middle Channel ,3,3,9/20/2017,Snorkel,2,Larry Brown,Santa Ana Sucker,10,NV,80,NV,1357,1400,NV,
RIX to Middle Channel ,3,3,9/20/2017,Snorkel,2,Larry Brown,Santa Ana Sucker,6,NV,90,NV,1357,1400,NV,
RIX to Middle Channel ,3,3,9/20/2017,Snorkel,2,Jason May,Santa Ana Sucker,1,NV,100,NV,1357,1400,NV,
RIX to Middle Channel ,3,3,9/20/2017,Snorkel,2,Larry Brown,Santa Ana Sucker,3,NV,100,NV,1357,1400,NV,
RIX to Middle Channel ,3,3,9/20/2017,Snorkel,2,Jason May,Santa Ana Sucker,1,NV,120,NV,1357,1400,NV,
RIX to Middle Channel ,3,3,9/20/2017,Snorkel,2,Larry Brown,Santa Ana Sucker,3,NV,120,NV,1357,1400,NV,
RIX to Middle Channel ,3,3,9/20/2017,Snorkel,1,Jason May,Arroyo Chub,5,NV,40,NV,1340,1352,NV,
RIX to Middle Channel ,3,3,9/20/2017,Snorkel,1,Jason May,Arroyo Chub,15,NV,50,NV,1340,1352,NV,
RIX to Middle Channel ,3,3,9/20/2017,Snorkel,1,Jason May,Santa Ana Sucker,12,NV,60,NV,1340,1352,NV,
RIX to Middle Channel ,3,3,9/20/2017,Snorkel,1,Larry Brown,Santa Ana Sucker,18,NV,60,NV,1340,1352,NV,
RIX to Middle Channel ,3,3,9/20/2017,Snorkel,1,Jason May,Arroyo Chub,20,NV,60,NV,1340,1352,NV,
RIX to Middle Channel ,3,3,9/20/2017,Snorkel,1,Jason May,Santa Ana Sucker,5,NV,70,NV,1340,1352,NV,
RIX to Middle Channel ,3,3,9/20/2017,Snorkel,1,Larry Brown,Arroyo Chub,14,NV,70,NV,1340,1352,NV,
RIX to Middle Channel ,3,3,9/20/2017,Snorkel,1,Larry Brown,Santa Ana Sucker,20,NV,70,NV,1340,1352,NV,
RIX to Middle Channel ,3,3,9/20/2017,Snorkel,1,Larry Brown,Santa Ana Sucker,1,NV,80,NV,1340,1352,NV,
RIX to Middle Channel ,3,3,9/20/2017,Snorkel,1,Larry Brown,Arroyo Chub,5,NV,80,NV,1340,1352,NV,
RIX to Middle Channel ,3,3,9/20/2017,Snorkel,1,Larry Brown,Santa Ana Sucker,3,NV,100,NV,1340,1352,NV,
RIX to Middle Channel ,3,3,9/20/2017,Snorkel,1,Jason May,Santa Ana Sucker,1,NV,120,NV,1340,1352,NV,
RIX to Middle Channel ,3,3,9/20/2017,Snorkel,1,Larry Brown,Santa Ana Sucker,2,NV,120,NV,1340,1352,NV,
RIX to Middle Channel ,3,3,9/20/2017,Snorkel,1,Larry Brown,Santa Ana Sucker,1,NV,140,NV,1340,1352,NV,
RIX to Middle Channel ,3,3,9/20/2017,Snorkel,1,Jason May,Santa Ana Sucker,1,NV,140,NV,1340,1352,NV,
RIX to Middle Channel ,3,3,9/20/2017,Snorkel,1,Jason May,Largemouth Bass,1,NV,150,NV,1340,1352,NV,
Below Riverside Drive,5,1,9/22/2017,Snorkel,2,Larry Brown,Arroyo Chub,60,NV,40,NV,916,930,NV,
Below Riverside Drive,5,1,9/22/2017,Snorkel,2,Larry Brown,Santa Ana Sucker,5,NV,50,NV,916,930,NV,
Below Riverside Drive,5,1,9/22/2017,Snorkel,2,Larry Brown,Arroyo Chub,70,NV,50,NV,916,930,NV,
Below Riverside Drive,5,1,9/22/2017,Snorkel,2,Larry Brown,Santa Ana Sucker,4,NV,60,NV,916,930,NV,
Below Riverside Drive,5,1,9/22/2017,Snorkel,2,Larry Brown,Arroyo Chub,60,NV,60,NV,916,930,NV,
Below Riverside Drive,5,1,9/22/2017,Snorkel,2,Larry Brown,Santa Ana Sucker,2,NV,70,NV,916,930,NV,
Below Riverside Drive,5,1,9/22/2017,Snorkel,2,Larry Brown,Arroyo Chub,30,NV,70,NV,916,930,NV,
Below Riverside Drive,5,1,9/22/2017,Snorkel,2,Larry Brown,Santa Ana Sucker,1,NV,90,NV,916,930,NV,
Below Riverside Drive,5,1,9/22/2017,Snorkel,1,Larry Brown,Arroyo Chub,70,NV,40,NV,900,914,NV,
Below Riverside Drive,5,1,9/22/2017,Snorkel,1,Larry Brown,Santa Ana Sucker,2,NV,50,NV,900,914,NV,
Below Riverside Drive,5,1,9/22/2017,Snorkel,1,Larry Brown,Arroyo Chub,80,NV,50,NV,900,914,NV,
Below Riverside Drive,5,1,9/22/2017,Snorkel,1,Larry Brown,Santa Ana Sucker,5,NV,60,NV,900,914,NV,
Below Riverside Drive,5,1,9/22/2017,Snorkel,1,Larry Brown,Arroyo Chub,60,NV,60,NV,900,914,NV,
Below Riverside Drive,5,1,9/22/2017,Snorkel,1,Larry Brown,Santa Ana Sucker,4,NV,70,NV,900,914,NV,
Below Riverside Drive,5,1,9/22/2017,Snorkel,1,Larry Brown,Arroyo Chub,20,NV,70,NV,900,914,NV,
Below Riverside Drive,5,1,9/22/2017,Snorkel,1,Larry Brown,Arroyo Chub,5,NV,80,NV,900,914,NV,
Below Riverside Drive,5,2,9/22/2017,Snorkel,2,Larry Brown,Arroyo Chub,10,NV,40,NV,1033,1038,NV,
Below Riverside Drive,5,2,9/22/2017,Snorkel,2,Larry Brown,Arroyo Chub,10,NV,50,NV,1033,1038,NV,
Below Riverside Drive,5,2,9/22/2017,Snorkel,2,Larry Brown,Arroyo Chub,10,NV,60,NV,1033,1038,NV,
Below Riverside Drive,5,2,9/22/2017,Snorkel,1,Larry Brown,Arroyo Chub,10,NV,40,NV,1024,1032,NV,"Very shallow, tough to snorkel"
Below Riverside Drive,5,2,9/22/2017,Snorkel,1,Larry Brown,Arroyo Chub,10,NV,50,NV,1024,1032,NV,
Below Riverside Drive,5,3,9/22/2017,Snorkel,2,Larry Brown,Arroyo Chub,13,NV,40,NV,1048,1056,NV,
Below Riverside Drive,5,3,9/22/2017,Snorkel,2,Larry Brown,Santa Ana Sucker,1,NV,50,NV,1048,1056,NV,
Below Riverside Drive,5,3,9/22/2017,Snorkel,2,Larry Brown,Arroyo Chub,16,NV,50,NV,1048,1056,NV,
Below Riverside Drive,5,3,9/22/2017,Snorkel,2,Larry Brown,Santa Ana Sucker,1,NV,60,NV,1048,1056,NV,
Below Riverside Drive,5,3,9/22/2017,Snorkel,2,Larry Brown,Arroyo Chub,16,NV,60,NV,1048,1056,NV,
Below Riverside Drive,5,3,9/22/2017,Snorkel,2,Larry Brown,Santa Ana Sucker,1,NV,70,NV,1048,1056,NV,
Below Riverside Drive,5,3,9/22/2017,Snorkel,2,Larry Brown,Arroyo Chub,4,NV,70,NV,1048,1056,NV,
Below Riverside Drive,5,3,9/22/2017,Snorkel,1,Larry Brown,Arroyo Chub,10,NV,50,NV,1040,1047,NV,
Below Riverside Drive,5,3,9/22/2017,Snorkel,1,Larry Brown,Santa Ana Sucker,1,NV,60,NV,1040,1047,NV,
Below Riverside Drive,5,3,9/22/2017,Snorkel,1,Larry Brown,Arroyo Chub,40,NV,60,NV,1040,1047,NV,
Below Riverside Drive,5,3,9/22/2017,Snorkel,1,Larry Brown,Arroyo Chub,3,NV,70,NV,1040,1047,NV,
Below HWY 60,6,1,9/21/2017,Snorkel,2,Larry Brown,Santa Ana Sucker,1,NV,40,NV,948,955,NV,
Below HWY 60,6,1,9/21/2017,Snorkel,2,Larry Brown,Arroyo Chub,9,NV,40,NV,948,955,NV,
Below HWY 60,6,1,9/21/2017,Snorkel,2,Larry Brown,Santa Ana Sucker,1,NV,50,NV,948,955,NV,
Below HWY 60,6,1,9/21/2017,Snorkel,2,Larry Brown,Arroyo Chub,10,NV,50,NV,948,955,NV,
Below HWY 60,6,1,9/21/2017,Snorkel,1,Larry Brown,Arroyo Chub,8,NV,40,NV,933,946,NV,
Below HWY 60,6,1,9/21/2017,Snorkel,1,Larry Brown,Santa Ana Sucker,1,NV,50,NV,933,946,NV,
Below HWY 60,6,1,9/21/2017,Snorkel,1,Larry Brown,Arroyo Chub,4,NV,50,NV,933,946,NV,
Below HWY 60,6,2,9/21/2017,Snorkel,2,Larry Brown,Arroyo Chub,14,NV,40,NV,1015,1022,NV,
Below HWY 60,6,2,9/21/2017,Snorkel,2,Larry Brown,Santa Ana Sucker,4,NV,50,NV,1015,1022,NV,
Below HWY 60,6,2,9/21/2017,Snorkel,2,Larry Brown,Arroyo Chub,21,NV,50,NV,1015,1022,NV,
Below HWY 60,6,2,9/21/2017,Snorkel,2,Larry Brown,Santa Ana Sucker,2,NV,60,NV,1015,1022,NV,
Below HWY 60,6,2,9/21/2017,Snorkel,2,Larry Brown,Arroyo Chub,11,NV,60,NV,1015,1022,NV,
Below HWY 60,6,2,9/21/2017,Snorkel,2,Larry Brown,Santa Ana Sucker,3,NV,70,NV,1015,1022,NV,
