Location,Section,Reach,Latitude,Longitude,Date,General Transect,Channel width (m),Depth (cm),Vel (0.6) m/s,Vel (0.2)  m/s,Vel (0.8)  m/s,Distance to Cover (m),Cover Type,Dominant Substrate,"Canopy
Left Bank","Canopy
Upstream","Canopy
Right Bank","Canopy
Downstream",Comments
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,2,3.1,16,0.56,NA,NA,0.5,UB,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,2,3.1,20,0.84,NA,NA,NA,NC,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,2,3.1,20,0.83,NA,NA,NA,NC,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,2,3.1,22,0.82,NA,NA,NA,NC,CO,NV,15,NV,17,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,2,3.1,16,0.76,NA,NA,NA,NC,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,2,3.1,12,0.48,NA,NA,NA,NC,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,2,3.1,18,0.32,NA,NA,NA,NC,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,3,4,6,0,NA,NA,0,OV,CO,17,NV,NV,NV,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,3,4,18,0,NA,NA,0,OV,CO,NV,NV,16,NV,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,3,4,10,0,NA,NA,0.6,OV,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,3,4,23,0.27,NA,NA,0.7,OV,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,3,4,25,0.57,NA,NA,NA,NC,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,3,4,25,0.52,NA,NA,NA,NC,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,3,4,35,0.44,NA,NA,NA,NC,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,3,4,20,0.35,NA,NA,NA,NC,GV,NV,10,NV,14,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,3,4,22,0.33,NA,NA,NA,NC,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,3,4,20,0.17,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,4,4.2,20,0.01,NA,NA,0.2,UB,SA,15,NV,NV,NV,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,4,4.2,20,-0.04,NA,NA,0.5,GV,GV,NV,NV,17,NV,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,4,4.2,23,0.23,NA,NA,0.6,UB,SA,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,4,4.2,26,0.13,NA,NA,1,CO ,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,4,4.2,31,0.51,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,4,4.2,26,0.42,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,4,4.2,24,0.42,NA,NA,NA,NC,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,4,4.2,32,0.42,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,4,4.2,24,0.39,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,4,4.2,30,0.38,NA,NA,NA,NC,SA,NV,11,NV,14,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,5,4.5,33,0.3,NA,NA,0,UB,GV,NV,NV,17,NV,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,5,4.5,10,0.06,NA,NA,0,OV,SA,17,NV,NV,NV,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,5,4.5,14,0.15,NA,NA,0.2,OV,SA,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,5,4.5,26,0.32,NA,NA,NA,NC,SA,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,5,4.5,30,0.31,NA,NA,NA,NC,SA,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,5,4.5,33,0.3,NA,NA,NA,NC,SA,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,5,4.5,34,0.29,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,5,4.5,24,0.22,NA,NA,NA,NC,GV,NV,15,NV,13,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,5,4.5,20,0.2,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,NV,NV,9/11/2016,5,4.5,17,0.18,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,34.04678,-117.35537,9/11/2016,6,3.5,12,0.36,NA,NA,0.3,OV,GV,17,NV,NV,NV,
Rialto Drain to Confluence,1,1,34.04678,-117.35537,9/11/2016,6,3.5,10,0.7,NA,NA,0.6,OV,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,34.04678,-117.35537,9/11/2016,6,3.5,20,0.79,NA,NA,0.9,OV,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,34.04678,-117.35537,9/11/2016,6,3.5,21,0.73,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,34.04678,-117.35537,9/11/2016,6,3.5,22,0.72,NA,NA,NA,NC,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,34.04678,-117.35537,9/11/2016,6,3.5,19,0.61,NA,NA,NA,NC,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,34.04678,-117.35537,9/11/2016,6,3.5,24,0.6,NA,NA,NA,NC,CO,NV,17,NV,16,
Rialto Drain to Confluence,1,1,34.04678,-117.35537,9/11/2016,6,3.5,5,0.44,NA,NA,NA,NC,GV,NV,NV,17,NV,
Rialto Drain to Confluence,1,1,34.04678,-117.35537,9/11/2016,6,3.5,14,0.38,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,1,34.04678,-117.35537,9/11/2016,6,3.5,6,0.31,NA,NA,NA,NC,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,34.04609,-117.3548,9/11/2016,1,5.2,16,-0.01,NA,NA,0.2,UB,SA,17,NV,NV,NV,
Rialto Drain to Confluence,1,2,34.04609,-117.3548,9/11/2016,1,5.2,17,0.01,NA,NA,0.6,UB,SA,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,34.04609,-117.3548,9/11/2016,1,5.2,30,0.41,NA,NA,NA,NC,GV,NV,17,NV,17,
Rialto Drain to Confluence,1,2,34.04609,-117.3548,9/11/2016,1,5.2,28,0.38,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,34.04609,-117.3548,9/11/2016,1,5.2,26,0.35,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,34.04609,-117.3548,9/11/2016,1,5.2,27,0.33,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,34.04609,-117.3548,9/11/2016,1,5.2,38,0.31,NA,NA,NA,NC,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,34.04609,-117.3548,9/11/2016,1,5.2,20,0.25,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,34.04609,-117.3548,9/11/2016,1,5.2,10,0.21,NA,NA,NA,NC,GV,NV,NV,12,NV,
Rialto Drain to Confluence,1,2,34.04609,-117.3548,9/11/2016,1,5.2,34,0.2,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,2,3.6,10,0.42,NA,NA,0.3,RW,GV,17,NV,NV,NV,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,2,3.6,12,0.59,NA,NA,0.6,RW,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,2,3.6,14,1.01,NA,NA,NA,NC,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,2,3.6,26,0.86,NA,NA,NA,NC,CO,NV,17,NV,17,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,2,3.6,23,0.86,NA,NA,NA,NC,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,2,3.6,18,0.8,NA,NA,NA,NC,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,2,3.6,18,0.73,NA,NA,NA,NC,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,2,3.6,10,0.54,NA,NA,NA,NC,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,2,3.6,8,0.09,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,2,3.6,4,0,NA,NA,NA,NC,GV,NV,NV,17,NV,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,3,3,18,0,NA,NA,0.2,UB,BO,NV,NV,17,NV,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,3,3,18,0.4,NA,NA,0.5,UB,BO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,3,3,27,-0.03,NA,NA,0.5,UB,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,3,3,22,-0.02,NA,NA,0.7,UB,CO,17,NV,NV,NV,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,3,3,44,0.42,NA,NA,1,UB,BO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,3,3,42,0.6,NA,NA,NA,NC,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,3,3,40,0.51,NA,NA,NA,NC,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,3,3,38,0.41,NA,NA,NA,NC,CO,NV,16,NV,17,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,3,3,38,0.15,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,3,3,34,0.02,NA,NA,NA,NC,SA,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,4,3.9,20,0.32,NA,NA,0,UB,GV,NV,NV,17,NV,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,4,3.9,12,0.42,NA,NA,0,OV,GV,17,NV,NV,NV,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,4,3.9,16,0.17,NA,NA,0,WD,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,4,3.9,14,0.1,NA,NA,0,WD,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,4,3.9,20,0.32,NA,NA,0.3,UB,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,4,3.9,14,0.87,NA,NA,0.7,UB,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,4,3.9,6,0.41,NA,NA,0.7,OV,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,4,3.9,14,0.9,NA,NA,NA,NC,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,4,3.9,14,0.72,NA,NA,NA,NC,CO,NV,17,NV,17,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,4,3.9,15,0.66,NA,NA,NA,NC,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,5,4.2,26,0,NA,NA,0.2,UB,CO,15,NV,NV,NV,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,5,4.2,25,0.15,NA,NA,0.3,UB,GV,NV,NV,17,NV,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,5,4.2,27,0.14,NA,NA,0.6,UB,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,5,4.2,39,-0.01,NA,NA,0.6,UB,SA,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,5,4.2,36,0.28,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,5,4.2,34,0.26,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,5,4.2,32,0.24,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,5,4.2,35,0.22,NA,NA,NA,NC,GV,NV,13,NV,15,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,5,4.2,35,0.13,NA,NA,NA,NC,SA,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,NV,NV,9/11/2016,5,4.2,37,0.05,NA,NA,NA,NC,SA,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,34.04571,-117.35443,9/11/2016,6,5.1,12,0.63,NA,NA,NA,NC,CO,NV,17,NV,17,
Rialto Drain to Confluence,1,2,34.04571,-117.35443,9/11/2016,6,5.1,17,0.53,NA,NA,NA,NC,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,34.04571,-117.35443,9/11/2016,6,5.1,18,0.48,NA,NA,NA,NC,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,34.04571,-117.35443,9/11/2016,6,5.1,8,0.44,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,34.04571,-117.35443,9/11/2016,6,5.1,11,0.41,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,34.04571,-117.35443,9/11/2016,6,5.1,4,0.38,NA,NA,NA,NC,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,34.04571,-117.35443,9/11/2016,6,5.1,5,0.27,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,34.04571,-117.35443,9/11/2016,6,5.1,6,0.17,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,2,34.04571,-117.35443,9/11/2016,6,5.1,4,0.14,NA,NA,NA,NC,SA,17,NV,NV,NV,
Rialto Drain to Confluence,1,2,34.04571,-117.35443,9/11/2016,6,5.1,6,0,NA,NA,NA,NC,GV,NV,NV,17,NV,
Rialto Drain to Confluence,1,3,34.04522,-117.35403,9/11/2016,1,4,21,0.12,NA,NA,0,UB,SA,NV,NV,16,NV,
Rialto Drain to Confluence,1,3,34.04522,-117.35403,9/11/2016,1,4,45,0,NA,NA,0.2,UB,SA,17,NV,NV,NV,
Rialto Drain to Confluence,1,3,34.04522,-117.35403,9/11/2016,1,4,20,0.25,NA,NA,0.5,UB,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,34.04522,-117.35403,9/11/2016,1,4,36,-0.01,NA,NA,0.6,UB,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,34.04522,-117.35403,9/11/2016,1,4,26,0.34,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,34.04522,-117.35403,9/11/2016,1,4,29,0.33,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,34.04522,-117.35403,9/11/2016,1,4,33,0.3,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,34.04522,-117.35403,9/11/2016,1,4,40,0.23,NA,NA,NA,NC,GV,NV,10,NV,5,
Rialto Drain to Confluence,1,3,34.04522,-117.35403,9/11/2016,1,4,36,0.1,NA,NA,NA,NC,SA,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,34.04522,-117.35403,9/11/2016,1,4,33,-0.04,NA,NA,NA,NC,SA,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,2,4.8,20,0.05,NA,NA,0,UB,GV,NV,NV,17,NV,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,2,4.8,10,-0.01,NA,NA,0.25,UB,SA,17,NV,NV,NV,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,2,4.8,25,0.13,NA,NA,0.5,OV,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,2,4.8,12,0.09,NA,NA,0.5,UB,SA,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,2,4.8,24,0.33,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,2,4.8,32,0.32,NA,NA,NA,NC,CO,NV,12,NV,13,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,2,4.8,26,0.28,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,2,4.8,25,0.21,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,2,4.8,30,0.11,NA,NA,NA,NC,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,2,4.8,22,0.07,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,3,4.8,34,0.04,NA,NA,0,OV,SA,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,3,4.8,24,0,NA,NA,0,UB,SA,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,3,4.8,36,0.07,NA,NA,0.3,UB,SA,17,NV,NV,NV,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,3,4.8,33,0.13,NA,NA,0.5,OV,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,3,4.8,41,0,NA,NA,0.6,UB,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,3,4.8,32,0.32,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,3,4.8,33,0.32,NA,NA,NA,NC,GV,NV,5,NV,10,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,3,4.8,34,0.31,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,3,4.8,32,0.21,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,3,4.8,28,0.18,NA,NA,NA,NC,CO,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,4,4.8,22,0.12,NA,NA,0,OV,SA,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,4,4.8,22,0.11,NA,NA,0,OV,SA,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,4,4.8,11,0.1,NA,NA,0,OV,SA,NV,NV,14,NV,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,4,4.8,36,0.11,NA,NA,0.5,UB,SA,17,NV,NV,NV,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,4,4.8,35,0.16,NA,NA,1,UB,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,4,4.8,25,0.24,NA,NA,NA,NC,GV,NV,10,NV,6,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,4,4.8,26,0.23,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,4,4.8,29,0.19,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,4,4.8,23,0.19,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,4,4.8,22,0.16,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,5,4.9,10,0,NA,NA,0,OV/UB,SA,NV,NV,17,NV,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,5,4.9,25,0.17,NA,NA,0.3,UB,GV,15,NV,NV,NV,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,5,4.9,27,0.15,NA,NA,0.5,OV/UB,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,5,4.9,28,0.22,NA,NA,0.6,UB,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,5,4.9,28,0.26,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,5,4.9,28,0.24,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,5,4.9,28,0.24,NA,NA,NA,NC,GV,NV,14,NV,15,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,5,4.9,26,0.15,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,5,4.9,26,0.13,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,NV,NV,9/11/2016,5,4.9,26,0.13,NA,NA,NA,NC,SA,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,34.04486,-117.35372,9/11/2016,6,6.2,22,0.11,NA,NA,0,UB,GV,17,NV,NV,NV,
Rialto Drain to Confluence,1,3,34.04486,-117.35372,9/11/2016,6,6.2,14,0.07,NA,NA,0,OV,SA,NV,NV,17,NV,
Rialto Drain to Confluence,1,3,34.04486,-117.35372,9/11/2016,6,6.2,18,0.23,NA,NA,0.9,UB,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,34.04486,-117.35372,9/11/2016,6,6.2,22,0.3,NA,NA,NA,NC,GV,NV,17,NV,15,
Rialto Drain to Confluence,1,3,34.04486,-117.35372,9/11/2016,6,6.2,23,0.27,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,34.04486,-117.35372,9/11/2016,6,6.2,16,0.25,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,34.04486,-117.35372,9/11/2016,6,6.2,23,0.24,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,34.04486,-117.35372,9/11/2016,6,6.2,23,0.22,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,34.04486,-117.35372,9/11/2016,6,6.2,22,0.21,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Rialto Drain to Confluence,1,3,34.04486,-117.35372,9/11/2016,6,6.2,22,0.16,NA,NA,NA,NC,SA,NV,NV,NV,NV,
Confluence to RIX,2,4,34.0425,-117.35386,9/11/2016,1,3,6,-0.05,NA,NA,0,UB,GV,17,NV,NV,NV,
Confluence to RIX,2,4,34.0425,-117.35386,9/11/2016,1,3,38,-0.05,NA,NA,0,UB,GV,NV,NV,NV,NV,
Confluence to RIX,2,4,34.0425,-117.35386,9/11/2016,1,3,28,0,NA,NA,0.3,UB,GV,NV,NV,NV,NV,
Confluence to RIX,2,4,34.0425,-117.35386,9/11/2016,1,3,11,-0.05,NA,NA,0.3,UB,GV,NV,NV,NV,NV,
Confluence to RIX,2,4,34.0425,-117.35386,9/11/2016,1,3,31,0.4,NA,NA,0.7,UB,GV,NV,NV,NV,NV,
Confluence to RIX,2,4,34.0425,-117.35386,9/11/2016,1,3,36,0.71,NA,NA,NA,NC,CO,NV,12,NV,17,
Confluence to RIX,2,4,34.0425,-117.35386,9/11/2016,1,3,35,0.59,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Confluence to RIX,2,4,34.0425,-117.35386,9/11/2016,1,3,32,0.44,NA,NA,NA,NC,GV,NV,NV,NV,NV,
Confluence to RIX,2,4,34.0425,-117.35386,9/11/2016,1,3,27,0.29,NA,NA,NA,NC,CO,NV,NV,NV,NV,
Confluence to RIX,2,4,34.0425,-117.35386,9/11/2016,1,3,20,0,NA,NA,NA,NC,CO,NV,NV,NV,NV,
Confluence to RIX,2,4,NV,NV,9/11/2016,2,3.8,11,0.08,NA,NA,0,UB,SA,NV,NV,17,NV,
Confluence to RIX,2,4,NV,NV,9/11/2016,2,3.8,18,0.02,NA,NA,0,UB,GV,16,NV,NV,NV,
Confluence to RIX,2,4,NV,NV,9/11/2016,2,3.8,20,0.25,NA,NA,0.4,UB,GV,NV,NV,NV,NV,
