Section,Segment,Reach,Sampled after storm,Date,Latitude,Longitude,Observer,Recorder,Start Time,End Time ,Species,Number,Total Length (mm),"Distance fish
abv bottom
(cm)","Velocity at
fish (m/s)","Total
Depth (cm)",Vel (0.6) m/s,Vel (0.2)  m/s,Vel (0.8)  m/s,Activity,GCU,"Dominant
substrate","Distance
from cover
(m)","Cover
type",Comments
Rialto Drain,1,1,N,7/23/15,34.04794,-117.35625,Jason,Larry,830,930,Yellow bullhead,1,60,0,0.28,31,0.58,,,hiding,riffle,CO,0,CO,
Rialto Drain,1,1,N,7/23/15,34.04794,-117.35625,Jason,Larry,830,930,Yellow bullhead,1,60,0,0.01,32,0.27,,,hiding,riffle,CO,0,CO,
Rialto Drain,1,1,N,7/23/15,34.04794,-117.35625,Jason,Larry,830,930,Yellow bullhead,1,60,2,0.28,20,0.18,,,hiding,riffle,SA,0,RW,
Rialto Drain,1,1,N,7/23/15,34.04794,-117.35625,Jason,Larry,830,930,Yellow bullhead,3,60,0,0.13,44,0.25,,,hiding,riffle,CO,0,CO,
Rialto Drain,1,1,N,7/23/15,34.04794,-117.35625,Jason,Larry,830,930,Yellow bullhead,2,60,0,0.04,44,0.25,,,hiding,riffle,CO,0,CO,
Rialto Drain,1,1,N,7/23/15,34.04794,-117.35625,Jason,Larry,830,930,Yellow bullhead,2,120,0,0.27,54,0.3,,,hiding,riffle,GV,0.1,BO,
Rialto Drain,1,1,N,7/23/15,34.04794,-117.35625,Jason,Larry,830,930,Yellow bullhead,18,80,12,0.1,64,0.06,,,hiding,riffle,CO,0,RW,
Rialto Drain,1,1,N,7/23/15,34.04794,-117.35625,Jason,Larry,830,930,Yellow bullhead,2,160,12,0.1,64,0.06,,,hiding,riffle,CO,0,RW,
Rialto Drain,1,1,N,9/13/15,34.04794,-117.35625,Larry,Jason,1122,1145,Arroyo Chub,1,80,10,0.09,57,0.11,,,feeding,pool,CO,0.1,BO,
Rialto Drain,1,1,N,9/13/15,34.04794,-117.35625,Larry,Jason,1122,1145,Arroyo Chub,4,80,14,0.09,45,0.09,,,feeding,pool,GV,0.3,UB,
Rialto Drain,1,1,N,9/13/15,34.04794,-117.35625,Larry,Jason,1122,1145,Arroyo Chub,4,100,14,0.09,45,0.09,,,feeding,pool,GV,0.3,UB,
Rialto Drain,1,1,N,9/13/15,34.04794,-117.35625,Larry,Jason,1122,1145,Arroyo Chub,2,60,4,0.16,24,0.25,,,holding,run,GV,0.1,OV,
Rialto Drain,1,1,N,9/13/15,34.04794,-117.35625,Larry,Jason,1122,1145,Arroyo Chub,2,70,5,0.16,40,0.4,,,feeding,pool,BO,0.1,OV,
Rialto Drain,1,2,N,7/22/15,34.04683,-117.35528,Jason,Larry,1245,1330,Arroyo Chub,3,60,8,0.25,50,0.42,,,holding,run,CO,0.1,CO/OV,
Rialto Drain,1,2,N,7/22/15,34.04683,-117.35528,Jason,Larry,1245,1330,Santa Ana sucker,3,140,0,0.58,36,0.82,,,feeding,riffle,GV,1,UB,
Rialto Drain,1,2,N,7/22/15,34.04683,-117.35528,Jason,Larry,1245,1330,Santa Ana sucker,1,140,0,0.24,26,0.42,,,feeding,riffle,GV,1,UB,
Rialto Drain,1,2,N,9/13/15,34.04683,-117.35528,Larry,Jason,920,940,Arroyo Chub,2,80,10,0.39,44,0.47,,,feeding,run,CO,0.5,BO,
Rialto Drain,1,2,N,9/13/15,34.04683,-117.35528,Larry,Jason,920,940,Arroyo Chub,1,70,10,0.39,44,0.47,,,feeding,run,CO,0.5,BO,
Rialto Drain,1,2,N,9/13/15,34.04683,-117.35528,Larry,Jason,920,940,Santa Ana sucker,1,90,4,0.21,37,0.32,,,holding,run,CO,1.5,UB,
Rialto Drain,1,2,N,9/13/15,34.04683,-117.35528,Larry,Jason,920,940,Santa Ana sucker,1,100,0,0.15,44,0.47,,,feeding,run,CO,0.5,BO,
Rialto Drain,1,2,N,9/13/15,34.04683,-117.35528,Larry,Jason,920,940,Santa Ana sucker,1,110,0,0.46,26,0.59,,,feeding,riffle,CO,0.5,BO,
Rialto Drain,1,2,N,9/13/15,34.04683,-117.35528,Larry,Jason,920,940,Santa Ana sucker,1,90,0,0.42,24,0.55,,,feeding,riffle,CO,1,UB,
Rialto Drain,1,2,N,9/13/15,34.04683,-117.35528,Larry,Jason,920,940,Santa Ana sucker,1,110,0,0.32,24,0.27,,,feeding,riffle,CO,1,UB,
Rialto Drain,1,2,N,9/13/15,34.04683,-117.35528,Larry,Jason,920,940,Santa Ana sucker,1,90,0,0.26,20,0.65,,,feeding,riffle,CO,0.5,UB,
Rialto Drain,1,2,N,9/13/15,34.04683,-117.35528,Larry,Jason,920,940,Santa Ana sucker,1,120,0,0.13,30,0.38,,,feeding,riffle,CO,0.5,UB,
Rialto Drain,1,2,N,9/13/15,34.04683,-117.35528,Larry,Jason,920,940,Santa Ana sucker,1,150,0,0.09,32,0.31,,,feeding,riffle,CO,0.5,UB,
Rialto Drain,1,2,N,9/13/15,34.04683,-117.35528,Larry,Jason,920,940,Santa Ana sucker,1,90,0,0.18,26,0.5,,,feeding,run,GV,1.5,UB,
Rialto Drain,1,2,N,9/13/15,34.04683,-117.35528,Larry,Jason,920,940,Santa Ana sucker,2,140,0,0.11,26,0.5,,,feeding,run,GV,1.5,UB,
Rialto Drain,1,2,N,9/13/15,34.04683,-117.35528,Larry,Jason,920,940,Santa Ana sucker,2,120,0,0.11,26,0.5,,,feeding,run,GV,1.5,UB,
Rialto Drain,1,2,N,9/13/15,34.04683,-117.35528,Larry,Jason,920,940,Santa Ana sucker,1,100,0,0.11,26,0.5,,,feeding,run,GV,1.5,UB,
Rialto Drain,1,2,N,9/13/15,34.04683,-117.35528,Larry,Jason,920,940,Santa Ana sucker,2,110,0,0.55,22,0.65,,,feeding,riffle,CO,2,UB,
Rialto Drain,1,2,N,9/13/15,34.04683,-117.35528,Larry,Jason,920,940,Santa Ana sucker,1,80,0,0.28,40,0.35,,,feeding,pool,CO,2,UB,
Rialto Drain,1,2,N,9/13/15,34.04683,-117.35528,Larry,Jason,920,940,Santa Ana sucker,5,140,4,0.05,40,0.19,,,feeding,pool,CO,1,UB,
Rialto Drain,1,2,N,9/13/15,34.04683,-117.35528,Larry,Jason,920,940,Santa Ana sucker,2,140,0,0.32,24,0.52,,,feeding,riffle,CO,2,UB,
Rialto Drain,1,3,N,7/22/15,34.04506,-117.35378,Jason,Larry,1210,1230,NA,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Only Gambusia seen, no suckers or chubs"
Rialto Drain,1,3,N,9/12/15,34.04506,-117.35378,Larry,Jason,1436,1450,NA,NV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Just Gambusia, no measurements"
SAR Confluence of Rialto Drain to RIX confluence,2,5,N,9/12/15,34.04319,-117.35378,Larry,Jason,1200,1225,Arroyo Chub,2,80,20,0.02,46,0.04,,,feeding,pool,SA,1,WD,
SAR Confluence of Rialto Drain to RIX confluence,2,5,N,9/12/15,34.04319,-117.35378,Larry,Jason,1200,1225,Arroyo Chub,3,70,20,0.02,46,0.04,,,feeding,pool,SA,1,WD,
SAR Confluence of Rialto Drain to RIX confluence,2,5,N,9/12/15,34.04319,-117.35378,Larry,Jason,1200,1225,Arroyo Chub,10,100,20,0.27,70,0.45,,,feeding,pool,GV,0,UB,
SAR Confluence of Rialto Drain to RIX confluence,2,5,N,9/12/15,34.04319,-117.35378,Larry,Jason,1200,1225,Arroyo Chub,1,140,24,0.2,68,0.53,,,feeding,pool,GV,0,UB,
SAR Confluence of Rialto Drain to RIX confluence,2,5,N,9/12/15,34.04319,-117.35378,Larry,Jason,1200,1225,Arroyo Chub,2,120,24,0.2,68,0.53,,,feeding,pool,GV,0,UB,
SAR Confluence of Rialto Drain to RIX confluence,2,5,N,9/12/15,34.04319,-117.35378,Larry,Jason,1200,1225,Arroyo Chub,5,100,24,0.2,68,0.53,,,feeding,pool,GV,0,UB,
SAR Confluence of Rialto Drain to RIX confluence,2,5,N,9/12/15,34.04319,-117.35378,Larry,Jason,1200,1225,Arroyo Chub,5,80,24,0.2,68,0.53,,,feeding,pool,GV,0,UB,
SAR Confluence of Rialto Drain to RIX confluence,2,5,N,9/12/15,34.04319,-117.35378,Larry,Jason,1200,1225,Arroyo Chub,5,80,10,0.14,0.14,0.55,,,feeding,pool,GV,0,UB,
SAR Confluence of Rialto Drain to RIX confluence,2,6,N,9/12/15,34.04203,-117.354,Larry,Jason,940,1028,Arroyo Chub,5,50,10,0.13,20,0.13,,,feeding,run,GV,0,OV,
SAR Confluence of Rialto Drain to RIX confluence,2,6,N,9/12/15,34.04203,-117.354,Larry,Jason,940,1028,Arroyo Chub,5,70,10,0.17,33,0.13,,,feeding,run,GV,1,BO,
SAR Confluence of Rialto Drain to RIX confluence,2,6,N,9/12/15,34.04203,-117.354,Larry,Jason,940,1028,Arroyo Chub,5,70,12,0.08,40,0.1,,,feeding,run,CO,0.1,WD,
SAR Confluence of Rialto Drain to RIX confluence,2,6,N,9/12/15,34.04203,-117.354,Larry,Jason,940,1028,Arroyo Chub,5,80,12,0.08,40,0.1,,,feeding,run,CO,0.1,WD,
SAR Confluence of Rialto Drain to RIX confluence,2,6,N,9/12/15,34.04203,-117.354,Larry,Jason,940,1028,Arroyo Chub,1,80,8,0.44,26,0.41,,,feeding,run,CO,0,BO,
SAR Confluence of Rialto Drain to RIX confluence,2,6,N,9/12/15,34.04203,-117.354,Larry,Jason,940,1028,Arroyo Chub,3,90,10,0.28,37,0.35,,,feeding,riffle,CO,0.5,UB,
SAR Confluence of Rialto Drain to RIX confluence,2,6,N,9/12/15,34.04203,-117.354,Larry,Jason,940,1028,Arroyo Chub,2,70,10,0.28,37,0.35,,,feeding,riffle,CO,0.5,UB,
SAR Confluence of Rialto Drain to RIX confluence,2,6,N,9/12/15,34.04203,-117.354,Larry,Jason,940,1028,Arroyo Chub,3,80,10,0.37,38,0.41,,,feeding,riffle,CO,0.5,UB,
SAR Confluence of Rialto Drain to RIX confluence,2,6,N,9/12/15,34.04203,-117.354,Larry,Jason,940,1028,Arroyo Chub,5,90,28,0.43,30,0.43,,,feeding,riffle,GV,0.8,UB,
SAR Confluence of Rialto Drain to RIX confluence,2,6,N,9/12/15,34.04203,-117.354,Larry,Jason,940,1028,Arroyo Chub,5,80,28,0.43,30,0.43,,,feeding,riffle,GV,0.8,UB,
SAR Confluence of Rialto Drain to RIX confluence,2,6,N,9/12/15,34.04203,-117.354,Larry,Jason,940,1028,Arroyo Chub,5,70,28,0.43,30,0.43,,,feeding,riffle,GV,0.2,UB,
SAR Confluence of Rialto Drain to RIX confluence,2,6,N,9/12/15,34.04203,-117.354,Larry,Jason,940,1028,Arroyo Chub,1,90,10,0.4,26,0.55,,,feeding,riffle,GV,0.5,BO,
SAR Confluence of Rialto Drain to RIX confluence,2,6,N,9/12/15,34.04203,-117.354,Larry,Jason,940,1028,Western Misquitofish,3,20,4,0.18,26,0.26,,,holding,run,SA,4,UB,
SAR Confluence of Rialto Drain to RIX confluence,2,6,N,9/12/15,34.04203,-117.354,Larry,Jason,940,1028,Santa Ana sucker,2,80,0,0.17,37,0.35,,,feeding,riffle,CO,0.5,UB,
SAR Confluence of Rialto Drain to RIX confluence,2,6,N,9/12/15,34.04203,-117.354,Larry,Jason,940,1028,Santa Ana sucker,1,100,0,0.15,30,0.35,,,feeding,riffle,CO,0.7,UB,
SAR Confluence of Rialto Drain to RIX confluence,2,6,N,9/12/15,34.04203,-117.354,Larry,Jason,940,1028,Santa Ana sucker,1,100,0,0.26,28,0.52,,,feeding,riffle,GV,0.8,UB,
SAR Confluence of Rialto Drain to RIX confluence,2,6,N,9/12/15,34.04203,-117.354,Larry,Jason,940,1028,Santa Ana sucker,1,140,0,0.22,26,0.55,,,feeding,riffle,GV,0.5,BO,
SAR Confluence of Rialto Drain to RIX confluence,3,7,N,7/23/15,34.03842,-117.35544,Larry,Jason,1050,1210,Arroyo Chub,4,60,6,0.1,52,0.47,,,feeding,run,SA,0,ov,
SAR Confluence of Rialto Drain to RIX confluence,3,7,N,7/23/15,34.03842,-117.35544,Larry,Jason,1050,1210,Arroyo Chub,2,50,6,0.1,52,0.47,,,feeding,run,SA,0,ov,
SAR Confluence of Rialto Drain to RIX confluence,3,7,N,7/23/15,34.03842,-117.35544,Larry,Jason,1050,1210,Arroyo Chub,2,60,8,0.49,36,0.65,,,feeding,run,GV,1,ov/rw,
SAR Confluence of Rialto Drain to RIX confluence,3,7,N,7/23/15,34.03842,-117.35544,Larry,Jason,1050,1210,Arroyo Chub,1,150,8,0.49,36,0.65,,,feeding,run,GV,1,ov/rw,
SAR Confluence of Rialto Drain to RIX confluence,3,7,N,7/23/15,34.03842,-117.35544,Larry,Jason,1050,1210,Arroyo Chub,6,60,4,0.55,14,0.55,,,feeding,run  ,SA,1,ov,
SAR Confluence of Rialto Drain to RIX confluence,3,7,N,7/23/15,34.03842,-117.35544,Larry,Jason,1050,1210,Arroyo Chub,6,80,10,0.06,60,0.07,,,feeding,run,SA,0,ov/rw,
SAR Confluence of Rialto Drain to RIX confluence,3,7,N,7/23/15,34.03842,-117.35544,Larry,Jason,1050,1210,Arroyo Chub,15,60,2,0.4,51,0.54,,,holding,run,SA,2,ov,
SAR Confluence of Rialto Drain to RIX confluence,3,7,N,7/23/15,34.03842,-117.35544,Larry,Jason,1050,1210,Arroyo Chub,5,80,2,0.4,51,0.54,,,holding,run,SA,2,ov,
SAR Confluence of Rialto Drain to RIX confluence,3,7,N,7/23/15,34.03842,-117.35544,Larry,Jason,1050,1210,Arroyo Chub,10,60,2,0.32,40,0.78,,,holding,run,GV,0.5,OV,
SAR Confluence of Rialto Drain to RIX confluence,3,7,N,7/23/15,34.03842,-117.35544,Larry,Jason,1050,1210,Arroyo Chub,6,60,0,-0.03,36,0.18,,,holding,run,GV,0,WD/OV,
SAR Confluence of Rialto Drain to RIX confluence,3,7,N,7/23/15,34.03842,-117.35544,Larry,Jason,1050,1210,Arroyo Chub,1,100,6,0.27,48,0.98,,,holding,run,GV,0.5,UB,
SAR Confluence of Rialto Drain to RIX confluence,3,7,N,7/23/15,34.03842,-117.35544,Larry,Jason,1050,1210,Arroyo Chub,2,60,10,0.81,60,1.11,,,feeding,run,GV,0.3,UB,
SAR Confluence of Rialto Drain to RIX confluence,3,7,N,7/23/15,34.03842,-117.35544,Larry,Jason,1050,1210,Arroyo Chub,2,80,4,0.27,46,0.45,,,feeding,run,SA,0,OV,
SAR Confluence of Rialto Drain to RIX confluence,3,7,N,7/23/15,34.03842,-117.35544,Larry,Jason,1050,1210,Arroyo Chub,1,60,4,0.27,46,0.45,,,feeding,run,SA,0,OV,
SAR Confluence of Rialto Drain to RIX confluence,3,7,N,7/23/15,34.03842,-117.35544,Larry,Jason,1050,1210,Arroyo Chub,2,60,6,0.35,42,0.45,,,feeding,run,SA,1,OV,
SAR Confluence of Rialto Drain to RIX confluence,3,7,N,7/23/15,34.03842,-117.35544,Larry,Jason,1050,1210,Arroyo Chub,10,80,6,-0.08,90,,0.19,-0.08,holding,run,SA,1,RW/OW,
SAR Confluence of Rialto Drain to RIX confluence,3,7,N,7/23/15,34.03842,-117.35544,Larry,Jason,1050,1210,Arroyo Chub,5,60,20,-0.08,90,,0.19,-0.08,holding,run,SA,1,RW/OW,
SAR Confluence of Rialto Drain to RIX confluence,3,7,N,7/23/15,34.03842,-117.35544,Larry,Jason,1050,1210,Arroyo Chub,5,100,20,-0.08,90,,0.19,-0.08,holding,run,SA,1,RW/OW,
SAR Confluence of Rialto Drain to RIX confluence,3,7,N,7/23/15,34.03842,-117.35544,Larry,Jason,1050,1210,Arroyo Chub,5,110,24,0.03,86,,0.02,0.02,holding,run,SA,1,RW/OW,
SAR Confluence of Rialto Drain to RIX confluence,3,7,N,7/23/15,34.03842,-117.35544,Larry,Jason,1050,1210,Arroyo Chub,5,100,24,0.03,86,,0.02,0.02,holding,run,SA,1,RW/OW,
SAR Confluence of Rialto Drain to RIX confluence,3,7,N,7/23/15,34.03842,-117.35544,Larry,Jason,1050,1210,Arroyo Chub,10,80,24,0.03,86,,0.02,0.02,holding,run,SA,1,RW/OW,
SAR Confluence of Rialto Drain to RIX confluence,3,7,N,7/23/15,34.03842,-117.35544,Larry,Jason,1050,1210,Santa Ana sucker,1,80,0,0.16,56,0.97,,,holding,run,GV,0,ov,
SAR Confluence of Rialto Drain to RIX confluence,3,7,N,7/23/15,34.03842,-117.35544,Larry,Jason,1050,1210,Santa Ana sucker,8,100,0,0.6,44,0.37,,,feeding,run,GV,0,OV,
SAR Confluence of Rialto Drain to RIX confluence,3,7,N,7/23/15,34.03842,-117.35544,Larry,Jason,1050,1210,Santa Ana sucker,1,160,0,0.61,48,0.55,,,holding,run,GV,1,OV,
SAR Confluence of Rialto Drain to RIX confluence,3,7,N,7/23/15,34.03842,-117.35544,Larry,Jason,1050,1210,Santa Ana sucker,3,100,0,0.4,48,0.44,,,feeding,run,GV,1,OV,
SAR Confluence of Rialto Drain to RIX confluence,3,7,N,7/23/15,34.03842,-117.35544,Larry,Jason,1050,1210,Santa Ana sucker,1,120,0,0.19,46,0.6,,,feeding,run,GV,0.5,UB,
SAR Confluence of Rialto Drain to RIX confluence,3,7,N,7/23/15,34.03842,-117.35544,Larry,Jason,1050,1210,Santa Ana sucker,3,100,0,0.19,46,0.6,,,feeding,run,GV,0.5,UB,
SAR Confluence of Rialto Drain to RIX confluence,3,7,N,7/23/15,34.03842,-117.35544,Larry,Jason,1050,1210,Santa Ana sucker,1,100,0,-0.03,36,0.18,,,holding,run,GV,0.5,WD/OV,
SAR Confluence of Rialto Drain to RIX confluence,3,7,N,7/23/15,34.03842,-117.35544,Larry,Jason,1050,1210,Santa Ana sucker,1,100,0,0.76,50,1.31,,,feeding,run,CO,0.3,UB,
SAR Confluence of Rialto Drain to RIX confluence,3,7,N,7/23/15,34.03842,-117.35544,Larry,Jason,1050,1210,Santa Ana sucker,1,160,0,0.76,50,1.31,,,feeding,run,CO,0.3,UB,
SAR Confluence of Rialto Drain to RIX confluence,3,7,N,7/23/15,34.03842,-117.35544,Larry,Jason,1050,1210,Santa Ana sucker,2,200,4,0.32,60,1.11,,,feeding,run,GV,0.3,UB,
SAR Confluence of Rialto Drain to RIX confluence,3,7,N,7/23/15,34.03842,-117.35544,Larry,Jason,1050,1210,Santa Ana sucker,1,160,4,0.32,60,1.11,,,feeding,run,GV,0.3,UB,
SAR Confluence of Rialto Drain to RIX confluence,3,7,N,7/23/15,34.03842,-117.35544,Larry,Jason,1050,1210,Santa Ana sucker,1,200,0,0.9,72,1.41,,,feeding,run,GV,0.3,UB,
SAR Confluence of Rialto Drain to RIX confluence,3,7,N,7/23/15,34.03842,-117.35544,Larry,Jason,1050,1210,Santa Ana sucker,1,200,0,0.36,76,1.13,,,feeding,run,CO,0.3,UB,
SAR Confluence of Rialto Drain to RIX confluence,3,7,N,7/23/15,34.03842,-117.35544,Larry,Jason,1050,1210,Santa Ana sucker,10,100,6,-0.09,90,,0.19,-0.08,holding,run,SA,1,RW/OW,
SAR Confluence of Rialto Drain to RIX confluence,3,7,Y,9/20/15,34.03842,-117.35544,Larry,Jason,1324,1346,Arroyo Chub,3,60,8,0.33,56,0.48,,,feeding,run,GV,0.5,UB,
SAR Confluence of Rialto Drain to RIX confluence,3,7,Y,9/20/15,34.03842,-117.35544,Larry,Jason,1324,1346,Arroyo Chub,3,80,8,0.33,56,0.48,,,feeding,run,GV,0.5,UB,
SAR Confluence of Rialto Drain to RIX confluence,3,7,Y,9/20/15,34.03842,-117.35544,Larry,Jason,1324,1346,Arroyo Chub,4,60,4,0.11,50,0.33,,,feeding,run,GV,0.5,UB,
SAR Confluence of Rialto Drain to RIX confluence,3,7,Y,9/20/15,34.03842,-117.35544,Larry,Jason,1324,1346,Arroyo Chub,4,80,4,0.11,50,0.33,,,feeding,run,GV,0.5,UB,
SAR Confluence of Rialto Drain to RIX confluence,3,7,Y,9/20/15,34.03842,-117.35544,Larry,Jason,1324,1346,Arroyo Chub,3,60,10,0.32,66,0.92,,,feeding,run,SA,0.2,WD,
SAR Confluence of Rialto Drain to RIX confluence,3,7,Y,9/20/15,34.03842,-117.35544,Larry,Jason,1324,1346,Arroyo Chub,3,80,10,0.32,66,0.92,,,feeding,run,SA,0.2,WD,
SAR Confluence of Rialto Drain to RIX confluence,3,7,Y,9/20/15,34.03842,-117.35544,Larry,Jason,1324,1346,Arroyo Chub,5,100,2,0.47,42,0.96,,,feeding,run,GV,2,OV,
SAR Confluence of Rialto Drain to RIX confluence,3,7,Y,9/20/15,34.03842,-117.35544,Larry,Jason,1324,1346,Arroyo Chub,10,80,2,0.47,42,0.96,,,feeding,run,GV,2,OV,
SAR Confluence of Rialto Drain to RIX confluence,3,7,Y,9/20/15,34.03842,-117.35544,Larry,Jason,1324,1346,Arroyo Chub,5,60,2,0.47,42,0.96,,,feeding,run,GV,2,OV,
SAR Confluence of Rialto Drain to RIX confluence,3,7,Y,9/20/15,34.03842,-117.35544,Larry,Jason,1324,1346,Santa Ana sucker,1,80,0,0.67,40,1.07,,,feeding,run,GV,0.5,WD,
SAR Confluence of Rialto Drain to RIX confluence,3,7,Y,9/20/15,34.03842,-117.35544,Larry,Jason,1324,1346,Santa Ana sucker,3,80,0,0.43,62,0.63,,,feeding,run,GV,0.5,UB,
SAR Confluence of Rialto Drain to RIX confluence,3,7,Y,9/20/15,34.03842,-117.35544,Larry,Jason,1324,1346,Santa Ana sucker,3,90,0,0.6,60,0.66,,,feeding,run,GV,0.5,UB,
SAR Confluence of Rialto Drain to RIX confluence,3,7,Y,9/20/15,34.03842,-117.35544,Larry,Jason,1324,1346,Santa Ana sucker,5,70,0,0.37,50,0.88,,,feeding,run,GV,0.5,OV,
SAR Confluence of Rialto Drain to RIX confluence,3,7,Y,9/20/15,34.03842,-117.35544,Larry,Jason,1324,1346,Santa Ana sucker,5,90,0,0.26,46,0.57,,,feeding,run,GV,1,OV,
SAR Confluence of Rialto Drain to RIX confluence,3,7,Y,9/20/15,34.03842,-117.35544,Larry,Jason,1324,1346,Santa Ana sucker,5,80,0,0.3,38,0.86,,,feeding,run,GV,0.5,OV,
SAR Confluence of Rialto Drain to RIX confluence,3,7,Y,9/20/15,34.03842,-117.35544,Larry,Jason,1324,1346,Santa Ana sucker,4,90,0,0.33,46,0.88,,,feeding,run,GV,0,OV,
SAR Confluence of Rialto Drain to RIX confluence,3,7,Y,9/20/15,34.03842,-117.35544,Larry,Jason,1324,1346,Santa Ana sucker,1,120,0,0.33,46,0.88,,,feeding,run,GV,0,OV,
SAR Confluence of Rialto Drain to RIX confluence,3,8,N,7/23/15,34.03717,-117.356,Jason ,Larry,1400,1450,Arroyo Chub,8,60,6,0.16,54,0.85,,,holding,run,SA,2,UB,
SAR Confluence of Rialto Drain to RIX confluence,3,8,N,7/23/15,34.03717,-117.356,Jason ,Larry,1400,1450,Arroyo Chub,6,60,0,-0.02,70,0.96,,,holding,run,GV,1,UB,
SAR Confluence of Rialto Drain to RIX confluence,3,8,N,7/23/15,34.03717,-117.356,Jason ,Larry,1400,1450,Arroyo Chub,1,100,2,0.06,64,0.89,,,feeding,run,SA,2,UB,
SAR Confluence of Rialto Drain to RIX confluence,3,8,N,7/23/15,34.03717,-117.356,Jason ,Larry,1400,1450,Arroyo Chub,4,80,2,0.06,58,0.89,,,feeding,run,SA,2,UB,
SAR Confluence of Rialto Drain to RIX confluence,3,8,N,7/23/15,34.03717,-117.356,Jason ,Larry,1400,1450,Arroyo Chub,3,60,2,-0.02,52,0.98,,,feeding,run,CO,3,UB,
SAR Confluence of Rialto Drain to RIX confluence,3,8,N,7/23/15,34.03717,-117.356,Jason ,Larry,1400,1450,Arroyo Chub,5,50,23,0.71,46,0.75,,,feeding,run,SA,0,OV,
SAR Confluence of Rialto Drain to RIX confluence,3,8,N,7/23/15,34.03717,-117.356,Jason ,Larry,1400,1450,Arroyo Chub,5,60,0,0.39,31,0.75,,,feeding,run,SA,0,OV,
SAR Confluence of Rialto Drain to RIX confluence,3,8,N,7/23/15,34.03717,-117.356,Jason ,Larry,1400,1450,Arroyo Chub,5,60,0,0.39,31,0.76,,,feeding,run,SA,1.6,OV,
SAR Confluence of Rialto Drain to RIX confluence,3,8,N,7/23/15,34.03717,-117.356,Jason ,Larry,1400,1450,Arroyo Chub,5,50,0,0,34,0.83,,,feeding,run,SA,1.6,OV,
SAR Confluence of Rialto Drain to RIX confluence,3,8,N,7/23/15,34.03717,-117.356,Jason ,Larry,1400,1450,Arroyo Chub,2,60,4,-0.08,35,0.61,,,feeding,run,SA,0,OV,
SAR Confluence of Rialto Drain to RIX confluence,3,8,N,7/23/15,34.03717,-117.356,Jason ,Larry,1400,1450,Arroyo Chub,5,60,4,0.27,22,0.19,,,feeding,run,SA,3,OV,
SAR Confluence of Rialto Drain to RIX confluence,3,8,N,7/23/15,34.03717,-117.356,Jason ,Larry,1400,1450,Arroyo Chub,15,60,4,0.33,52,0.19,,,feeding,run,GV,0,OV,
SAR Confluence of Rialto Drain to RIX confluence,3,8,N,7/23/15,34.03717,-117.356,Jason ,Larry,1400,1450,Arroyo Chub,8,60,4,0.26,52,0.54,,,feeding,run,SA,0.3,RW,
SAR Confluence of Rialto Drain to RIX confluence,3,8,N,7/23/15,34.03717,-117.356,Jason ,Larry,1400,1450,Arroyo Chub,10,60,2,0.26,60,0.54,,,feeding,run,SA,0.7,OV,
