"","Section","Segment","Reach","Date","Latitude","Longitude","Species","Number","Depth_cm","coord_code"
"100","SAR Confluence of Rialto Drain to RIX confluence","3","7","7/23/15","34.03842","-117.35544","Santa Ana Sucker","1",50,"34.03842_-117.35544"
"101","SAR Confluence of Rialto Drain to RIX confluence","3","7","7/23/15","34.03842","-117.35544","Santa Ana Sucker","1",50,"34.03842_-117.35544"
"102","SAR Confluence of Rialto Drain to RIX confluence","3","7","7/23/15","34.03842","-117.35544","Santa Ana Sucker","2",60,"34.03842_-117.35544"
"103","SAR Confluence of Rialto Drain to RIX confluence","3","7","7/23/15","34.03842","-117.35544","Santa Ana Sucker","1",60,"34.03842_-117.35544"
"104","SAR Confluence of Rialto Drain to RIX confluence","3","7","7/23/15","34.03842","-117.35544","Santa Ana Sucker","1",72,"34.03842_-117.35544"
"105","SAR Confluence of Rialto Drain to RIX confluence","3","7","7/23/15","34.03842","-117.35544","Santa Ana Sucker","1",76,"34.03842_-117.35544"
"106","SAR Confluence of Rialto Drain to RIX confluence","3","7","7/23/15","34.03842","-117.35544","Santa Ana Sucker","10",90,"34.03842_-117.35544"
"116","SAR Confluence of Rialto Drain to RIX confluence","3","7","9/20/15","34.03842","-117.35544","Santa Ana Sucker","1",40,"34.03842_-117.35544"
"117","SAR Confluence of Rialto Drain to RIX confluence","3","7","9/20/15","34.03842","-117.35544","Santa Ana Sucker","3",62,"34.03842_-117.35544"
"118","SAR Confluence of Rialto Drain to RIX confluence","3","7","9/20/15","34.03842","-117.35544","Santa Ana Sucker","3",60,"34.03842_-117.35544"
"119","SAR Confluence of Rialto Drain to RIX confluence","3","7","9/20/15","34.03842","-117.35544","Santa Ana Sucker","5",50,"34.03842_-117.35544"
"120","SAR Confluence of Rialto Drain to RIX confluence","3","7","9/20/15","34.03842","-117.35544","Santa Ana Sucker","5",46,"34.03842_-117.35544"
"121","SAR Confluence of Rialto Drain to RIX confluence","3","7","9/20/15","34.03842","-117.35544","Santa Ana Sucker","5",38,"34.03842_-117.35544"
"122","SAR Confluence of Rialto Drain to RIX confluence","3","7","9/20/15","34.03842","-117.35544","Santa Ana Sucker","4",46,"34.03842_-117.35544"
"123","SAR Confluence of Rialto Drain to RIX confluence","3","7","9/20/15","34.03842","-117.35544","Santa Ana Sucker","1",46,"34.03842_-117.35544"
"142","SAR Confluence of Rialto Drain to RIX confluence","3","8","7/23/15","34.03717","-117.356","Santa Ana Sucker","1",70,"34.03717_-117.356"
"143","SAR Confluence of Rialto Drain to RIX confluence","3","8","7/23/15","34.03717","-117.356","Santa Ana Sucker","2",64,"34.03717_-117.356"
"144","SAR Confluence of Rialto Drain to RIX confluence","3","8","7/23/15","34.03717","-117.356","Santa Ana Sucker","4",64,"34.03717_-117.356"
"145","SAR Confluence of Rialto Drain to RIX confluence","3","8","7/23/15","34.03717","-117.356","Santa Ana Sucker","3",58,"34.03717_-117.356"
"146","SAR Confluence of Rialto Drain to RIX confluence","3","8","7/23/15","34.03717","-117.356","Santa Ana Sucker","1",52,"34.03717_-117.356"
"147","SAR Confluence of Rialto Drain to RIX confluence","3","8","7/23/15","34.03717","-117.356","Santa Ana Sucker","20",46,"34.03717_-117.356"
"148","SAR Confluence of Rialto Drain to RIX confluence","3","8","7/23/15","34.03717","-117.356","Santa Ana Sucker","1",46,"34.03717_-117.356"
"149","SAR Confluence of Rialto Drain to RIX confluence","3","8","7/23/15","34.03717","-117.356","Santa Ana Sucker","1",52,"34.03717_-117.356"
"150","SAR Confluence of Rialto Drain to RIX confluence","3","8","7/23/15","34.03717","-117.356","Santa Ana Sucker","2",60,"34.03717_-117.356"
"151","SAR Confluence of Rialto Drain to RIX confluence","3","8","7/23/15","34.03717","-117.356","Santa Ana Sucker","8",60,"34.03717_-117.356"
"167","SAR Confluence of Rialto Drain to RIX confluence","3","8","9/20/15","34.03717","-117.356","Santa Ana Sucker","2",42,"34.03717_-117.356"
"168","SAR Confluence of Rialto Drain to RIX confluence","3","8","9/20/15","34.03717","-117.356","Santa Ana Sucker","3",52,"34.03717_-117.356"
"169","SAR Confluence of Rialto Drain to RIX confluence","3","8","9/20/15","34.03717","-117.356","Santa Ana Sucker","3",60,"34.03717_-117.356"
"170","SAR Confluence of Rialto Drain to RIX confluence","3","8","9/20/15","34.03717","-117.356","Santa Ana Sucker","3",60,"34.03717_-117.356"
"171","SAR Confluence of Rialto Drain to RIX confluence","3","8","9/20/15","34.03717","-117.356","Santa Ana Sucker","3",42,"34.03717_-117.356"
"172","SAR Confluence of Rialto Drain to RIX confluence","3","8","9/20/15","34.03717","-117.356","Santa Ana Sucker","2",59,"34.03717_-117.356"
"173","SAR Confluence of Rialto Drain to RIX confluence","3","8","9/20/15","34.03717","-117.356","Santa Ana Sucker","1",56,"34.03717_-117.356"
"199","SAR Confluence of Rialto Drain to RIX confluence","3","9","9/20/15","34.03489","-117.35667","Santa Ana Sucker","1",30,"34.03489_-117.35667"
"200","SAR Confluence of Rialto Drain to RIX confluence","3","9","9/20/15","34.03489","-117.35667","Santa Ana Sucker","3",32,"34.03489_-117.35667"
"201","SAR Confluence of Rialto Drain to RIX confluence","3","9","9/20/15","34.03489","-117.35667","Santa Ana Sucker","5",34,"34.03489_-117.35667"
"202","SAR Confluence of Rialto Drain to RIX confluence","3","9","9/20/15","34.03489","-117.35667","Santa Ana Sucker","5",36,"34.03489_-117.35667"
"203","SAR Confluence of Rialto Drain to RIX confluence","3","9","9/20/15","34.03489","-117.35667","Santa Ana Sucker","5",38,"34.03489_-117.35667"
"204","SAR Confluence of Rialto Drain to RIX confluence","3","9","9/20/15","34.03489","-117.35667","Santa Ana Sucker","5",38,"34.03489_-117.35667"
"205","SAR Confluence of Rialto Drain to RIX confluence","3","9","9/20/15","34.03489","-117.35667","Santa Ana Sucker","5",38,"34.03489_-117.35667"
"206","SAR Confluence of Rialto Drain to RIX confluence","3","9","9/20/15","34.03489","-117.35667","Santa Ana Sucker","5",38,"34.03489_-117.35667"
"207","SAR Confluence of Rialto Drain to RIX confluence","3","9","9/20/15","34.03489","-117.35667","Santa Ana Sucker","5",40,"34.03489_-117.35667"
"208","SAR Confluence of Rialto Drain to RIX confluence","3","9","9/20/15","34.03489","-117.35667","Santa Ana Sucker","3",40,"34.03489_-117.35667"
"209","SAR Confluence of Rialto Drain to RIX confluence","3","9","9/20/15","34.03489","-117.35667","Santa Ana Sucker","3",36,"34.03489_-117.35667"
"210","SAR Confluence of Rialto Drain to RIX confluence","3","9","9/20/15","34.03489","-117.35667","Santa Ana Sucker","3",34,"34.03489_-117.35667"
"211","SAR Confluence of Rialto Drain to RIX confluence","3","9","9/20/15","34.03489","-117.35667","Santa Ana Sucker","1",40,"34.03489_-117.35667"
"212","SAR Confluence of Rialto Drain to RIX confluence","3","9","9/20/15","34.03489","-117.35667","Santa Ana Sucker","1",30,"34.03489_-117.35667"
"227","SAR Southside channel to Riverside Drive","4","11","9/22/15","34.029","-117.35939","Santa Ana Sucker","1",24,"34.029_-117.35939"
"244","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","1",32,"NV_NV"
"245","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","1",36,"NV_NV"
"246","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","2",36,"NV_NV"
"247","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","4",35,"NV_NV"
"248","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","1",38,"NV_NV"
"249","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","5",40,"NV_NV"
"250","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","5",40,"NV_NV"
"251","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","6",37,"NV_NV"
"252","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","4",37,"NV_NV"
"253","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","2",35,"NV_NV"
"254","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","4",34,"NV_NV"
"255","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","10",36,"NV_NV"
"256","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","10",40,"NV_NV"
"263","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","3",35,"NV_NV"
"264","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","2",35,"NV_NV"
"265","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","5",73,"NV_NV"
"266","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","5",73,"NV_NV"
"267","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","10",90,"NV_NV"
"268","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","10",120,"NV_NV"
"269","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","5",50,"NV_NV"
"270","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","3",58,"NV_NV"
"271","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","1",56,"NV_NV"
"272","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","7",56,"NV_NV"
"273","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","1",32,"NV_NV"
"284","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","2",47,"NV_NV"
"285","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","2",48,"NV_NV"
"286","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","3",48,"NV_NV"
"287","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",47,"NV_NV"
"288","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",47,"NV_NV"
"289","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",44,"NV_NV"
"290","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",44,"NV_NV"
"291","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",45,"NV_NV"
"292","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","2",48,"NV_NV"
"293","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","3",48,"NV_NV"
"294","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",50,"NV_NV"
"295","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",50,"NV_NV"
"296","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",34,"NV_NV"
"297","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",34,"NV_NV"
"309","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",30,"NV_NV"
"310","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",30,"NV_NV"
"311","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",39,"NV_NV"
"312","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",39,"NV_NV"
"313","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","1",35,"NV_NV"
"314","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",44,"NV_NV"
"315","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",44,"NV_NV"
"316","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","10",46,"NV_NV"
"317","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","10",46,"NV_NV"
"318","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","10",48,"NV_NV"
"319","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","10",48,"NV_NV"
"320","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",46,"NV_NV"
"321","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",46,"NV_NV"
"322","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",50,"NV_NV"
"323","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",50,"NV_NV"
"324","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","10",50,"NV_NV"
"325","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",50,"NV_NV"
"326","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",50,"NV_NV"
"327","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",42,"NV_NV"
"328","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",42,"NV_NV"
"329","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",42,"NV_NV"
