yyyymmdd,Hr:Min:Sec,F37B-Hard,F37B-Soft
20160615,8:00:00,19.495,18.9752
20160615,9:00:00,20.3923,19.9582
20160615,10:00:00,20.7289,20.288
20160615,11:00:00,20.8969,19.3648
20160615,12:00:00,20.1615,20.5123
20160615,13:00:00,23.9328,20.6297
20160615,14:00:00,23.6077,20.4629
20160615,15:00:00,22.6993,20.2902
20160615,16:00:00,21.4974,20.0846
20160615,17:00:00,20.6289,19.8085
20160615,18:00:00,20.0993,20.5786
20160615,19:00:00,19.7173,19.7716
20160615,20:00:00,19.4196,19.2954
20160615,21:00:00,19.2474,19.4652
20160615,22:00:00,19.1718,19.6815
20160615,23:00:00,19.0108,19.6863
20160616,0:00:00,18.879,21.119
20160616,1:00:00,18.6973,21.0621
20160616,2:00:00,18.5409,20.864
20160616,3:00:00,18.6044,20.7221
20160616,4:00:00,18.7868,20.3583
20160616,5:00:00,19.2244,20.748
20160616,6:00:00,19.7885,20.8185
20160616,7:00:00,20.4182,21.6198
20160616,8:00:00,21.5002,20.9115
20160616,9:00:00,21.3671,21.243
20160616,10:00:00,21.2215,21.4968
20160616,11:00:00,21.1169,21.6309
20160616,12:00:00,21.0765,21.7372
20160616,13:00:00,21.1046,21.7367
20160616,14:00:00,21.2345,21.7178
20160616,15:00:00,21.4279,21.6636
20160616,16:00:00,21.6888,21.471
20160616,17:00:00,21.9601,21.0923
20160616,18:00:00,22.3232,21.8181
20160616,19:00:00,22.5922,20.9011
20160616,20:00:00,22.818,20.4223
20160616,21:00:00,23.0288,20.4692
20160616,22:00:00,23.1414,20.4589
20160616,23:00:00,23.1904,20.4909
20160617,0:00:00,23.1829,21.3188
20160617,1:00:00,23.1197,21.3778
20160617,2:00:00,23.0067,21.3963
20160617,3:00:00,22.8947,21.4272
20160617,4:00:00,22.7876,21.5558
20160617,5:00:00,22.6492,21.4329
20160617,6:00:00,22.4957,21.6022
20160617,7:00:00,22.3822,22.5672
20160617,8:00:00,22.1856,21.9325
20160617,9:00:00,22.0493,22.3502
20160617,10:00:00,21.9122,22.5628
20160617,11:00:00,21.8197,22.8714
20160617,12:00:00,20.5995,22.8788
20160617,13:00:00,21.2141,22.8752
20160617,14:00:00,21.4637,22.8443
20160617,15:00:00,21.939,22.691
20160617,16:00:00,21.076,22.4912
20160617,17:00:00,20.837,22.1227
20160617,18:00:00,20.6488,22.8388
20160617,19:00:00,23.3036,21.9073
20160617,20:00:00,21.7343,21.3021
20160617,21:00:00,20.9859,21.3066
20160617,22:00:00,20.626,21.3107
20160617,23:00:00,20.266,21.3116
20160618,0:00:00,19.9675,19.8403
20160618,1:00:00,19.8059,19.8317
20160618,2:00:00,19.6068,19.8292
20160618,3:00:00,19.4104,19.8885
20160618,4:00:00,19.2347,19.9909
20160618,5:00:00,18.9387,19.9444
20160618,6:00:00,18.6791,19.8427
20160618,7:00:00,18.7117,21.4213
20160618,8:00:00,18.8975,20.9459
20160618,9:00:00,19.346,21.3628
20160618,10:00:00,19.8985,21.6695
20160618,11:00:00,20.6888,21.9256
20160618,12:00:00,21.4968,22.041
20160618,13:00:00,21.9428,22.0265
20160618,14:00:00,22.0711,21.9921
20160618,15:00:00,22.173,21.8223
20160618,16:00:00,21.6746,21.5994
20160618,17:00:00,21.3616,21.1957
20160618,18:00:00,21.1661,20.7897
20160618,19:00:00,20.8369,20.6141
20160618,20:00:00,20.6128,19.6597
20160618,21:00:00,20.4804,19.6653
20160618,22:00:00,20.5945,19.6753
20160618,23:00:00,20.434,19.6878
20160619,0:00:00,20.2617,20.2374
20160619,1:00:00,20.1681,20.2631
20160619,2:00:00,20.0821,20.2475
20160619,3:00:00,20.0055,20.2307
20160619,4:00:00,19.8715,20.2006
20160619,5:00:00,19.7359,20.1351
20160619,6:00:00,19.6531,20.7245
20160619,7:00:00,19.6837,22.0238
20160619,8:00:00,19.872,21.607
20160619,9:00:00,20.2834,22.1581
20160619,10:00:00,20.5917,22.4342
20160619,11:00:00,20.9482,22.7341
20160619,12:00:00,21.0485,22.9537
20160619,13:00:00,21.489,23.1416
20160619,14:00:00,22.4223,22.9686
20160619,15:00:00,22.6254,22.9501
20160619,16:00:00,22.5825,22.5648
20160619,17:00:00,22.4043,22.2383
20160619,18:00:00,22.2212,22.5668
20160619,19:00:00,21.8591,21.2259
20160619,20:00:00,20.9995,20.2145
20160619,21:00:00,21.1396,20.1691
20160619,22:00:00,20.9304,20.1517
20160619,23:00:00,20.8447,20.1426
20160620,0:00:00,20.8909,21.0924
20160620,1:00:00,20.9108,21.1115
20160620,2:00:00,20.7301,21.0979
20160620,3:00:00,20.5504,21.1037
20160620,4:00:00,20.5222,21.1092
20160620,5:00:00,20.4557,21.1029
20160620,6:00:00,20.5095,21.5853
20160620,7:00:00,20.6218,23.1135
20160620,8:00:00,20.8474,22.9582
20160620,9:00:00,21.3705,23.502
20160620,10:00:00,21.7973,23.8712
20160620,11:00:00,22.3527,24.1114
20160620,12:00:00,22.8766,24.0567
20160620,13:00:00,23.049,24.0024
20160620,14:00:00,23.2745,24.0437
20160620,15:00:00,23.462,23.7916
20160620,16:00:00,23.3423,23.3681
20160620,17:00:00,23.1565,22.9105
20160620,18:00:00,23.0994,23.3145
20160620,19:00:00,22.9445,22.1323
20160620,20:00:00,22.7711,21.2037
20160620,21:00:00,22.0686,21.1626
20160620,22:00:00,22.2674,21.1591
20160620,23:00:00,21.927,21.1706
20160621,0:00:00,21.7379,21.9541
20160621,1:00:00,21.6046,21.9388
20160621,2:00:00,21.492,21.9626
20160621,3:00:00,21.3603,21.9833
20160621,4:00:00,21.247,21.9932
20160621,5:00:00,21.0358,21.9309
20160621,6:00:00,21.0508,22.2137
20160621,7:00:00,21.0798,23.3638
20160621,8:00:00,21.0705,23.0375
20160621,9:00:00,21.4234,23.6689
20160621,10:00:00,22.1903,24.1067
20160621,11:00:00,23.2676,24.2263
20160621,12:00:00,24.1721,24.3996
20160621,13:00:00,24.8438,24.2591
20160621,14:00:00,24.9676,24.1377
20160621,15:00:00,24.8639,23.9509
20160621,16:00:00,24.5608,23.7072
20160621,17:00:00,24.3979,23.28
20160621,18:00:00,24.0308,23.8253
20160621,19:00:00,23.5917,22.7557
20160621,20:00:00,23.1721,22.0393
20160621,21:00:00,23.04,22.0488
20160621,22:00:00,22.7666,22.0757
20160621,23:00:00,22.4918,22.0735
20160622,0:00:00,22.1971,21.4669
20160622,1:00:00,21.9403,21.4464
20160622,2:00:00,21.6275,21.4431
20160622,3:00:00,21.4187,21.4347
20160622,4:00:00,21.2869,21.4534
20160622,5:00:00,21.2667,21.4255
20160622,6:00:00,21.1389,21.7082
20160622,7:00:00,21.1366,22.8434
20160622,8:00:00,21.0641,22.3201
20160622,9:00:00,21.4571,22.7596
20160622,10:00:00,21.7409,23.0992
20160622,11:00:00,22.3757,23.2541
20160622,12:00:00,22.8791,23.401
20160622,13:00:00,23.458,23.4134
20160622,14:00:00,23.6654,23.4506
20160622,15:00:00,23.8127,23.2514
20160622,16:00:00,23.4189,23.0617
20160622,17:00:00,23.0124,22.65
20160622,18:00:00,22.7411,23.2824
20160622,19:00:00,22.2996,22.2391
20160622,20:00:00,21.8504,21.348
20160622,21:00:00,21.6438,21.3872
20160622,22:00:00,21.4453,21.3957
20160622,23:00:00,21.3019,21.3683
20160623,0:00:00,21.0938,20.7934
20160623,1:00:00,21.009,20.801
20160623,2:00:00,20.8474,20.7901
20160623,3:00:00,20.7341,20.798
20160623,4:00:00,20.7362,20.8436
20160623,5:00:00,20.6695,20.8334
20160623,6:00:00,20.6243,21.2535
20160623,7:00:00,20.6678,22.3632
20160623,8:00:00,20.722,21.7669
20160623,9:00:00,21.0235,22.2412
20160623,10:00:00,21.2758,22.6668
20160623,11:00:00,21.6856,22.9403
20160623,12:00:00,22.095,23.0786
20160623,13:00:00,22.6137,23.0429
20160623,14:00:00,23.1171,22.8908
20160623,15:00:00,23.2264,22.8465
20160623,16:00:00,23.0951,22.5031
20160623,17:00:00,22.7373,22.1167
20160623,18:00:00,22.4068,22.6848
20160623,19:00:00,21.9476,21.6374
20160623,20:00:00,21.4326,20.7425
20160623,21:00:00,21.0545,20.7595
20160623,22:00:00,20.7993,20.7708
20160623,23:00:00,20.7119,20.7269
20160624,0:00:00,20.5991,20.3548
20160624,1:00:00,20.4855,20.3565
20160624,2:00:00,20.3554,20.4084
20160624,3:00:00,20.2716,20.4414
20160624,4:00:00,20.2755,20.5257
20160624,5:00:00,20.2285,20.5331
20160624,6:00:00,20.2527,21.0047
20160624,7:00:00,20.3401,22.1852
20160624,8:00:00,20.4259,21.646
20160624,9:00:00,20.6273,22.0142
20160624,10:00:00,20.8768,22.3921
20160624,11:00:00,21.3141,22.6614
20160624,12:00:00,21.77,22.8013
20160624,13:00:00,22.2805,22.7838
20160624,14:00:00,22.5159,22.6768
20160624,15:00:00,22.7102,22.4971
20160624,16:00:00,22.696,22.2501
20160624,17:00:00,22.4633,21.7623
20160624,18:00:00,22.1849,22.2395
20160624,19:00:00,21.8161,21.2821
20160624,20:00:00,21.3386,20.564
20160624,21:00:00,20.8877,20.6469
20160624,22:00:00,20.5938,20.6454
20160624,23:00:00,20.642,20.6634
20160625,0:00:00,20.6828,21.1131
20160625,1:00:00,20.5037,21.1343
20160625,2:00:00,20.4184,21.1339
20160625,3:00:00,20.3928,21.1954
20160625,4:00:00,20.3732,21.1814
20160625,5:00:00,20.3689,21.0878
20160625,6:00:00,20.2142,21.1965
20160625,7:00:00,20.3213,22.2435
20160625,8:00:00,20.3462,21.7537
20160625,9:00:00,20.6044,22.4049
20160625,10:00:00,21.0031,22.9078
20160625,11:00:00,21.6188,23.1981
20160625,12:00:00,22.7026,23.4117
20160625,13:00:00,23.0744,23.4047
20160625,14:00:00,23.2601,23.3978
20160625,15:00:00,23.5383,23.2182
20160625,16:00:00,23.5714,22.9835
20160625,17:00:00,23.3902,22.5802
20160625,18:00:00,23.1947,22.9997
20160625,19:00:00,22.8837,21.8538
20160625,20:00:00,22.5361,21.0362
20160625,21:00:00,22.0823,21.0528
20160625,22:00:00,21.7415,21.0583
20160625,23:00:00,21.4465,21.0308
20160626,0:00:00,21.2199,21.0463
20160626,1:00:00,21.0376,20.999
20160626,2:00:00,20.9519,20.9885
20160626,3:00:00,20.8836,20.9478
20160626,4:00:00,20.77,20.9492
20160626,5:00:00,20.654,20.8982
20160626,6:00:00,20.5715,21.1421
20160626,7:00:00,20.6227,22.4128
20160626,8:00:00,20.8387,22.1505
20160626,9:00:00,21.2083,22.7884
20160626,10:00:00,21.5205,23.1249
20160626,11:00:00,21.9044,23.425
20160626,12:00:00,22.0567,23.4745
20160626,13:00:00,22.3742,23.4994
20160626,14:00:00,23.2404,23.5277
20160626,15:00:00,23.388,23.3596
20160626,16:00:00,23.3009,22.9932
20160626,17:00:00,23.0057,22.5661
20160626,18:00:00,22.7476,23.0662
20160626,19:00:00,22.3955,21.9109
20160626,20:00:00,21.9496,21.0527
20160626,21:00:00,21.6083,21.0448
20160626,22:00:00,21.3621,21.0467
20160626,23:00:00,21.1801,21.0043
20160627,0:00:00,21.0285,21.198
20160627,1:00:00,20.9329,21.1788
20160627,2:00:00,20.9131,21.1606
20160627,3:00:00,20.9125,21.1479
20160627,4:00:00,20.8181,21.1567
20160627,5:00:00,20.7339,21.1766
20160627,6:00:00,20.7506,21.5074
20160627,7:00:00,20.9058,22.726
20160627,8:00:00,21.0268,22.3016
20160627,9:00:00,21.2574,22.8255
20160627,10:00:00,21.6269,23.3162
20160627,11:00:00,21.7296,23.5814
20160627,12:00:00,21.9168,23.6064
20160627,13:00:00,22.3363,23.6296
20160627,14:00:00,23.3329,23.512
20160627,15:00:00,23.5458,23.3349
20160627,16:00:00,23.4868,22.6265
20160627,17:00:00,23.2716,21.5059
20160627,18:00:00,23.1973,21.2189
20160627,19:00:00,22.8563,21.1998
20160627,20:00:00,22.6115,21.2285
20160627,21:00:00,22.4327,21.2504
20160627,22:00:00,22.2248,21.2589
20160627,23:00:00,22.0734,21.2602
20160628,0:00:00,21.9748,21.5696
20160628,1:00:00,21.833,21.5772
20160628,2:00:00,21.7199,21.5879
20160628,3:00:00,21.5856,21.5542
20160628,4:00:00,21.5373,21.5333
20160628,5:00:00,21.4982,21.5061
20160628,6:00:00,21.4495,21.4757
20160628,7:00:00,21.4229,21.5114
20160628,8:00:00,21.5489,21.2616
20160628,9:00:00,21.8821,23.1338
20160628,10:00:00,22.1313,22.1449
20160628,11:00:00,22.639,22.3417
20160628,12:00:00,23.1801,22.4673
20160628,13:00:00,23.3108,23.134
20160628,14:00:00,23.3777,21.923
20160628,15:00:00,23.4155,21.7281
20160628,16:00:00,23.3372,21.4527
20160628,17:00:00,23.0597,21.7484
20160628,18:00:00,22.7268,22.6668
20160628,19:00:00,22.3505,22.3104
20160628,20:00:00,21.9281,21.5846
20160628,21:00:00,21.6535,21.585
20160628,22:00:00,21.4547,21.5872
20160628,23:00:00,21.3603,21.5965
20160629,0:00:00,21.2333,21.322
20160629,1:00:00,21.1964,21.3437
20160629,2:00:00,21.1485,21.3331
20160629,3:00:00,21.1199,21.3314
20160629,4:00:00,21.1013,21.3399
20160629,5:00:00,21.1182,21.2925
20160629,6:00:00,21.2049,21.5131
20160629,7:00:00,21.3426,22.8156
20160629,8:00:00,21.3955,22.5225
20160629,9:00:00,21.6477,22.9553
20160629,10:00:00,21.791,23.4121
20160629,11:00:00,22.1513,23.5134
20160629,12:00:00,22.4702,23.6877
20160629,13:00:00,23.0095,23.6927
20160629,14:00:00,23.2493,23.6615
20160629,15:00:00,23.3022,23.4677
20160629,16:00:00,23.2053,23.2552
20160629,17:00:00,22.814,22.7964
20160629,18:00:00,22.575,23.1666
20160629,19:00:00,22.2907,22.0697
20160629,20:00:00,22.0423,21.2039
20160629,21:00:00,21.8441,21.2193
20160629,22:00:00,21.634,21.182
20160629,23:00:00,21.4536,21.1733
20160630,0:00:00,21.3091,20.9298
20160630,1:00:00,21.2151,20.9451
20160630,2:00:00,21.1499,20.9702
20160630,3:00:00,21.0646,20.9695
20160630,4:00:00,21.0377,21.002
20160630,5:00:00,20.9687,20.9431
20160630,6:00:00,20.8721,21.2898
20160630,7:00:00,20.8978,22.5945
20160630,8:00:00,21.0209,22.2115
20160630,9:00:00,21.202,22.6905
20160630,10:00:00,21.3792,22.9614
20160630,11:00:00,21.5709,23.1702
20160630,12:00:00,21.8162,23.2201
20160630,13:00:00,22.1982,23.2326
20160630,14:00:00,22.5431,23.1008
20160630,15:00:00,22.6074,22.9376
20160630,16:00:00,22.6784,22.7235
20160630,17:00:00,22.6367,22.3233
20160630,18:00:00,22.5787,22.9015
20160630,19:00:00,22.3237,21.7936
20160630,20:00:00,21.944,20.9357
20160630,21:00:00,21.6533,20.9969
20160630,22:00:00,21.4756,21.0452
20160630,23:00:00,21.3363,21.1055
20160701,0:00:00,21.2658,21.022
20160701,1:00:00,21.2218,21.0954
20160701,2:00:00,21.1363,21.0914
20160701,3:00:00,21.0691,21.0722
20160701,4:00:00,21.0682,21.0527
20160701,5:00:00,20.9875,20.9457
20160701,6:00:00,20.9608,21.1754
20160701,7:00:00,20.997,22.3593
20160701,8:00:00,21.1128,21.8735
20160701,9:00:00,21.2539,22.3349
20160701,10:00:00,21.4281,22.7087
20160701,11:00:00,21.6024,22.9385
20160701,12:00:00,22.0485,22.9346
20160701,13:00:00,22.4235,22.9734
20160701,14:00:00,22.5656,23.0108
20160701,15:00:00,22.6394,22.8493
20160701,16:00:00,22.6016,22.53
20160701,17:00:00,22.3539,22.1241
20160701,18:00:00,22.1148,22.6629
20160701,19:00:00,21.7038,21.672
20160701,20:00:00,21.3567,20.9382
20160701,21:00:00,21.1334,21.0261
20160701,22:00:00,20.9564,21.0949
20160701,23:00:00,20.7485,21.1097
20160702,0:00:00,20.5724,20.6011
20160702,1:00:00,20.4121,20.6217
20160702,2:00:00,20.3031,20.728
20160702,3:00:00,20.1885,20.7082
20160702,4:00:00,20.0735,20.6814
20160702,5:00:00,19.9827,20.5589
20160702,6:00:00,19.9455,20.7382
20160702,7:00:00,19.9185,21.8974
20160702,8:00:00,19.8915,21.3342
20160702,9:00:00,20.0849,21.8465
20160702,10:00:00,20.3298,22.1468
20160702,11:00:00,20.6448,22.2574
20160702,12:00:00,21.1442,22.3473
20160702,13:00:00,21.4985,22.3547
20160702,14:00:00,21.8613,22.1968
20160702,15:00:00,21.993,22.0584
20160702,16:00:00,22.0896,21.7854
20160702,17:00:00,22.1103,21.4735
20160702,18:00:00,22.2255,22.1233
20160702,19:00:00,22.0342,21.1164
20160702,20:00:00,21.8009,20.3332
20160702,21:00:00,21.4824,20.4082
20160702,22:00:00,21.2391,20.47
20160702,23:00:00,20.993,20.4782
20160703,0:00:00,20.7417,20.3772
20160703,1:00:00,20.5143,20.3795
20160703,2:00:00,20.4056,20.4886
20160703,3:00:00,20.387,20.4949
20160703,4:00:00,20.3395,20.4927
20160703,5:00:00,20.3033,20.3232
20160703,6:00:00,20.2043,20.6171
20160703,7:00:00,20.1622,21.7283
20160703,8:00:00,20.2402,21.2156
20160703,9:00:00,20.4504,21.5829
20160703,10:00:00,20.5746,21.9055
20160703,11:00:00,20.7659,22.1122
20160703,12:00:00,21.1518,22.172
20160703,13:00:00,21.4882,22.1891
20160703,14:00:00,21.7126,22.2003
20160703,15:00:00,21.7775,21.8919
20160703,16:00:00,21.8121,21.6837
20160703,17:00:00,21.585,21.3067
20160703,18:00:00,21.4058,21.9235
20160703,19:00:00,21.1007,20.963
20160703,20:00:00,20.7984,20.1703
20160703,21:00:00,20.5081,20.2435
20160703,22:00:00,20.2841,20.3184
20160703,23:00:00,20.1076,20.3967
20160704,0:00:00,19.9539,19.9604
20160704,1:00:00,19.8641,20.0703
20160704,2:00:00,19.7824,20.1507
20160704,3:00:00,19.7848,20.2054
20160704,4:00:00,19.8062,20.2589
20160704,5:00:00,19.8481,20.1356
20160704,6:00:00,19.8713,20.2025
