"","Species","Life_Stage","Hydraulic","position","Node","Scenario","Overall_Class","pos_code","sp_code","ClassOrder","Check_Class"
"107","SAS","Adult","velocity","MC","GLEN",2,"Partial","GLEN_MC","SAS_Adult","2","Partial"
"108","SAS","fry","depth","MC","GLEN",2,"Low","GLEN_MC","SAS_fry","1","Low"
"109","SAS","fry","velocity","MC","GLEN",2,"High","GLEN_MC","SAS_fry","3","Low"
"110","SAS","juvenile","depth","MC","GLEN",2,"Partial","GLEN_MC","SAS_juvenile","2","Partial"
"111","Steelhead","Migration","depth","MC","GLEN",2,"Low","GLEN_MC","Steelhead_Migration","1","Low"
"112","Steelhead","Migration","velocity","MC","GLEN",2,"Low","GLEN_MC","Steelhead_Migration","1","Low"
"113","Steelhead","Prolonged","depth","MC","GLEN",2,"Low","GLEN_MC","Steelhead_Prolonged","1","Low"
"114","Steelhead","Prolonged","velocity","MC","GLEN",2,"Low","GLEN_MC","Steelhead_Prolonged","1","Low"
"115","Steelhead","Smolts","depth","MC","GLEN",2,"Low","GLEN_MC","Steelhead_Smolts","1","Low"
"116","Typha","Adult","depth","MC","GLEN",2,"Partial","GLEN_MC","Typha_Adult","2","Low"
"117","Typha","Adult","velocity","MC","GLEN",2,"Low","GLEN_MC","Typha_Adult","1","Low"
"118","Typha","Seedling","depth","MC","GLEN",2,"Partial","GLEN_MC","Typha_Seedling","2","Partial"
"119","Willow","Germination","depth","MC","GLEN",2,"Low","GLEN_MC","Willow_Germination","1","Low"
"120","Cladophora","Adult","depth","ROB","GLEN",2,"High","GLEN_ROB","Cladophora_Adult","3","Low"
"121","Cladophora","Adult","Shear","ROB","GLEN",2,"Low","GLEN_ROB","Cladophora_Adult","1","Low"
"122","Cladophora","Adult","velocity","ROB","GLEN",2,"Low","GLEN_ROB","Cladophora_Adult","1","Low"
"123","SAS","Adult","depth","ROB","GLEN",2,"Partial","GLEN_ROB","SAS_Adult","2","Partial"
"124","SAS","Adult","velocity","ROB","GLEN",2,"Partial","GLEN_ROB","SAS_Adult","2","Partial"
"125","SAS","fry","depth","ROB","GLEN",2,"High","GLEN_ROB","SAS_fry","3","Low"
"126","SAS","fry","velocity","ROB","GLEN",2,"Low","GLEN_ROB","SAS_fry","1","Low"
"127","SAS","juvenile","depth","ROB","GLEN",2,"Partial","GLEN_ROB","SAS_juvenile","2","Partial"
"128","Steelhead","Migration","depth","ROB","GLEN",2,"Low","GLEN_ROB","Steelhead_Migration","1","Low"
"129","Steelhead","Migration","velocity","ROB","GLEN",2,"Low","GLEN_ROB","Steelhead_Migration","1","Low"
"130","Steelhead","Prolonged","depth","ROB","GLEN",2,"Low","GLEN_ROB","Steelhead_Prolonged","1","Low"
"131","Steelhead","Prolonged","velocity","ROB","GLEN",2,"Low","GLEN_ROB","Steelhead_Prolonged","1","Low"
"132","Steelhead","Smolts","depth","ROB","GLEN",2,"Low","GLEN_ROB","Steelhead_Smolts","1","Low"
"133","Typha","Adult","depth","ROB","GLEN",2,"Partial","GLEN_ROB","Typha_Adult","2","Partial"
"134","Typha","Adult","velocity","ROB","GLEN",2,"Partial","GLEN_ROB","Typha_Adult","2","Partial"
"135","Typha","Seedling","depth","ROB","GLEN",2,"Partial","GLEN_ROB","Typha_Seedling","2","Partial"
"136","Willow","Germination","depth","ROB","GLEN",2,"Low","GLEN_ROB","Willow_Germination","1","Low"
"137","Cladophora","Adult","depth","LOB","GLEN",3,"High","GLEN_LOB","Cladophora_Adult","3","Low"
"138","Cladophora","Adult","Shear","LOB","GLEN",3,"Low","GLEN_LOB","Cladophora_Adult","1","Low"
"139","Cladophora","Adult","velocity","LOB","GLEN",3,"Low","GLEN_LOB","Cladophora_Adult","1","Low"
"140","SAS","Adult","depth","LOB","GLEN",3,"Partial","GLEN_LOB","SAS_Adult","2","Partial"
"141","SAS","Adult","velocity","LOB","GLEN",3,"Partial","GLEN_LOB","SAS_Adult","2","Partial"
"142","SAS","fry","depth","LOB","GLEN",3,"Low","GLEN_LOB","SAS_fry","1","Low"
"143","SAS","fry","velocity","LOB","GLEN",3,"Low","GLEN_LOB","SAS_fry","1","Low"
"144","SAS","juvenile","depth","LOB","GLEN",3,"High","GLEN_LOB","SAS_juvenile","3","High"
"145","Steelhead","Migration","depth","LOB","GLEN",3,"High","GLEN_LOB","Steelhead_Migration","3","Low"
"146","Steelhead","Migration","velocity","LOB","GLEN",3,"Low","GLEN_LOB","Steelhead_Migration","1","Low"
"147","Steelhead","Prolonged","depth","LOB","GLEN",3,"High","GLEN_LOB","Steelhead_Prolonged","3","Low"
"148","Steelhead","Prolonged","velocity","LOB","GLEN",3,"Low","GLEN_LOB","Steelhead_Prolonged","1","Low"
"149","Steelhead","Smolts","depth","LOB","GLEN",3,"High","GLEN_LOB","Steelhead_Smolts","3","High"
"150","Typha","Adult","depth","LOB","GLEN",3,"Partial","GLEN_LOB","Typha_Adult","2","Partial"
"151","Typha","Adult","velocity","LOB","GLEN",3,"Partial","GLEN_LOB","Typha_Adult","2","Partial"
"152","Typha","Seedling","depth","LOB","GLEN",3,"Partial","GLEN_LOB","Typha_Seedling","2","Partial"
"153","Willow","Germination","depth","LOB","GLEN",3,"Low","GLEN_LOB","Willow_Germination","1","Low"
"154","Cladophora","Adult","depth","MC","F319",3,"High","F319_MC","Cladophora_Adult","3","Low"
"155","Cladophora","Adult","Shear","MC","F319",3,"Low","F319_MC","Cladophora_Adult","1","Low"
"156","Cladophora","Adult","velocity","MC","F319",3,"Partial","F319_MC","Cladophora_Adult","2","Low"
"157","SAS","Adult","depth","MC","F319",3,"High","F319_MC","SAS_Adult","3","Partial"
"158","SAS","Adult","velocity","MC","F319",3,"Partial","F319_MC","SAS_Adult","2","Partial"
"159","SAS","fry","depth","MC","F319",3,"Low","F319_MC","SAS_fry","1","Low"
"160","SAS","fry","velocity","MC","F319",3,"Low","F319_MC","SAS_fry","1","Low"
"161","SAS","juvenile","depth","MC","F319",3,"High","F319_MC","SAS_juvenile","3","High"
"162","Steelhead","Migration","depth","MC","F319",3,"High","F319_MC","Steelhead_Migration","3","Low"
"163","Steelhead","Migration","velocity","MC","F319",3,"Low","F319_MC","Steelhead_Migration","1","Low"
"164","Steelhead","Prolonged","depth","MC","F319",3,"High","F319_MC","Steelhead_Prolonged","3","Low"
"165","Steelhead","Prolonged","velocity","MC","F319",3,"Low","F319_MC","Steelhead_Prolonged","1","Low"
"166","Steelhead","Smolts","depth","MC","F319",3,"High","F319_MC","Steelhead_Smolts","3","High"
"167","Typha","Adult","depth","MC","F319",3,"High","F319_MC","Typha_Adult","3","Partial"
"168","Typha","Adult","velocity","MC","F319",3,"Partial","F319_MC","Typha_Adult","2","Partial"
"169","Typha","Seedling","depth","MC","F319",3,"Low","F319_MC","Typha_Seedling","1","Low"
"170","Willow","Germination","depth","MC","F319",3,"Low","F319_MC","Willow_Germination","1","Low"
"171","Cladophora","Adult","depth","MC","GLEN",3,"High","GLEN_MC","Cladophora_Adult","3","Low"
"172","Cladophora","Adult","Shear","MC","GLEN",3,"Low","GLEN_MC","Cladophora_Adult","1","Low"
"173","Cladophora","Adult","velocity","MC","GLEN",3,"Low","GLEN_MC","Cladophora_Adult","1","Low"
"174","SAS","Adult","depth","MC","GLEN",3,"Partial","GLEN_MC","SAS_Adult","2","Partial"
"175","SAS","Adult","velocity","MC","GLEN",3,"Partial","GLEN_MC","SAS_Adult","2","Partial"
"176","SAS","fry","depth","MC","GLEN",3,"Low","GLEN_MC","SAS_fry","1","Low"
"177","SAS","fry","velocity","MC","GLEN",3,"High","GLEN_MC","SAS_fry","3","Low"
"178","SAS","juvenile","depth","MC","GLEN",3,"Partial","GLEN_MC","SAS_juvenile","2","Partial"
"179","Steelhead","Migration","depth","MC","GLEN",3,"Low","GLEN_MC","Steelhead_Migration","1","Low"
"180","Steelhead","Migration","velocity","MC","GLEN",3,"Low","GLEN_MC","Steelhead_Migration","1","Low"
"181","Steelhead","Prolonged","depth","MC","GLEN",3,"Low","GLEN_MC","Steelhead_Prolonged","1","Low"
"182","Steelhead","Prolonged","velocity","MC","GLEN",3,"Low","GLEN_MC","Steelhead_Prolonged","1","Low"
"183","Steelhead","Smolts","depth","MC","GLEN",3,"Low","GLEN_MC","Steelhead_Smolts","1","Low"
"184","Typha","Adult","depth","MC","GLEN",3,"Partial","GLEN_MC","Typha_Adult","2","Low"
"185","Typha","Adult","velocity","MC","GLEN",3,"Low","GLEN_MC","Typha_Adult","1","Low"
"186","Typha","Seedling","depth","MC","GLEN",3,"Partial","GLEN_MC","Typha_Seedling","2","Partial"
"187","Willow","Germination","depth","MC","GLEN",3,"Low","GLEN_MC","Willow_Germination","1","Low"
"188","Cladophora","Adult","depth","ROB","GLEN",3,"High","GLEN_ROB","Cladophora_Adult","3","Low"
"189","Cladophora","Adult","Shear","ROB","GLEN",3,"Low","GLEN_ROB","Cladophora_Adult","1","Low"
"190","Cladophora","Adult","velocity","ROB","GLEN",3,"Low","GLEN_ROB","Cladophora_Adult","1","Low"
"191","SAS","Adult","depth","ROB","GLEN",3,"Partial","GLEN_ROB","SAS_Adult","2","Partial"
"192","SAS","Adult","velocity","ROB","GLEN",3,"Partial","GLEN_ROB","SAS_Adult","2","Partial"
"193","SAS","fry","depth","ROB","GLEN",3,"High","GLEN_ROB","SAS_fry","3","Low"
"194","SAS","fry","velocity","ROB","GLEN",3,"Low","GLEN_ROB","SAS_fry","1","Low"
"195","SAS","juvenile","depth","ROB","GLEN",3,"Partial","GLEN_ROB","SAS_juvenile","2","Partial"
"196","Steelhead","Migration","depth","ROB","GLEN",3,"Low","GLEN_ROB","Steelhead_Migration","1","Low"
"197","Steelhead","Migration","velocity","ROB","GLEN",3,"Low","GLEN_ROB","Steelhead_Migration","1","Low"
"198","Steelhead","Prolonged","depth","ROB","GLEN",3,"Low","GLEN_ROB","Steelhead_Prolonged","1","Low"
"199","Steelhead","Prolonged","velocity","ROB","GLEN",3,"Low","GLEN_ROB","Steelhead_Prolonged","1","Low"
"200","Steelhead","Smolts","depth","ROB","GLEN",3,"Low","GLEN_ROB","Steelhead_Smolts","1","Low"
"201","Typha","Adult","depth","ROB","GLEN",3,"Partial","GLEN_ROB","Typha_Adult","2","Partial"
"202","Typha","Adult","velocity","ROB","GLEN",3,"Partial","GLEN_ROB","Typha_Adult","2","Partial"
"203","Typha","Seedling","depth","ROB","GLEN",3,"Partial","GLEN_ROB","Typha_Seedling","2","Partial"
"204","Willow","Germination","depth","ROB","GLEN",3,"Low","GLEN_ROB","Willow_Germination","1","Low"
"205","Cladophora","Adult","depth","LOB","GLEN",4,"High","GLEN_LOB","Cladophora_Adult","3","Low"
"206","Cladophora","Adult","Shear","LOB","GLEN",4,"Low","GLEN_LOB","Cladophora_Adult","1","Low"
"207","Cladophora","Adult","velocity","LOB","GLEN",4,"Low","GLEN_LOB","Cladophora_Adult","1","Low"
"208","SAS","Adult","depth","LOB","GLEN",4,"Partial","GLEN_LOB","SAS_Adult","2","Partial"
"209","SAS","Adult","velocity","LOB","GLEN",4,"Partial","GLEN_LOB","SAS_Adult","2","Partial"
"210","SAS","fry","depth","LOB","GLEN",4,"Low","GLEN_LOB","SAS_fry","1","Low"
"211","SAS","fry","velocity","LOB","GLEN",4,"Low","GLEN_LOB","SAS_fry","1","Low"
"212","SAS","juvenile","depth","LOB","GLEN",4,"Partial","GLEN_LOB","SAS_juvenile","2","Partial"
"213","Steelhead","Migration","depth","LOB","GLEN",4,"High","GLEN_LOB","Steelhead_Migration","3","Low"
"214","Steelhead","Migration","velocity","LOB","GLEN",4,"Low","GLEN_LOB","Steelhead_Migration","1","Low"
"215","Steelhead","Prolonged","depth","LOB","GLEN",4,"High","GLEN_LOB","Steelhead_Prolonged","3","Low"
"216","Steelhead","Prolonged","velocity","LOB","GLEN",4,"Low","GLEN_LOB","Steelhead_Prolonged","1","Low"
"217","Steelhead","Smolts","depth","LOB","GLEN",4,"High","GLEN_LOB","Steelhead_Smolts","3","High"
"218","Typha","Adult","depth","LOB","GLEN",4,"Partial","GLEN_LOB","Typha_Adult","2","Partial"
"219","Typha","Adult","velocity","LOB","GLEN",4,"Partial","GLEN_LOB","Typha_Adult","2","Partial"
"220","Typha","Seedling","depth","LOB","GLEN",4,"Partial","GLEN_LOB","Typha_Seedling","2","Partial"
"221","Willow","Germination","depth","LOB","GLEN",4,"Low","GLEN_LOB","Willow_Germination","1","Low"
"222","Cladophora","Adult","depth","MC","F319",4,"High","F319_MC","Cladophora_Adult","3","Low"
"223","Cladophora","Adult","Shear","MC","F319",4,"Low","F319_MC","Cladophora_Adult","1","Low"
"224","Cladophora","Adult","velocity","MC","F319",4,"Low","F319_MC","Cladophora_Adult","1","Low"
"225","SAS","Adult","depth","MC","F319",4,"High","F319_MC","SAS_Adult","3","Partial"
"226","SAS","Adult","velocity","MC","F319",4,"Partial","F319_MC","SAS_Adult","2","Partial"
"227","SAS","fry","depth","MC","F319",4,"Low","F319_MC","SAS_fry","1","Low"
"228","SAS","fry","velocity","MC","F319",4,"Low","F319_MC","SAS_fry","1","Low"
"229","SAS","juvenile","depth","MC","F319",4,"High","F319_MC","SAS_juvenile","3","High"
"230","Steelhead","Migration","depth","MC","F319",4,"High","F319_MC","Steelhead_Migration","3","Low"
"231","Steelhead","Migration","velocity","MC","F319",4,"Low","F319_MC","Steelhead_Migration","1","Low"
"232","Steelhead","Prolonged","depth","MC","F319",4,"High","F319_MC","Steelhead_Prolonged","3","Low"
"233","Steelhead","Prolonged","velocity","MC","F319",4,"Low","F319_MC","Steelhead_Prolonged","1","Low"
"234","Steelhead","Smolts","depth","MC","F319",4,"High","F319_MC","Steelhead_Smolts","3","High"
"235","Typha","Adult","depth","MC","F319",4,"High","F319_MC","Typha_Adult","3","Partial"
"236","Typha","Adult","velocity","MC","F319",4,"Partial","F319_MC","Typha_Adult","2","Partial"
"237","Typha","Seedling","depth","MC","F319",4,"Low","F319_MC","Typha_Seedling","1","Low"
"238","Willow","Germination","depth","MC","F319",4,"Low","F319_MC","Willow_Germination","1","Low"
"239","Cladophora","Adult","depth","MC","GLEN",4,"High","GLEN_MC","Cladophora_Adult","3","Low"
"240","Cladophora","Adult","Shear","MC","GLEN",4,"Low","GLEN_MC","Cladophora_Adult","1","Low"
"241","Cladophora","Adult","velocity","MC","GLEN",4,"Low","GLEN_MC","Cladophora_Adult","1","Low"
"242","SAS","Adult","depth","MC","GLEN",4,"Partial","GLEN_MC","SAS_Adult","2","Partial"
"243","SAS","Adult","velocity","MC","GLEN",4,"Partial","GLEN_MC","SAS_Adult","2","Partial"
"244","SAS","fry","depth","MC","GLEN",4,"Low","GLEN_MC","SAS_fry","1","Low"
"245","SAS","fry","velocity","MC","GLEN",4,"High","GLEN_MC","SAS_fry","3","Low"
"246","SAS","juvenile","depth","MC","GLEN",4,"Partial","GLEN_MC","SAS_juvenile","2","Partial"
"247","Steelhead","Migration","depth","MC","GLEN",4,"Low","GLEN_MC","Steelhead_Migration","1","Low"
"248","Steelhead","Migration","velocity","MC","GLEN",4,"Low","GLEN_MC","Steelhead_Migration","1","Low"
"249","Steelhead","Prolonged","depth","MC","GLEN",4,"Low","GLEN_MC","Steelhead_Prolonged","1","Low"
"250","Steelhead","Prolonged","velocity","MC","GLEN",4,"Low","GLEN_MC","Steelhead_Prolonged","1","Low"
"251","Steelhead","Smolts","depth","MC","GLEN",4,"Low","GLEN_MC","Steelhead_Smolts","1","Low"
"252","Typha","Adult","depth","MC","GLEN",4,"Partial","GLEN_MC","Typha_Adult","2","Low"
"253","Typha","Adult","velocity","MC","GLEN",4,"Low","GLEN_MC","Typha_Adult","1","Low"
"254","Typha","Seedling","depth","MC","GLEN",4,"Partial","GLEN_MC","Typha_Seedling","2","Partial"
"255","Willow","Germination","depth","MC","GLEN",4,"Low","GLEN_MC","Willow_Germination","1","Low"
"256","Cladophora","Adult","depth","ROB","GLEN",4,"High","GLEN_ROB","Cladophora_Adult","3","Low"
"257","Cladophora","Adult","Shear","ROB","GLEN",4,"Low","GLEN_ROB","Cladophora_Adult","1","Low"
"258","Cladophora","Adult","velocity","ROB","GLEN",4,"Low","GLEN_ROB","Cladophora_Adult","1","Low"
"259","SAS","Adult","depth","ROB","GLEN",4,"Partial","GLEN_ROB","SAS_Adult","2","Partial"
"260","SAS","Adult","velocity","ROB","GLEN",4,"Partial","GLEN_ROB","SAS_Adult","2","Partial"
"261","SAS","fry","depth","ROB","GLEN",4,"High","GLEN_ROB","SAS_fry","3","Low"
