"","Node","Species","Life_Stage","sp_code","Scenario","Node_Class"
"68","F319","SAS","juvenile","SAS_juvenile",4,"High"
"69","GLEN","Steelhead","Migration","Steelhead_Migration",4,"Low"
"70","F319","Steelhead","Migration","Steelhead_Migration",4,"Low"
"71","GLEN","Steelhead","Prolonged","Steelhead_Prolonged",4,"Low"
"72","F319","Steelhead","Prolonged","Steelhead_Prolonged",4,"Low"
"73","GLEN","Steelhead","Smolts","Steelhead_Smolts",4,"High"
"74","F319","Steelhead","Smolts","Steelhead_Smolts",4,"High"
"75","GLEN","Typha","Adult","Typha_Adult",4,"Partial"
"76","F319","Typha","Adult","Typha_Adult",4,"Partial"
"77","GLEN","Typha","Seedling","Typha_Seedling",4,"Partial"
"78","F319","Typha","Seedling","Typha_Seedling",4,"Low"
"79","GLEN","Willow","Germination","Willow_Germination",4,"Low"
"80","F319","Willow","Germination","Willow_Germination",4,"Low"
"81","GLEN","Cladophora","Adult","Cladophora_Adult",5,"Low"
"82","F319","Cladophora","Adult","Cladophora_Adult",5,"Low"
"83","GLEN","SAS","Adult","SAS_Adult",5,"Partial"
"84","F319","SAS","Adult","SAS_Adult",5,"High"
"85","GLEN","SAS","fry","SAS_fry",5,"Low"
"86","F319","SAS","fry","SAS_fry",5,"Low"
"87","GLEN","SAS","juvenile","SAS_juvenile",5,"High"
"88","F319","SAS","juvenile","SAS_juvenile",5,"High"
"89","GLEN","Steelhead","Migration","Steelhead_Migration",5,"Low"
"90","F319","Steelhead","Migration","Steelhead_Migration",5,"Low"
"91","GLEN","Steelhead","Prolonged","Steelhead_Prolonged",5,"Low"
"92","F319","Steelhead","Prolonged","Steelhead_Prolonged",5,"Low"
"93","GLEN","Steelhead","Smolts","Steelhead_Smolts",5,"High"
"94","F319","Steelhead","Smolts","Steelhead_Smolts",5,"High"
"95","GLEN","Typha","Adult","Typha_Adult",5,"Partial"
"96","F319","Typha","Adult","Typha_Adult",5,"Partial"
"97","GLEN","Typha","Seedling","Typha_Seedling",5,"Partial"
"98","F319","Typha","Seedling","Typha_Seedling",5,"Low"
"99","GLEN","Willow","Germination","Willow_Germination",5,"Low"
"100","F319","Willow","Germination","Willow_Germination",5,"Low"
"101","GLEN","Cladophora","Adult","Cladophora_Adult",6,"Low"
"102","F319","Cladophora","Adult","Cladophora_Adult",6,"Low"
"103","GLEN","SAS","Adult","SAS_Adult",6,"Partial"
"104","F319","SAS","Adult","SAS_Adult",6,"Partial"
"105","GLEN","SAS","fry","SAS_fry",6,"Low"
"106","F319","SAS","fry","SAS_fry",6,"Low"
"107","GLEN","SAS","juvenile","SAS_juvenile",6,"High"
"108","F319","SAS","juvenile","SAS_juvenile",6,"High"
"109","GLEN","Steelhead","Migration","Steelhead_Migration",6,"Low"
"110","F319","Steelhead","Migration","Steelhead_Migration",6,"Low"
"111","GLEN","Steelhead","Prolonged","Steelhead_Prolonged",6,"Low"
"112","F319","Steelhead","Prolonged","Steelhead_Prolonged",6,"Low"
"113","GLEN","Steelhead","Smolts","Steelhead_Smolts",6,"High"
"114","F319","Steelhead","Smolts","Steelhead_Smolts",6,"High"
"115","GLEN","Typha","Adult","Typha_Adult",6,"Partial"
"116","F319","Typha","Adult","Typha_Adult",6,"Partial"
"117","GLEN","Typha","Seedling","Typha_Seedling",6,"Partial"
"118","F319","Typha","Seedling","Typha_Seedling",6,"Low"
"119","GLEN","Willow","Germination","Willow_Germination",6,"Low"
"120","F319","Willow","Germination","Willow_Germination",6,"Low"
"121","GLEN","Cladophora","Adult","Cladophora_Adult",7,"Low"
"122","F319","Cladophora","Adult","Cladophora_Adult",7,"Low"
"123","GLEN","SAS","Adult","SAS_Adult",7,"Partial"
"124","F319","SAS","Adult","SAS_Adult",7,"Partial"
"125","GLEN","SAS","fry","SAS_fry",7,"Low"
"126","F319","SAS","fry","SAS_fry",7,"Low"
"127","GLEN","SAS","juvenile","SAS_juvenile",7,"High"
"128","F319","SAS","juvenile","SAS_juvenile",7,"High"
"129","GLEN","Steelhead","Migration","Steelhead_Migration",7,"Low"
"130","F319","Steelhead","Migration","Steelhead_Migration",7,"Low"
"131","GLEN","Steelhead","Prolonged","Steelhead_Prolonged",7,"Low"
"132","F319","Steelhead","Prolonged","Steelhead_Prolonged",7,"Low"
"133","GLEN","Steelhead","Smolts","Steelhead_Smolts",7,"High"
"134","F319","Steelhead","Smolts","Steelhead_Smolts",7,"High"
"135","GLEN","Typha","Adult","Typha_Adult",7,"Partial"
"136","F319","Typha","Adult","Typha_Adult",7,"Partial"
"137","GLEN","Typha","Seedling","Typha_Seedling",7,"Partial"
"138","F319","Typha","Seedling","Typha_Seedling",7,"Low"
"139","GLEN","Willow","Germination","Willow_Germination",7,"Low"
"140","F319","Willow","Germination","Willow_Germination",7,"Low"
"141","GLEN","Cladophora","Adult","Cladophora_Adult",8,"Low"
"142","F319","Cladophora","Adult","Cladophora_Adult",8,"Low"
"143","GLEN","SAS","Adult","SAS_Adult",8,"Partial"
"144","F319","SAS","Adult","SAS_Adult",8,"Partial"
"145","GLEN","SAS","fry","SAS_fry",8,"Low"
"146","F319","SAS","fry","SAS_fry",8,"Low"
"147","GLEN","SAS","juvenile","SAS_juvenile",8,"High"
"148","F319","SAS","juvenile","SAS_juvenile",8,"High"
"149","GLEN","Steelhead","Migration","Steelhead_Migration",8,"Low"
"150","F319","Steelhead","Migration","Steelhead_Migration",8,"Low"
"151","GLEN","Steelhead","Prolonged","Steelhead_Prolonged",8,"Low"
"152","F319","Steelhead","Prolonged","Steelhead_Prolonged",8,"Low"
"153","GLEN","Steelhead","Smolts","Steelhead_Smolts",8,"High"
"154","F319","Steelhead","Smolts","Steelhead_Smolts",8,"High"
"155","GLEN","Typha","Adult","Typha_Adult",8,"Partial"
"156","F319","Typha","Adult","Typha_Adult",8,"Partial"
"157","GLEN","Typha","Seedling","Typha_Seedling",8,"Partial"
"158","F319","Typha","Seedling","Typha_Seedling",8,"Low"
"159","GLEN","Willow","Germination","Willow_Germination",8,"Low"
"160","F319","Willow","Germination","Willow_Germination",8,"Low"
"161","GLEN","Cladophora","Adult","Cladophora_Adult",9,"Low"
"162","F319","Cladophora","Adult","Cladophora_Adult",9,"Low"
"163","GLEN","SAS","Adult","SAS_Adult",9,"Partial"
"164","F319","SAS","Adult","SAS_Adult",9,"Partial"
"165","GLEN","SAS","fry","SAS_fry",9,"Low"
"166","F319","SAS","fry","SAS_fry",9,"Low"
"167","GLEN","SAS","juvenile","SAS_juvenile",9,"High"
"168","F319","SAS","juvenile","SAS_juvenile",9,"High"
"169","GLEN","Steelhead","Migration","Steelhead_Migration",9,"Low"
"170","F319","Steelhead","Migration","Steelhead_Migration",9,"Low"
"171","GLEN","Steelhead","Prolonged","Steelhead_Prolonged",9,"Low"
"172","F319","Steelhead","Prolonged","Steelhead_Prolonged",9,"Low"
"173","GLEN","Steelhead","Smolts","Steelhead_Smolts",9,"High"
"174","F319","Steelhead","Smolts","Steelhead_Smolts",9,"High"
"175","GLEN","Typha","Adult","Typha_Adult",9,"Partial"
"176","F319","Typha","Adult","Typha_Adult",9,"Partial"
"177","GLEN","Typha","Seedling","Typha_Seedling",9,"Partial"
"178","F319","Typha","Seedling","Typha_Seedling",9,"Low"
"179","GLEN","Willow","Germination","Willow_Germination",9,"Low"
"180","F319","Willow","Germination","Willow_Germination",9,"Low"
"181","GLEN","Cladophora","Adult","Cladophora_Adult",10,"Low"
"182","F319","Cladophora","Adult","Cladophora_Adult",10,"Low"
"183","GLEN","SAS","Adult","SAS_Adult",10,"Partial"
"184","F319","SAS","Adult","SAS_Adult",10,"High"
"185","GLEN","SAS","fry","SAS_fry",10,"Low"
"186","F319","SAS","fry","SAS_fry",10,"Low"
"187","GLEN","SAS","juvenile","SAS_juvenile",10,"High"
"188","F319","SAS","juvenile","SAS_juvenile",10,"High"
"189","GLEN","Steelhead","Migration","Steelhead_Migration",10,"Low"
"190","F319","Steelhead","Migration","Steelhead_Migration",10,"Low"
"191","GLEN","Steelhead","Prolonged","Steelhead_Prolonged",10,"Low"
"192","F319","Steelhead","Prolonged","Steelhead_Prolonged",10,"Low"
"193","GLEN","Steelhead","Smolts","Steelhead_Smolts",10,"High"
"194","F319","Steelhead","Smolts","Steelhead_Smolts",10,"High"
"195","GLEN","Typha","Adult","Typha_Adult",10,"Partial"
"196","F319","Typha","Adult","Typha_Adult",10,"Partial"
"197","GLEN","Typha","Seedling","Typha_Seedling",10,"Partial"
"198","F319","Typha","Seedling","Typha_Seedling",10,"Low"
"199","GLEN","Willow","Germination","Willow_Germination",10,"Low"
"200","F319","Willow","Germination","Willow_Germination",10,"Low"
"201","GLEN","Cladophora","Adult","Cladophora_Adult",11,"Low"
"202","F319","Cladophora","Adult","Cladophora_Adult",11,"Low"
"203","GLEN","SAS","Adult","SAS_Adult",11,"Partial"
"204","F319","SAS","Adult","SAS_Adult",11,"Partial"
"205","GLEN","SAS","fry","SAS_fry",11,"Low"
"206","F319","SAS","fry","SAS_fry",11,"Low"
"207","GLEN","SAS","juvenile","SAS_juvenile",11,"High"
"208","F319","SAS","juvenile","SAS_juvenile",11,"High"
"209","GLEN","Steelhead","Migration","Steelhead_Migration",11,"Low"
"210","F319","Steelhead","Migration","Steelhead_Migration",11,"Low"
"211","GLEN","Steelhead","Prolonged","Steelhead_Prolonged",11,"Low"
"212","F319","Steelhead","Prolonged","Steelhead_Prolonged",11,"Low"
"213","GLEN","Steelhead","Smolts","Steelhead_Smolts",11,"High"
"214","F319","Steelhead","Smolts","Steelhead_Smolts",11,"High"
"215","GLEN","Typha","Adult","Typha_Adult",11,"Partial"
"216","F319","Typha","Adult","Typha_Adult",11,"Partial"
"217","GLEN","Typha","Seedling","Typha_Seedling",11,"Partial"
"218","F319","Typha","Seedling","Typha_Seedling",11,"Low"
"219","GLEN","Willow","Germination","Willow_Germination",11,"Low"
"220","F319","Willow","Germination","Willow_Germination",11,"Low"
"221","GLEN","Cladophora","Adult","Cladophora_Adult",12,"Low"
"222","F319","Cladophora","Adult","Cladophora_Adult",12,"Low"
"223","GLEN","SAS","Adult","SAS_Adult",12,"Partial"
"224","F319","SAS","Adult","SAS_Adult",12,"Partial"
"225","GLEN","SAS","fry","SAS_fry",12,"Low"
"226","F319","SAS","fry","SAS_fry",12,"Low"
"227","GLEN","SAS","juvenile","SAS_juvenile",12,"High"
"228","F319","SAS","juvenile","SAS_juvenile",12,"High"
"229","GLEN","Steelhead","Migration","Steelhead_Migration",12,"Low"
"230","F319","Steelhead","Migration","Steelhead_Migration",12,"Low"
"231","GLEN","Steelhead","Prolonged","Steelhead_Prolonged",12,"Low"
"232","F319","Steelhead","Prolonged","Steelhead_Prolonged",12,"Low"
"233","GLEN","Steelhead","Smolts","Steelhead_Smolts",12,"High"
"234","F319","Steelhead","Smolts","Steelhead_Smolts",12,"High"
"235","GLEN","Typha","Adult","Typha_Adult",12,"Partial"
"236","F319","Typha","Adult","Typha_Adult",12,"Partial"
"237","GLEN","Typha","Seedling","Typha_Seedling",12,"Partial"
"238","F319","Typha","Seedling","Typha_Seedling",12,"Low"
"239","GLEN","Willow","Germination","Willow_Germination",12,"Low"
"240","F319","Willow","Germination","Willow_Germination",12,"Low"
"241","GLEN","Cladophora","Adult","Cladophora_Adult",13,"Low"
"242","F319","Cladophora","Adult","Cladophora_Adult",13,"Low"
"243","GLEN","SAS","Adult","SAS_Adult",13,"Partial"
"244","F319","SAS","Adult","SAS_Adult",13,"Partial"
"245","GLEN","SAS","fry","SAS_fry",13,"Low"
"246","F319","SAS","fry","SAS_fry",13,"Low"
"247","GLEN","SAS","juvenile","SAS_juvenile",13,"High"
"248","F319","SAS","juvenile","SAS_juvenile",13,"High"
"249","GLEN","Steelhead","Migration","Steelhead_Migration",13,"Low"
"250","F319","Steelhead","Migration","Steelhead_Migration",13,"Low"
"251","GLEN","Steelhead","Prolonged","Steelhead_Prolonged",13,"Low"
"252","F319","Steelhead","Prolonged","Steelhead_Prolonged",13,"Low"
"253","GLEN","Steelhead","Smolts","Steelhead_Smolts",13,"High"
"254","F319","Steelhead","Smolts","Steelhead_Smolts",13,"High"
"255","GLEN","Typha","Adult","Typha_Adult",13,"Partial"
"256","F319","Typha","Adult","Typha_Adult",13,"Partial"
"257","GLEN","Typha","Seedling","Typha_Seedling",13,"Partial"
"258","F319","Typha","Seedling","Typha_Seedling",13,"Low"
"259","GLEN","Willow","Germination","Willow_Germination",13,"Low"
"260","F319","Willow","Germination","Willow_Germination",13,"Low"
"261","GLEN","Cladophora","Adult","Cladophora_Adult",14,"Low"
"262","F319","Cladophora","Adult","Cladophora_Adult",14,"Low"
"263","GLEN","SAS","Adult","SAS_Adult",14,"Partial"
"264","F319","SAS","Adult","SAS_Adult",14,"Partial"
"265","GLEN","SAS","fry","SAS_fry",14,"Low"
"266","F319","SAS","fry","SAS_fry",14,"Low"
"267","GLEN","SAS","juvenile","SAS_juvenile",14,"Partial"
"268","F319","SAS","juvenile","SAS_juvenile",14,"High"
"269","GLEN","Steelhead","Migration","Steelhead_Migration",14,"Low"
"270","F319","Steelhead","Migration","Steelhead_Migration",14,"Low"
"271","GLEN","Steelhead","Prolonged","Steelhead_Prolonged",14,"Low"
"272","F319","Steelhead","Prolonged","Steelhead_Prolonged",14,"Low"
"273","GLEN","Steelhead","Smolts","Steelhead_Smolts",14,"High"
"274","F319","Steelhead","Smolts","Steelhead_Smolts",14,"High"
"275","GLEN","Typha","Adult","Typha_Adult",14,"Partial"
"276","F319","Typha","Adult","Typha_Adult",14,"Partial"
"277","GLEN","Typha","Seedling","Typha_Seedling",14,"Partial"
"278","F319","Typha","Seedling","Typha_Seedling",14,"Low"
"279","GLEN","Willow","Germination","Willow_Germination",14,"Low"
"280","F319","Willow","Germination","Willow_Germination",14,"Low"
"281","GLEN","Cladophora","Adult","Cladophora_Adult",15,"Low"
"282","F319","Cladophora","Adult","Cladophora_Adult",15,"Low"
"283","GLEN","SAS","Adult","SAS_Adult",15,"Partial"
"284","F319","SAS","Adult","SAS_Adult",15,"Partial"
"285","GLEN","SAS","fry","SAS_fry",15,"Low"
"286","F319","SAS","fry","SAS_fry",15,"Low"
"287","GLEN","SAS","juvenile","SAS_juvenile",15,"High"
"288","F319","SAS","juvenile","SAS_juvenile",15,"High"
"289","GLEN","Steelhead","Migration","Steelhead_Migration",15,"Low"
"290","F319","Steelhead","Migration","Steelhead_Migration",15,"Low"
"291","GLEN","Steelhead","Prolonged","Steelhead_Prolonged",15,"Low"
"292","F319","Steelhead","Prolonged","Steelhead_Prolonged",15,"Low"
"293","GLEN","Steelhead","Smolts","Steelhead_Smolts",15,"High"
"294","F319","Steelhead","Smolts","Steelhead_Smolts",15,"High"
"295","GLEN","Typha","Adult","Typha_Adult",15,"Partial"
"296","F319","Typha","Adult","Typha_Adult",15,"Partial"
"297","GLEN","Typha","Seedling","Typha_Seedling",15,"Partial"
"298","F319","Typha","Seedling","Typha_Seedling",15,"Low"
"299","GLEN","Willow","Germination","Willow_Germination",15,"Low"
"300","F319","Willow","Germination","Willow_Germination",15,"Low"
"301","GLEN","Cladophora","Adult","Cladophora_Adult",16,"Low"
"302","F319","Cladophora","Adult","Cladophora_Adult",16,"Low"
"303","GLEN","SAS","Adult","SAS_Adult",16,"Partial"
"304","F319","SAS","Adult","SAS_Adult",16,"Partial"
"305","GLEN","SAS","fry","SAS_fry",16,"Low"
"306","F319","SAS","fry","SAS_fry",16,"Low"
"307","GLEN","SAS","juvenile","SAS_juvenile",16,"High"
"308","F319","SAS","juvenile","SAS_juvenile",16,"High"
"309","GLEN","Steelhead","Migration","Steelhead_Migration",16,"Low"
"310","F319","Steelhead","Migration","Steelhead_Migration",16,"Low"
"311","GLEN","Steelhead","Prolonged","Steelhead_Prolonged",16,"Low"
"312","F319","Steelhead","Prolonged","Steelhead_Prolonged",16,"Low"
"313","GLEN","Steelhead","Smolts","Steelhead_Smolts",16,"High"
"314","F319","Steelhead","Smolts","Steelhead_Smolts",16,"High"
"315","GLEN","Typha","Adult","Typha_Adult",16,"Partial"
"316","F319","Typha","Adult","Typha_Adult",16,"Partial"
"317","GLEN","Typha","Seedling","Typha_Seedling",16,"Partial"
"318","F319","Typha","Seedling","Typha_Seedling",16,"Low"
"319","GLEN","Willow","Germination","Willow_Germination",16,"Low"
"320","F319","Willow","Germination","Willow_Germination",16,"Low"
"321","GLEN","Cladophora","Adult","Cladophora_Adult",17,"Low"
"322","F319","Cladophora","Adult","Cladophora_Adult",17,"Low"
"323","GLEN","SAS","Adult","SAS_Adult",17,"Partial"
"324","F319","SAS","Adult","SAS_Adult",17,"Partial"
"325","GLEN","SAS","fry","SAS_fry",17,"Low"
"326","F319","SAS","fry","SAS_fry",17,"Low"
"327","GLEN","SAS","juvenile","SAS_juvenile",17,"High"
"328","F319","SAS","juvenile","SAS_juvenile",17,"High"
"329","GLEN","Steelhead","Migration","Steelhead_Migration",17,"Low"
"330","F319","Steelhead","Migration","Steelhead_Migration",17,"Low"
"331","GLEN","Steelhead","Prolonged","Steelhead_Prolonged",17,"Low"
"332","F319","Steelhead","Prolonged","Steelhead_Prolonged",17,"Low"
"333","GLEN","Steelhead","Smolts","Steelhead_Smolts",17,"High"
"334","F319","Steelhead","Smolts","Steelhead_Smolts",17,"High"
"335","GLEN","Typha","Adult","Typha_Adult",17,"Partial"
"336","F319","Typha","Adult","Typha_Adult",17,"Partial"
"337","GLEN","Typha","Seedling","Typha_Seedling",17,"Partial"
"338","F319","Typha","Seedling","Typha_Seedling",17,"Low"
"339","GLEN","Willow","Germination","Willow_Germination",17,"Low"
"340","F319","Willow","Germination","Willow_Germination",17,"Low"
"341","GLEN","Cladophora","Adult","Cladophora_Adult",18,"Low"
"342","F319","Cladophora","Adult","Cladophora_Adult",18,"Low"
"343","GLEN","SAS","Adult","SAS_Adult",18,"Partial"
"344","F319","SAS","Adult","SAS_Adult",18,"Partial"
"345","GLEN","SAS","fry","SAS_fry",18,"Low"
"346","F319","SAS","fry","SAS_fry",18,"Low"
"347","GLEN","SAS","juvenile","SAS_juvenile",18,"High"
"348","F319","SAS","juvenile","SAS_juvenile",18,"High"
"349","GLEN","Steelhead","Migration","Steelhead_Migration",18,"Low"
"350","F319","Steelhead","Migration","Steelhead_Migration",18,"Low"
"351","GLEN","Steelhead","Prolonged","Steelhead_Prolonged",18,"Low"
"352","F319","Steelhead","Prolonged","Steelhead_Prolonged",18,"Low"
"353","GLEN","Steelhead","Smolts","Steelhead_Smolts",18,"High"
"354","F319","Steelhead","Smolts","Steelhead_Smolts",18,"High"
"355","GLEN","Typha","Adult","Typha_Adult",18,"Partial"
"356","F319","Typha","Adult","Typha_Adult",18,"Partial"
"357","GLEN","Typha","Seedling","Typha_Seedling",18,"Partial"
"358","F319","Typha","Seedling","Typha_Seedling",18,"Low"
"359","GLEN","Willow","Germination","Willow_Germination",18,"Low"
"360","F319","Willow","Germination","Willow_Germination",18,"Low"
"361","GLEN","Cladophora","Adult","Cladophora_Adult",19,"Low"
"362","F319","Cladophora","Adult","Cladophora_Adult",19,"Low"
"363","GLEN","SAS","Adult","SAS_Adult",19,"Partial"
"364","F319","SAS","Adult","SAS_Adult",19,"Partial"
"365","GLEN","SAS","fry","SAS_fry",19,"Low"
"366","F319","SAS","fry","SAS_fry",19,"Low"
"367","GLEN","SAS","juvenile","SAS_juvenile",19,"High"
"368","F319","SAS","juvenile","SAS_juvenile",19,"High"
"369","GLEN","Steelhead","Migration","Steelhead_Migration",19,"Low"
"370","F319","Steelhead","Migration","Steelhead_Migration",19,"Low"
"371","GLEN","Steelhead","Prolonged","Steelhead_Prolonged",19,"Low"
"372","F319","Steelhead","Prolonged","Steelhead_Prolonged",19,"Low"
"373","GLEN","Steelhead","Smolts","Steelhead_Smolts",19,"High"
"374","F319","Steelhead","Smolts","Steelhead_Smolts",19,"High"
"375","GLEN","Typha","Adult","Typha_Adult",19,"Partial"
"376","F319","Typha","Adult","Typha_Adult",19,"Partial"
"377","GLEN","Typha","Seedling","Typha_Seedling",19,"Partial"
"378","F319","Typha","Seedling","Typha_Seedling",19,"Low"
"379","GLEN","Willow","Germination","Willow_Germination",19,"Low"
"380","F319","Willow","Germination","Willow_Germination",19,"Low"
"381","GLEN","Cladophora","Adult","Cladophora_Adult",20,"Low"
"382","F319","Cladophora","Adult","Cladophora_Adult",20,"Low"
"383","GLEN","SAS","Adult","SAS_Adult",20,"Partial"
"384","F319","SAS","Adult","SAS_Adult",20,"Partial"
"385","GLEN","SAS","fry","SAS_fry",20,"Low"
"386","F319","SAS","fry","SAS_fry",20,"Low"
"387","GLEN","SAS","juvenile","SAS_juvenile",20,"Partial"
"388","F319","SAS","juvenile","SAS_juvenile",20,"High"
"389","GLEN","Steelhead","Migration","Steelhead_Migration",20,"Low"
"390","F319","Steelhead","Migration","Steelhead_Migration",20,"Low"
"391","GLEN","Steelhead","Prolonged","Steelhead_Prolonged",20,"Low"
"392","F319","Steelhead","Prolonged","Steelhead_Prolonged",20,"Low"
"393","GLEN","Steelhead","Smolts","Steelhead_Smolts",20,"High"
"394","F319","Steelhead","Smolts","Steelhead_Smolts",20,"High"
"395","GLEN","Typha","Adult","Typha_Adult",20,"Partial"
"396","F319","Typha","Adult","Typha_Adult",20,"Partial"
"397","GLEN","Typha","Seedling","Typha_Seedling",20,"Partial"
"398","F319","Typha","Seedling","Typha_Seedling",20,"Low"
"399","GLEN","Willow","Germination","Willow_Germination",20,"Low"
"400","F319","Willow","Germination","Willow_Germination",20,"Low"
"401","GLEN","Cladophora","Adult","Cladophora_Adult",21,"Low"
"402","F319","Cladophora","Adult","Cladophora_Adult",21,"Low"
"403","GLEN","SAS","Adult","SAS_Adult",21,"Partial"
"404","F319","SAS","Adult","SAS_Adult",21,"Partial"
"405","GLEN","SAS","fry","SAS_fry",21,"Low"
"406","F319","SAS","fry","SAS_fry",21,"Low"
"407","GLEN","SAS","juvenile","SAS_juvenile",21,"High"
"408","F319","SAS","juvenile","SAS_juvenile",21,"High"
"409","GLEN","Steelhead","Migration","Steelhead_Migration",21,"Low"
"410","F319","Steelhead","Migration","Steelhead_Migration",21,"Low"
"411","GLEN","Steelhead","Prolonged","Steelhead_Prolonged",21,"Low"
"412","F319","Steelhead","Prolonged","Steelhead_Prolonged",21,"Low"
"413","GLEN","Steelhead","Smolts","Steelhead_Smolts",21,"High"
"414","F319","Steelhead","Smolts","Steelhead_Smolts",21,"High"
"415","GLEN","Typha","Adult","Typha_Adult",21,"Partial"
"416","F319","Typha","Adult","Typha_Adult",21,"Partial"
"417","GLEN","Typha","Seedling","Typha_Seedling",21,"Partial"
"418","F319","Typha","Seedling","Typha_Seedling",21,"Low"
"419","GLEN","Willow","Germination","Willow_Germination",21,"Low"
"420","F319","Willow","Germination","Willow_Germination",21,"Low"
"421","GLEN","Cladophora","Adult","Cladophora_Adult",22,"Low"
"422","F319","Cladophora","Adult","Cladophora_Adult",22,"Low"
"423","GLEN","SAS","Adult","SAS_Adult",22,"Partial"
"424","F319","SAS","Adult","SAS_Adult",22,"Partial"
"425","GLEN","SAS","fry","SAS_fry",22,"Low"
"426","F319","SAS","fry","SAS_fry",22,"Low"
"427","GLEN","SAS","juvenile","SAS_juvenile",22,"High"
"428","F319","SAS","juvenile","SAS_juvenile",22,"High"
"429","GLEN","Steelhead","Migration","Steelhead_Migration",22,"Low"
