"","Location","Section","Date","Species","Count","length_mm","Depth_cm","site_code"
"27","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,100,40,"Middle Channel to Riverside Drive_4_"
"28","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,100,80,"Middle Channel to Riverside Drive_4_"
"29","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,120,54,"Middle Channel to Riverside Drive_4_"
"30","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,100,38,"Middle Channel to Riverside Drive_4_"
"31","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,110,38,"Middle Channel to Riverside Drive_4_"
"32","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,120,72,"Middle Channel to Riverside Drive_4_"
"33","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",2,100,80,"Middle Channel to Riverside Drive_4_"
"34","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,110,84,"Middle Channel to Riverside Drive_4_"
"35","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,130,34,"Middle Channel to Riverside Drive_4_"
"36","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,100,53,"Middle Channel to Riverside Drive_4_"
"37","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",3,110,70,"Middle Channel to Riverside Drive_4_"
"38","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",2,100,42,"Middle Channel to Riverside Drive_4_"
"39","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,100,45,"Middle Channel to Riverside Drive_4_"
"40","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",2,110,40,"Middle Channel to Riverside Drive_4_"
"41","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",3,110,45,"Middle Channel to Riverside Drive_4_"
"42","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,130,45,"Middle Channel to Riverside Drive_4_"
"43","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,110,48,"Middle Channel to Riverside Drive_4_"
"44","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,150,38,"Middle Channel to Riverside Drive_4_"
"45","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,110,38,"Middle Channel to Riverside Drive_4_"
"46","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,100,36,"Middle Channel to Riverside Drive_4_"
"47","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",4,100,48,"Middle Channel to Riverside Drive_4_"
