"","Location","Section","Starting.Latitude","Starting.Longitude","Ending.Latitude","Ending.Longitude","Date","Species","Count","Depth_cm","coord_code_s","site_code"
"99","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",5,37,"34.03493_-117.35665","Crossover Channel_4"
"100","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",3,38,"34.03493_-117.35665","Crossover Channel_4"
"101","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",5,38,"34.03493_-117.35665","Crossover Channel_4"
"102","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",5,31,"34.03493_-117.35665","Crossover Channel_4"
"103","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",2,31,"34.03493_-117.35665","Crossover Channel_4"
"104","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",3,31,"34.03493_-117.35665","Crossover Channel_4"
"107","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",5,28,"34.03493_-117.35665","Crossover Channel_4"
"108","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",5,28,"34.03493_-117.35665","Crossover Channel_4"
"111","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",3,32,"34.03493_-117.35665","Crossover Channel_4"
"116","RIX to Crossover Channel",3,34.03662,-117.35625,34.03776,-117.35596,"9/21/2016","Santa Ana Sucker",5,14,"34.03662_-117.35625","RIX to Crossover Channel_3"
"117","RIX to Crossover Channel",3,34.03662,-117.35625,34.03776,-117.35596,"9/21/2016","Santa Ana Sucker",5,14,"34.03662_-117.35625","RIX to Crossover Channel_3"
"121","RIX to Crossover Channel",3,34.03662,-117.35625,34.03776,-117.35596,"9/21/2016","Santa Ana Sucker",5,52,"34.03662_-117.35625","RIX to Crossover Channel_3"
"122","RIX to Crossover Channel",3,34.03662,-117.35625,34.03776,-117.35596,"9/21/2016","Santa Ana Sucker",5,52,"34.03662_-117.35625","RIX to Crossover Channel_3"
"131","RIX to Crossover Channel",3,34.03662,-117.35625,34.03776,-117.35596,"9/21/2016","Santa Ana Sucker",2,74,"34.03662_-117.35625","RIX to Crossover Channel_3"
"132","RIX to Crossover Channel",3,34.03662,-117.35625,34.03776,-117.35596,"9/21/2016","Santa Ana Sucker",3,74,"34.03662_-117.35625","RIX to Crossover Channel_3"
"133","RIX to Crossover Channel",3,34.03662,-117.35625,34.03776,-117.35596,"9/21/2016","Santa Ana Sucker",5,74,"34.03662_-117.35625","RIX to Crossover Channel_3"
"136","RIX to Crossover Channel",3,34.03662,-117.35625,34.03776,-117.35596,"9/21/2016","Santa Ana Sucker",3,44,"34.03662_-117.35625","RIX to Crossover Channel_3"
"137","RIX to Crossover Channel",3,34.03662,-117.35625,34.03776,-117.35596,"9/21/2016","Santa Ana Sucker",3,44,"34.03662_-117.35625","RIX to Crossover Channel_3"
"140","RIX to Crossover Channel",3,34.03662,-117.35625,34.03776,-117.35596,"9/21/2016","Santa Ana Sucker",3,67,"34.03662_-117.35625","RIX to Crossover Channel_3"
"141","RIX to Crossover Channel",3,34.03662,-117.35625,34.03776,-117.35596,"9/21/2016","Santa Ana Sucker",3,67,"34.03662_-117.35625","RIX to Crossover Channel_3"
"142","RIX to Crossover Channel",3,34.03662,-117.35625,34.03776,-117.35596,"9/21/2016","Santa Ana Sucker",4,49,"34.03662_-117.35625","RIX to Crossover Channel_3"
"144","RIX to Crossover Channel",3,34.03662,-117.35625,34.03776,-117.35596,"9/21/2016","Santa Ana Sucker",5,36,"34.03662_-117.35625","RIX to Crossover Channel_3"
