"","Location","Section","Date","Species","Count","length_mm","Velocity_at_fish_ms","Velocity_0.6_ms","Velocity_0.2_ms","Velocity_0.8_ms","site_code"
"23","Middle Channel to Riverside Drive",4,"9/23/2017","Santa Ana Sucker",1,130,0.88,1.15,NA,NA,"Middle Channel to Riverside Drive_4_"
"24","Middle Channel to Riverside Drive",4,"9/23/2017","Santa Ana Sucker",1,100,0.32,0.57,NA,NA,"Middle Channel to Riverside Drive_4_"
"25","Middle Channel to Riverside Drive",4,"9/23/2017","Santa Ana Sucker",1,120,0.12,0.67,NA,NA,"Middle Channel to Riverside Drive_4_"
"26","Middle Channel to Riverside Drive",4,"9/23/2017","Santa Ana Sucker",1,100,0.32,0.87,NA,NA,"Middle Channel to Riverside Drive_4_"
"27","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,100,0.52,0.7,NA,NA,"Middle Channel to Riverside Drive_4_"
"28","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,100,0.21,NA,0.46,0.8,"Middle Channel to Riverside Drive_4_"
"29","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,120,0.34,0.66,NA,NA,"Middle Channel to Riverside Drive_4_"
"30","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,100,0.3,0.85,NA,NA,"Middle Channel to Riverside Drive_4_"
"31","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,110,0.3,0.85,NA,NA,"Middle Channel to Riverside Drive_4_"
"32","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,120,0.52,0.9,NA,NA,"Middle Channel to Riverside Drive_4_"
"33","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",2,100,0.34,NA,1.14,0.49,"Middle Channel to Riverside Drive_4_"
"34","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,110,0.42,NA,0.93,0.42,"Middle Channel to Riverside Drive_4_"
"35","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,130,0.39,0.43,NA,NA,"Middle Channel to Riverside Drive_4_"
"36","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,100,0.44,1.16,NA,NA,"Middle Channel to Riverside Drive_4_"
"37","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",3,110,0.16,1.04,NA,NA,"Middle Channel to Riverside Drive_4_"
"38","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",2,100,0.6,0.83,NA,NA,"Middle Channel to Riverside Drive_4_"
"39","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,100,0.42,1.12,NA,NA,"Middle Channel to Riverside Drive_4_"
"40","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",2,110,0.73,1.08,NA,NA,"Middle Channel to Riverside Drive_4_"
"41","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",3,110,0.41,0.88,NA,NA,"Middle Channel to Riverside Drive_4_"
"42","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,130,0.41,0.88,NA,NA,"Middle Channel to Riverside Drive_4_"
"43","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,110,0.51,0.96,NA,NA,"Middle Channel to Riverside Drive_4_"
"44","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,150,0.52,1.08,NA,NA,"Middle Channel to Riverside Drive_4_"
"45","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,110,0.52,1.08,NA,NA,"Middle Channel to Riverside Drive_4_"
"46","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,100,0.25,0.94,NA,NA,"Middle Channel to Riverside Drive_4_"
"47","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",4,100,0.38,0.89,NA,NA,"Middle Channel to Riverside Drive_4_"
