"","Location","Section","Date","Species","Count","length_mm","Dominant.Substrate","site_code"
"21","Middle Channel to Riverside Drive",4,"9/23/2017","Santa Ana Sucker",1,110,"GV","Middle Channel to Riverside Drive_4_"
"22","Middle Channel to Riverside Drive",4,"9/23/2017","Santa Ana Sucker",1,140,"GV","Middle Channel to Riverside Drive_4_"
"23","Middle Channel to Riverside Drive",4,"9/23/2017","Santa Ana Sucker",1,130,"GV","Middle Channel to Riverside Drive_4_"
"24","Middle Channel to Riverside Drive",4,"9/23/2017","Santa Ana Sucker",1,100,"GV","Middle Channel to Riverside Drive_4_"
"25","Middle Channel to Riverside Drive",4,"9/23/2017","Santa Ana Sucker",1,120,"GV","Middle Channel to Riverside Drive_4_"
"26","Middle Channel to Riverside Drive",4,"9/23/2017","Santa Ana Sucker",1,100,"GV","Middle Channel to Riverside Drive_4_"
"27","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,100,"GV","Middle Channel to Riverside Drive_4_"
"28","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,100,"GV","Middle Channel to Riverside Drive_4_"
"29","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,120,"CO","Middle Channel to Riverside Drive_4_"
"30","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,100,"GV","Middle Channel to Riverside Drive_4_"
"31","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,110,"GV","Middle Channel to Riverside Drive_4_"
"32","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,120,"GV","Middle Channel to Riverside Drive_4_"
"33","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",2,100,"GV","Middle Channel to Riverside Drive_4_"
"34","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,110,"GV","Middle Channel to Riverside Drive_4_"
"35","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,130,"GV","Middle Channel to Riverside Drive_4_"
"36","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,100,"GV","Middle Channel to Riverside Drive_4_"
"37","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",3,110,"GV","Middle Channel to Riverside Drive_4_"
"38","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",2,100,"GV","Middle Channel to Riverside Drive_4_"
"39","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,100,"CO","Middle Channel to Riverside Drive_4_"
"40","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",2,110,"GV","Middle Channel to Riverside Drive_4_"
"41","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",3,110,"GV","Middle Channel to Riverside Drive_4_"
"42","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,130,"GV","Middle Channel to Riverside Drive_4_"
"43","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,110,"GV","Middle Channel to Riverside Drive_4_"
"44","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,150,"GV","Middle Channel to Riverside Drive_4_"
"45","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,110,"GV","Middle Channel to Riverside Drive_4_"
"46","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",1,100,"GV","Middle Channel to Riverside Drive_4_"
"47","Middle Channel to Riverside Drive",4,"9/24/2017","Santa Ana Sucker",4,100,"GV","Middle Channel to Riverside Drive_4_"
