"","site","date","sitename","lat","lon","substrate_score"
"25","412WE0552","8/2/2018 12:00:00 AM","Arroyo Seco","34.23908","-118.1806",25
"26","412WE0552","7/23/2019 12:00:00 AM","Arroyo Seco","34.23908","-118.1806",26
"27","412WE0896","9/2/2015 12:00:00 AM","Big Tujunga Creek","34.28771","-118.23008",14
"28","LALT500","6/22/2009 12:00:00 AM","Rio Hondo","33.936426","-118.171474",0
"29","LALT500","7/15/2010 12:00:00 AM","Rio Hondo","33.936426","-118.171474",0
"30","LALT500","6/27/2011 12:00:00 AM","Rio Hondo","33.93555","-118.172",0
"31","LALT500","6/22/2012 12:00:00 AM","Rio Hondo","33.93555","-118.172",0
"32","LALT500","6/20/2013 12:00:00 AM","Rio Hondo","33.93555","-118.172",0
"33","LALT500","7/1/2015 12:00:00 AM","Rio Hondo","33.93555","-118.172",0
"34","LALT500","7/3/2018 12:00:00 AM","Rio Hondo","33.93555","-118.172",0
"35","LALT501","6/22/2009 12:00:00 AM","Arroyo Seco","34.08056","-118.22491",0
"36","LALT501","7/15/2010 12:00:00 AM","Arroyo Seco","34.08056","-118.22491",0
"37","LALT501","6/27/2011 12:00:00 AM","Arroyo Seco","34.08056","-118.22491",0
"38","LALT501","6/21/2012 12:00:00 AM","Arroyo Seco","34.08056","-118.22491",1
"39","LALT501","6/19/2013 12:00:00 AM","Arroyo Seco","34.08056","-118.22491",0
"40","LALT501","7/1/2015 12:00:00 AM","Arroyo Seco","34.08056","-118.22491",0
"41","LALT501","7/3/2018 12:00:00 AM","Arroyo Seco","34.08056","-118.22491",0
"42","LALT502","6/22/2009 12:00:00 AM","LAR","33.845293","-118.207841",18
"43","LALT502","7/15/2010 12:00:00 AM","LAR","33.845293","-118.207841",20
"44","LALT502","6/27/2011 12:00:00 AM","LAR","33.845293","-118.207841",13
"45","LALT502","6/22/2012 12:00:00 AM","LAR","33.845293","-118.207841",18
"46","LALT502","6/20/2013 12:00:00 AM","LAR","33.845293","-118.207841",16
"47","LALT502","6/27/2018 12:00:00 AM","LAR","33.84622","-118.20922",18
"48","LALT503","7/15/2010 12:00:00 AM","Tujunga Wash","34.14691","-118.38932",0
"49","LALT503","6/27/2011 12:00:00 AM","Tujunga Wash","34.14691","-118.38932",0
"50","LALT503","6/21/2012 12:00:00 AM","Tujunga Wash","34.14691","-118.38932",0
"51","LALT503","6/19/2013 12:00:00 AM","Tujunga Wash","34.14691","-118.38932",0
"52","LALT503","6/30/2015 12:00:00 AM","Tujunga Wash","34.14691","-118.38932",0
"53","LALT503","6/20/2018 12:00:00 AM","Tujunga Wash","34.14691","-118.38932",0
"54","SMC00318","6/15/2010 12:00:00 AM","LAR","33.812879","-118.205589",1
"55","SMC00318","8/7/2019 12:00:00 AM","LAR","33.812879","-118.205589",0
"56","SMC00436","5/26/2009 12:00:00 AM","LAR","34.149","-118.278637",0
"57","SMC00436","5/31/2017 12:00:00 AM","LAR","34.149","-118.278637",0
"58","SMC00520","5/19/2009 12:00:00 AM","Big Tujunga Creek","34.296261","-118.282527",27
"59","SMC00520","8/5/2011 12:00:00 AM","Big Tujunga Creek","34.296261","-118.282527",26
"60","SMC00520","6/12/2012 12:00:00 AM","Big Tujunga Creek","34.296261","-118.282527",27
"61","SMC00520","8/26/2015 12:00:00 AM","Big Tujunga Creek","34.296261","-118.282527",22
"62","SMC00520","6/14/2016 12:00:00 AM","Big Tujunga Creek","34.296261","-118.282527",19
"63","SMC00520","4/25/2017 12:00:00 AM","Big Tujunga Creek","34.296261","-118.282527",21
"64","SMC00684","6/27/2011 12:00:00 AM","Rio Hondo","34.096982","-118.023739",0
"65","SMC00830","6/21/2011 12:00:00 AM","Rio Hondo","33.943059","-118.166062",0
"66","SMC00924","6/9/2009 12:00:00 AM","Arroyo Seco","34.223949","-118.18053",26
"67","SMC00924","6/20/2011 12:00:00 AM","Arroyo Seco","34.223949","-118.18053",26
"68","SMC00924","6/12/2012 12:00:00 AM","Arroyo Seco","34.223949","-118.18053",27
"69","SMC00924","6/8/2016 12:00:00 AM","Arroyo Seco","34.223949","-118.18053",31
"70","SMC00924","5/24/2017 12:00:00 AM","Arroyo Seco","34.223949","-118.18053",26
"71","SMC01004","5/26/2009 12:00:00 AM","Arroyo Seco","34.150162","-118.165792",1
"72","SMC01004","7/15/2019 12:00:00 AM","Arroyo Seco","34.150162","-118.165792",1
"73","SMC01040","6/9/2009 12:00:00 AM","Big Tujunga Creek","34.305531","-118.157923",19
"74","SMC01096","6/7/2010 12:00:00 AM","Big Tujunga Creek","34.284652","-118.293438",32
"75","SMC01096","6/14/2016 12:00:00 AM","Big Tujunga Creek","34.284652","-118.293438",19
"76","SMC01196","7/14/2010 12:00:00 AM","Big Tujunga Creek","34.278355","-118.029523",32
"77","SMC01208","6/8/2010 12:00:00 AM","LAR","34.190155","-118.536509",8
"78","SMC01320","6/7/2010 12:00:00 AM","Big Tujunga Creek","34.298564","-118.250823",32
"79","SMC01544","7/14/2010 12:00:00 AM","Big Tujunga Creek","34.29729","-118.248435",31
"80","SMC01544","6/14/2016 12:00:00 AM","Big Tujunga Creek","34.29729","-118.248435",13
"81","SMC01692","6/20/2011 12:00:00 AM","Arroyo Seco","34.197986","-118.169726",26
"82","SMC01716","6/8/2010 12:00:00 AM","Bull Creeek","34.207308","-118.497275",0
"83","SMC01972","6/7/2010 12:00:00 AM","Bull Creeek","34.240183","-118.495643",0
"84","SMC02028","7/12/2012 12:00:00 AM","Arroyo Seco","34.128683","-118.165539",1
"85","SMC02088","6/14/2011 12:00:00 AM","Big Tujunga Creek","34.128683","-118.165539",24
"86","SMC02088","6/18/2018 12:00:00 AM","Big Tujunga Creek","34.302261","-118.259597",18
"87","SMC02092","6/14/2011 12:00:00 AM","Big Tujunga Creek","34.279482","-118.206846",26
"88","SMC02092","6/18/2018 12:00:00 AM","Big Tujunga Creek","34.279482","-118.206846",25
"89","SMC02228","6/23/2009 12:00:00 AM","LAR","34.069337","-118.224279",0
"90","SMC02484","6/5/2013 12:00:00 AM","Tujunga Wash","34.145104","-118.367645",0
"91","SMC02568","6/12/2012 12:00:00 AM","Big Tujunga Creek","34.278661","-118.220314",25
"92","SMC02568","8/2/2018 12:00:00 AM","Big Tujunga Creek","34.278661","-118.220314",20
"93","SMC02622","6/15/2010 12:00:00 AM","LAR","33.897385","-118.186161",0
"94","SMC02804","6/20/2011 12:00:00 AM","LAR","34.145341","-118.408663",1
"95","SMC03646","6/5/2013 12:00:00 AM","LAR","33.9784","-118.169105",0
"96","SMC04532","7/11/2012 12:00:00 AM","LAR","34.155954","-118.287714",7
"97","SMC04880","6/6/2012 12:00:00 AM","Big Tujunga Creek","34.308848","-118.09829",25
"98","SMC05020","7/15/2013 12:00:00 AM","Arroyo Seco","34.232029","-118.176577",28
"99","SMC05640","6/17/2013 12:00:00 AM","Big Tujunga Creek","34.282339","-118.222031",19
"100","SMC06044","6/17/2013 12:00:00 AM","Arroyo Seco","34.21452","-118.174132",21
