"","Depth","Abundance","Dataset"
"83",40,5,"Wulff"
"84",40,5,"Wulff"
"85",37,6,"Wulff"
"86",37,4,"Wulff"
"87",35,2,"Wulff"
"88",34,4,"Wulff"
"89",36,10,"Wulff"
"90",40,10,"Wulff"
"91",35,3,"Wulff"
"92",35,2,"Wulff"
"93",73,5,"Wulff"
"94",73,5,"Wulff"
"95",90,10,"Wulff"
"96",120,10,"Wulff"
"97",50,5,"Wulff"
"98",58,3,"Wulff"
"99",56,1,"Wulff"
"100",56,7,"Wulff"
"101",32,1,"Wulff"
"102",47,2,"Wulff"
"103",48,2,"Wulff"
"104",48,3,"Wulff"
"105",47,5,"Wulff"
"106",47,5,"Wulff"
"107",44,5,"Wulff"
"108",44,5,"Wulff"
"109",45,5,"Wulff"
"110",48,2,"Wulff"
"111",48,3,"Wulff"
"112",50,5,"Wulff"
"113",50,5,"Wulff"
"114",34,5,"Wulff"
"115",34,5,"Wulff"
"116",30,5,"Wulff"
"117",30,5,"Wulff"
"118",39,5,"Wulff"
"119",39,5,"Wulff"
"120",35,1,"Wulff"
"121",44,5,"Wulff"
"122",44,5,"Wulff"
"123",46,10,"Wulff"
"124",46,10,"Wulff"
"125",48,10,"Wulff"
"126",48,10,"Wulff"
"127",46,5,"Wulff"
"128",46,5,"Wulff"
"129",50,5,"Wulff"
"130",50,5,"Wulff"
"131",50,10,"Wulff"
"132",50,5,"Wulff"
"133",50,5,"Wulff"
"134",42,5,"Wulff"
"135",42,5,"Wulff"
"136",42,5,"Wulff"
"137",18,96,"Thompson"
"138",26,71,"Thompson"
"139",19,221,"Thompson"
"140",27,121,"Thompson"
"141",26,1,"Thompson"
"142",28,1,"Thompson"
"143",15,116,"Thompson"
"144",10,102,"Thompson"
"145",13,0,"Thompson"
"146",33,110,"Thompson"
"147",31,0,"Thompson"
"148",18,0,"Thompson"
"149",23,226,"Thompson"
"150",10,22,"Thompson"
"151",13,42,"Thompson"
"152",4,1,"Saiki"
"153",9,2,"Saiki"
"154",10,2,"Saiki"
"155",11,1,"Saiki"
"156",12,1,"Saiki"
"157",13,4,"Saiki"
"158",14,8,"Saiki"
"159",15,10,"Saiki"
"160",16,3,"Saiki"
"161",17,10,"Saiki"
"162",18,12,"Saiki"
"163",19,8,"Saiki"
"164",20,12,"Saiki"
"165",21,12,"Saiki"
"166",22,11,"Saiki"
"167",23,8,"Saiki"
"168",24,6,"Saiki"
"169",25,5,"Saiki"
"170",26,9,"Saiki"
"171",27,9,"Saiki"
"172",28,16,"Saiki"
"173",29,10,"Saiki"
"174",30,23,"Saiki"
"175",31,10,"Saiki"
"176",32,7,"Saiki"
"177",33,3,"Saiki"
"178",34,3,"Saiki"
"179",35,9,"Saiki"
"180",36,10,"Saiki"
"181",37,7,"Saiki"
"182",38,8,"Saiki"
"183",39,9,"Saiki"
"184",40,8,"Saiki"
"185",41,8,"Saiki"
"186",42,6,"Saiki"
"187",43,1,"Saiki"
"188",44,4,"Saiki"
"189",45,7,"Saiki"
"190",46,3,"Saiki"
"191",47,3,"Saiki"
"192",48,4,"Saiki"
"193",49,7,"Saiki"
"194",50,2,"Saiki"
"195",51,3,"Saiki"
"196",52,1,"Saiki"
"197",53,3,"Saiki"
"198",54,2,"Saiki"
"199",55,4,"Saiki"
"200",56,4,"Saiki"
"201",58,1,"Saiki"
"202",60,2,"Saiki"
"203",62,1,"Saiki"
"204",63,1,"Saiki"
"205",67,1,"Saiki"
"206",68,2,"Saiki"
"207",69,1,"Saiki"
"208",70,1,"Saiki"
"209",75,2,"Saiki"
"210",80,1,"Saiki"
"211",81,2,"Saiki"
"212",83,1,"Saiki"
"213",86,1,"Saiki"
"214",87,1,"Saiki"
"215",91,1,"Saiki"
"216",120,1,"Saiki"
"1100",16,1,"SAWA"
"310",35,11,"SAWA"
"410",32,71,"SAWA"
"510",37,59,"SAWA"
"610",70,111,"SAWA"
"710",23,9,"SAWA"
"810",25,15,"SAWA"
"910",41,19,"SAWA"
"1110",27,2,"SAWA"
"331",49,1,"SAWA"
"381",24,2,"SAWA"
