"","Location","Section","Starting.Latitude","Starting.Longitude","Ending.Latitude","Ending.Longitude","Date","Species","Count","Velocity_at_fish_ms","Velocity_0.6_ms","Velocity_0.2_ms","Velocity_0.8_ms","coord_code_s","site_code"
"55","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",5,0.71,1.29,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"56","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",1,0.07,0.82,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"59","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",5,0.3,0.56,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"63","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",5,0.5,0.75,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"66","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",1,0.82,1.31,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"68","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",5,0.49,0.65,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"69","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",5,0.49,0.65,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"70","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",5,0.49,0.96,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"71","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/20/2016","Santa Ana Sucker",5,0.49,0.96,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"76","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",1,0.08,0.33,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"77","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",2,0.08,0.33,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"78","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",5,0.08,0.33,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"84","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",10,0.35,0.52,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"89","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",5,0.19,0.48,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"90","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",5,0.19,0.48,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"92","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",3,0.25,0.36,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"93","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",5,0.18,0.36,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"96","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",3,0.25,0.66,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"97","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",2,0.25,0.66,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"98","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",5,0.07,0.4,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"99","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",5,0.07,0.4,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"100","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",3,0.13,0.26,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"101","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",5,0.13,0.26,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"102","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",5,0.25,0.59,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"103","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",2,0.25,0.59,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"104","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",3,0.25,0.59,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"107","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",5,0.38,0.55,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"108","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",5,0.38,0.55,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"111","Crossover Channel",4,34.03493,-117.35665,34.03561,-117.35677,"9/21/2016","Santa Ana Sucker",3,0.17,0.56,NA,NA,"34.03493_-117.35665","Crossover Channel_4"
"116","RIX to Crossover Channel",3,34.03662,-117.35625,34.03776,-117.35596,"9/21/2016","Santa Ana Sucker",5,0.12,0.5,NA,NA,"34.03662_-117.35625","RIX to Crossover Channel_3"
"117","RIX to Crossover Channel",3,34.03662,-117.35625,34.03776,-117.35596,"9/21/2016","Santa Ana Sucker",5,0.12,0.5,NA,NA,"34.03662_-117.35625","RIX to Crossover Channel_3"
"121","RIX to Crossover Channel",3,34.03662,-117.35625,34.03776,-117.35596,"9/21/2016","Santa Ana Sucker",5,0.21,0.62,NA,NA,"34.03662_-117.35625","RIX to Crossover Channel_3"
"122","RIX to Crossover Channel",3,34.03662,-117.35625,34.03776,-117.35596,"9/21/2016","Santa Ana Sucker",5,0.21,0.62,NA,NA,"34.03662_-117.35625","RIX to Crossover Channel_3"
"131","RIX to Crossover Channel",3,34.03662,-117.35625,34.03776,-117.35596,"9/21/2016","Santa Ana Sucker",2,0.03,0.62,NA,NA,"34.03662_-117.35625","RIX to Crossover Channel_3"
"132","RIX to Crossover Channel",3,34.03662,-117.35625,34.03776,-117.35596,"9/21/2016","Santa Ana Sucker",3,0.03,0.62,NA,NA,"34.03662_-117.35625","RIX to Crossover Channel_3"
"133","RIX to Crossover Channel",3,34.03662,-117.35625,34.03776,-117.35596,"9/21/2016","Santa Ana Sucker",5,0.03,0.62,NA,NA,"34.03662_-117.35625","RIX to Crossover Channel_3"
"136","RIX to Crossover Channel",3,34.03662,-117.35625,34.03776,-117.35596,"9/21/2016","Santa Ana Sucker",3,0.2,0.74,NA,NA,"34.03662_-117.35625","RIX to Crossover Channel_3"
"137","RIX to Crossover Channel",3,34.03662,-117.35625,34.03776,-117.35596,"9/21/2016","Santa Ana Sucker",3,0.2,0.74,NA,NA,"34.03662_-117.35625","RIX to Crossover Channel_3"
"140","RIX to Crossover Channel",3,34.03662,-117.35625,34.03776,-117.35596,"9/21/2016","Santa Ana Sucker",3,0,0.56,NA,NA,"34.03662_-117.35625","RIX to Crossover Channel_3"
"141","RIX to Crossover Channel",3,34.03662,-117.35625,34.03776,-117.35596,"9/21/2016","Santa Ana Sucker",3,0,0.56,NA,NA,"34.03662_-117.35625","RIX to Crossover Channel_3"
"142","RIX to Crossover Channel",3,34.03662,-117.35625,34.03776,-117.35596,"9/21/2016","Santa Ana Sucker",4,0.29,0.84,NA,NA,"34.03662_-117.35625","RIX to Crossover Channel_3"
"144","RIX to Crossover Channel",3,34.03662,-117.35625,34.03776,-117.35596,"9/21/2016","Santa Ana Sucker",5,0.49,0.51,NA,NA,"34.03662_-117.35625","RIX to Crossover Channel_3"
