Velocity,Site,Dataset
0,SGRA,Saiki
0.44,SGRA,Saiki
0.23,SGRA,Saiki
0.36,SGRA,Saiki
0.74,SGRA,Saiki
1.18,SGRA,Saiki
1.02,SGRA,Saiki
0.21,SGRA,Saiki
1.16,SGRA,Saiki
0.53,SGRA,Saiki
0.38,SGRA,Saiki
0.12,SGRA,Saiki
0.07,SGRA,Saiki
0.64,SGRA,Saiki
0.38,SGRA,Saiki
0.18,SGRA,Saiki
0.55,SGRA,Saiki
0.26,SGRA,Saiki
1.24,SGRA,Saiki
1.2,SGRA,Saiki
0.68,SGRA,Saiki
0.67,SGRA,Saiki
0.28,SGRA,Saiki
0,SGRA,Saiki
0.21,SGRA,Saiki
0.04,SGRA,Saiki
0.07,SGRA,Saiki
0.68,SGRA,Saiki
0.12,SGRA,Saiki
0.05,SGRA,Saiki
0.28,SGRA,Saiki
0.11,SGRA,Saiki
0.75,SGRA,Saiki
0.12,SGRA,Saiki
1.06,SGRA,Saiki
0.47,SGRA,Saiki
0.24,SGRA,Saiki
0.19,SGRA,Saiki
0.39,SGRA,Saiki
0.03,SGRA,Saiki
0.15,SGRA,Saiki
0.19,SGRA,Saiki
0.13,SGRA,Saiki
0.38,SGRA,Saiki
0.14,SGRA,Saiki
0.12,SGRA,Saiki
0.13,SGRA,Saiki
0.24,SGRA,Saiki
0.33,SGRA,Saiki
0.11,SGRA,Saiki
0.17,SGRA,Saiki
0.21,SGRA,Saiki
0.06,SGRA,Saiki
0.05,SGRA,Saiki
0.24,SGRA,Saiki
0.38,SGRA,Saiki
0.13,SGRA,Saiki
0,SGRA,Saiki
0.13,SGRA,Saiki
0.12,SGRA,Saiki
0.69,SGRA,Saiki
0.36,SGRA,Saiki
0.12,SGRA,Saiki
0.63,SGRA,Saiki
0.04,SGRA,Saiki
0.05,SGRA,Saiki
0.45,SGRA,Saiki
0.56,SGRA,Saiki
0.16,SGRA,Saiki
0,SGRA,Saiki
0.24,SGRA,Saiki
0,SGRA,Saiki
0.62,SGRA,Saiki
0.63,SGRA,Saiki
0.35,SGRA,Saiki
0.14,SGRA,Saiki
0.07,SGRA,Saiki
0.29,SGRA,Saiki
0.21,SGRA,Saiki
0.05,SGRA,Saiki
0.19,SGRA,Saiki
0.08,SGRA,Saiki
0.16,SGRA,Saiki
0.17,SGRA,Saiki
0.07,SGRA,Saiki
0.12,SGRA,Saiki
0.11,SGRA,Saiki
0.18,SGRA,Saiki
0.4,SGRA,Saiki
0,SGRA,Saiki
0.15,SGRA,Saiki
0.08,SGRA,Saiki
0.18,SGRA,Saiki
0.07,SGRA,Saiki
0.14,SGRA,Saiki
0.19,SGRA,Saiki
0.14,SGRA,Saiki
0.09,SGRA,Saiki
0.21,SGRA,Saiki
0.27,SGRA,Saiki
0.45,SGRA,Saiki
0.25,SGRA,Saiki
0.32,SGRA,Saiki
0.36,SGRA,Saiki
0.36,SGRA,Saiki
0.59,SGRA,Saiki
0.43,SGRA,Saiki
0.45,SGRA,Saiki
0.55,SGRA,Saiki
0.28,SGRA,Saiki
0.35,SGRA,Saiki
0.55,SGRA,Saiki
0.38,SGRA,Saiki
0.34,SGRA,Saiki
0.19,SGRA,Saiki
0.32,SGRA,Saiki
0.64,SGRA,Saiki
0.33,SGRA,Saiki
0.07,SGRA,Saiki
0.12,SGRA,Saiki
0.41,SGRA,Saiki
0.02,SGRA,Saiki
0.06,SGRA,Saiki
0.21,SGRA,Saiki
0,SGRA,Saiki
0.45,SGRA,Saiki
0.17,SGRA,Saiki
1.73,SGRA,Saiki
0.13,SGRA,Saiki
0.68,SGRA,Saiki
0.03,SGRA,Saiki
0.65,SGRA,Saiki
0.17,SGRA,Saiki
0.14,SGRA,Saiki
0,SGRA,Saiki
0.08,SGRA,Saiki
0.03,SGRA,Saiki
0.66,SGRA,Saiki
0.12,SGRB,Saiki
0.02,SGRB,Saiki
0.69,SGRB,Saiki
0.08,SGRB,Saiki
0.94,SGRB,Saiki
0.8,SGRB,Saiki
0.21,SGRB,Saiki
0.65,SGRB,Saiki
0.05,SGRB,Saiki
0.19,SGRB,Saiki
0.23,SGRB,Saiki
0.52,SGRB,Saiki
0.16,SGRB,Saiki
0.34,SGRB,Saiki
