"","Section","Segment","Reach","Date","Latitude","Longitude","Species","Number","Velocity_at_fish_ms","Velocity_0.6_ms","Velocity_0.2_ms","Velocity_0.8_ms","coord_code"
"117","SAR Confluence of Rialto Drain to RIX confluence","3","7","9/20/15","34.03842","-117.35544","Santa Ana Sucker","3",0.43,0.63,NA,NA,"34.03842_-117.35544"
"118","SAR Confluence of Rialto Drain to RIX confluence","3","7","9/20/15","34.03842","-117.35544","Santa Ana Sucker","3",0.6,0.66,NA,NA,"34.03842_-117.35544"
"119","SAR Confluence of Rialto Drain to RIX confluence","3","7","9/20/15","34.03842","-117.35544","Santa Ana Sucker","5",0.37,0.88,NA,NA,"34.03842_-117.35544"
"120","SAR Confluence of Rialto Drain to RIX confluence","3","7","9/20/15","34.03842","-117.35544","Santa Ana Sucker","5",0.26,0.57,NA,NA,"34.03842_-117.35544"
"121","SAR Confluence of Rialto Drain to RIX confluence","3","7","9/20/15","34.03842","-117.35544","Santa Ana Sucker","5",0.3,0.86,NA,NA,"34.03842_-117.35544"
"122","SAR Confluence of Rialto Drain to RIX confluence","3","7","9/20/15","34.03842","-117.35544","Santa Ana Sucker","4",0.33,0.88,NA,NA,"34.03842_-117.35544"
"123","SAR Confluence of Rialto Drain to RIX confluence","3","7","9/20/15","34.03842","-117.35544","Santa Ana Sucker","1",0.33,0.88,NA,NA,"34.03842_-117.35544"
"142","SAR Confluence of Rialto Drain to RIX confluence","3","8","7/23/15","34.03717","-117.356","Santa Ana Sucker","1",-0.02,0.96,NA,NA,"34.03717_-117.356"
"143","SAR Confluence of Rialto Drain to RIX confluence","3","8","7/23/15","34.03717","-117.356","Santa Ana Sucker","2",0.06,0.89,NA,NA,"34.03717_-117.356"
"144","SAR Confluence of Rialto Drain to RIX confluence","3","8","7/23/15","34.03717","-117.356","Santa Ana Sucker","4",0.06,0.89,NA,NA,"34.03717_-117.356"
"145","SAR Confluence of Rialto Drain to RIX confluence","3","8","7/23/15","34.03717","-117.356","Santa Ana Sucker","3",-0.02,0.98,NA,NA,"34.03717_-117.356"
"146","SAR Confluence of Rialto Drain to RIX confluence","3","8","7/23/15","34.03717","-117.356","Santa Ana Sucker","1",0.34,0.61,NA,NA,"34.03717_-117.356"
"147","SAR Confluence of Rialto Drain to RIX confluence","3","8","7/23/15","34.03717","-117.356","Santa Ana Sucker","20",0.34,0.71,NA,NA,"34.03717_-117.356"
"148","SAR Confluence of Rialto Drain to RIX confluence","3","8","7/23/15","34.03717","-117.356","Santa Ana Sucker","1",0.46,0.71,NA,NA,"34.03717_-117.356"
"149","SAR Confluence of Rialto Drain to RIX confluence","3","8","7/23/15","34.03717","-117.356","Santa Ana Sucker","1",0.33,0.54,NA,NA,"34.03717_-117.356"
"150","SAR Confluence of Rialto Drain to RIX confluence","3","8","7/23/15","34.03717","-117.356","Santa Ana Sucker","2",0.26,0.54,NA,NA,"34.03717_-117.356"
"151","SAR Confluence of Rialto Drain to RIX confluence","3","8","7/23/15","34.03717","-117.356","Santa Ana Sucker","8",0.26,0.54,NA,NA,"34.03717_-117.356"
"167","SAR Confluence of Rialto Drain to RIX confluence","3","8","9/20/15","34.03717","-117.356","Santa Ana Sucker","2",-0.01,0.81,NA,NA,"34.03717_-117.356"
"168","SAR Confluence of Rialto Drain to RIX confluence","3","8","9/20/15","34.03717","-117.356","Santa Ana Sucker","3",-0.07,0.99,NA,NA,"34.03717_-117.356"
"169","SAR Confluence of Rialto Drain to RIX confluence","3","8","9/20/15","34.03717","-117.356","Santa Ana Sucker","3",0.71,0.94,NA,NA,"34.03717_-117.356"
"170","SAR Confluence of Rialto Drain to RIX confluence","3","8","9/20/15","34.03717","-117.356","Santa Ana Sucker","3",0.71,0.94,NA,NA,"34.03717_-117.356"
"171","SAR Confluence of Rialto Drain to RIX confluence","3","8","9/20/15","34.03717","-117.356","Santa Ana Sucker","3",0.26,0.94,NA,NA,"34.03717_-117.356"
"172","SAR Confluence of Rialto Drain to RIX confluence","3","8","9/20/15","34.03717","-117.356","Santa Ana Sucker","2",-0.05,0.77,NA,NA,"34.03717_-117.356"
"173","SAR Confluence of Rialto Drain to RIX confluence","3","8","9/20/15","34.03717","-117.356","Santa Ana Sucker","1",0.02,0.36,NA,NA,"34.03717_-117.356"
"199","SAR Confluence of Rialto Drain to RIX confluence","3","9","9/20/15","34.03489","-117.35667","Santa Ana Sucker","1",0.42,0.88,NA,NA,"34.03489_-117.35667"
"200","SAR Confluence of Rialto Drain to RIX confluence","3","9","9/20/15","34.03489","-117.35667","Santa Ana Sucker","3",0.62,0.86,NA,NA,"34.03489_-117.35667"
"201","SAR Confluence of Rialto Drain to RIX confluence","3","9","9/20/15","34.03489","-117.35667","Santa Ana Sucker","5",0.68,0.78,NA,NA,"34.03489_-117.35667"
"202","SAR Confluence of Rialto Drain to RIX confluence","3","9","9/20/15","34.03489","-117.35667","Santa Ana Sucker","5",0.75,0.8,NA,NA,"34.03489_-117.35667"
"203","SAR Confluence of Rialto Drain to RIX confluence","3","9","9/20/15","34.03489","-117.35667","Santa Ana Sucker","5",0.27,0.85,NA,NA,"34.03489_-117.35667"
"204","SAR Confluence of Rialto Drain to RIX confluence","3","9","9/20/15","34.03489","-117.35667","Santa Ana Sucker","5",0.27,0.85,NA,NA,"34.03489_-117.35667"
"205","SAR Confluence of Rialto Drain to RIX confluence","3","9","9/20/15","34.03489","-117.35667","Santa Ana Sucker","5",0.38,0.8,NA,NA,"34.03489_-117.35667"
"206","SAR Confluence of Rialto Drain to RIX confluence","3","9","9/20/15","34.03489","-117.35667","Santa Ana Sucker","5",0.38,0.8,NA,NA,"34.03489_-117.35667"
"207","SAR Confluence of Rialto Drain to RIX confluence","3","9","9/20/15","34.03489","-117.35667","Santa Ana Sucker","5",0.33,0.65,NA,NA,"34.03489_-117.35667"
"208","SAR Confluence of Rialto Drain to RIX confluence","3","9","9/20/15","34.03489","-117.35667","Santa Ana Sucker","3",0.58,0.62,NA,NA,"34.03489_-117.35667"
"209","SAR Confluence of Rialto Drain to RIX confluence","3","9","9/20/15","34.03489","-117.35667","Santa Ana Sucker","3",0.02,0.49,NA,NA,"34.03489_-117.35667"
"210","SAR Confluence of Rialto Drain to RIX confluence","3","9","9/20/15","34.03489","-117.35667","Santa Ana Sucker","3",0.37,0.61,NA,NA,"34.03489_-117.35667"
"211","SAR Confluence of Rialto Drain to RIX confluence","3","9","9/20/15","34.03489","-117.35667","Santa Ana Sucker","1",0.27,0.38,NA,NA,"34.03489_-117.35667"
"212","SAR Confluence of Rialto Drain to RIX confluence","3","9","9/20/15","34.03489","-117.35667","Santa Ana Sucker","1",0.19,0.46,NA,NA,"34.03489_-117.35667"
"227","SAR Southside channel to Riverside Drive","4","11","9/22/15","34.029","-117.35939","Santa Ana Sucker","1",0.45,0.53,NA,NA,"34.029_-117.35939"
"244","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","1",0.23,0.82,NA,NA,"NV_NV"
"245","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","1",0.35,0.85,NA,NA,"NV_NV"
"246","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","2",0.66,1.12,NA,NA,"NV_NV"
"247","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","4",0.68,1.09,NA,NA,"NV_NV"
"248","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","1",0.37,1.02,NA,NA,"NV_NV"
"249","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","5",0.34,1.21,NA,NA,"NV_NV"
"250","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","5",0.34,1.21,NA,NA,"NV_NV"
"251","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","6",0.44,1.26,NA,NA,"NV_NV"
"252","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","4",0.44,1.26,NA,NA,"NV_NV"
"253","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","2",0.47,1.11,NA,NA,"NV_NV"
"254","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","4",0.73,1.06,NA,NA,"NV_NV"
"255","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","10",0.46,0.79,NA,NA,"NV_NV"
"256","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","10",0.47,0.92,NA,NA,"NV_NV"
"263","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","3",0.13,0.42,NA,NA,"NV_NV"
"264","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","2",0.13,0.42,NA,NA,"NV_NV"
"265","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","5",0.49,0.62,NA,NA,"NV_NV"
"266","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","5",0.49,0.62,NA,NA,"NV_NV"
"267","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","10",0.43,NA,0.46,0.38,"NV_NV"
"268","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","10",0.47,NA,0.83,0.33,"NV_NV"
"269","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","5",0.69,1.57,NA,NA,"NV_NV"
"270","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","3",0.24,0.72,NA,NA,"NV_NV"
"271","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","1",0.31,1.24,NA,NA,"NV_NV"
"272","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","7",0.31,1.24,NA,NA,"NV_NV"
"273","Below Reach# 9 and Reach #9","NV","NV","11/4/15","NV","NV","Santa Ana Sucker","1",0.66,1.17,NA,NA,"NV_NV"
"284","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","2",0.31,0.54,NA,NA,"NV_NV"
"285","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","2",0.25,0.43,NA,NA,"NV_NV"
"286","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","3",0.12,0.43,NA,NA,"NV_NV"
"287","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",0.4,0.47,NA,NA,"NV_NV"
"288","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",0.4,0.67,NA,NA,"NV_NV"
"289","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",0.43,0.67,NA,NA,"NV_NV"
"290","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",0.43,0.63,NA,NA,"NV_NV"
"291","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",0.39,0.79,NA,NA,"NV_NV"
"292","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","2",0.55,0.8,NA,NA,"NV_NV"
"293","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","3",0.55,0.8,NA,NA,"NV_NV"
"294","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",0.33,0.92,NA,NA,"NV_NV"
"295","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",0.33,0.92,NA,NA,"NV_NV"
"296","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",0.4,0.75,NA,NA,"NV_NV"
"297","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",0.4,0.75,NA,NA,"NV_NV"
"309","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",0.33,0.4,NA,NA,"NV_NV"
"310","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",0.33,0.4,NA,NA,"NV_NV"
"311","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",0.36,0.65,NA,NA,"NV_NV"
"312","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",0.36,0.65,NA,NA,"NV_NV"
"313","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","1",0.25,0.48,NA,NA,"NV_NV"
"314","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",0.12,0.37,NA,NA,"NV_NV"
"315","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",0.12,0.37,NA,NA,"NV_NV"
"316","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","10",0.27,0.61,NA,NA,"NV_NV"
"317","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","10",0.27,0.61,NA,NA,"NV_NV"
"318","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","10",0.08,0.62,NA,NA,"NV_NV"
"319","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","10",0.08,0.62,NA,NA,"NV_NV"
"320","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",0.31,0.72,NA,NA,"NV_NV"
"321","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",0.31,0.72,NA,NA,"NV_NV"
"322","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",0.51,1.03,NA,NA,"NV_NV"
"323","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",0.51,1.03,NA,NA,"NV_NV"
"324","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","10",0.59,0.91,NA,NA,"NV_NV"
"325","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",0.03,1.15,NA,NA,"NV_NV"
"326","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",0.03,0.15,NA,NA,"NV_NV"
"327","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",0.32,0.88,NA,NA,"NV_NV"
"328","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",0.32,0.88,NA,NA,"NV_NV"
"329","Bottom of Modeling Reach","NV","NV","11/5/15","NV","NV","Santa Ana Sucker","5",0.32,0.88,NA,NA,"NV_NV"
